DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-07-02,1.51,1.54,1.42,1.45,10034464,1.45,GOOG-H
2014-07-03,1.47,1.54,1.46,1.52,3042748,1.52,GOOG-H
2014-07-04,1.54,1.56,1.54,1.55,500648,1.55,GOOG-H
2014-07-07,1.56,1.57,1.52,1.55,235894,1.55,GOOG-H
2014-07-08,1.55,1.57,1.51,1.51,424858,1.51,GOOG-H
2014-07-09,1.52,1.55,1.48,1.5,267333,1.5,GOOG-H
2014-07-10,1.49,1.52,1.49,1.51,116641,1.51,GOOG-H
2014-07-11,1.5,1.5,1.46,1.47,382581,1.47,GOOG-H
2014-07-14,1.5,1.5,1.47,1.5,43330,1.5,GOOG-H
2014-07-15,1.5,1.5,1.43,1.47,110551,1.47,GOOG-H
2014-07-16,1.46,1.46,1.44,1.45,72958,1.45,GOOG-H
2014-07-17,1.45,1.46,1.43,1.44,309582,1.44,GOOG-H
2014-07-18,1.45,1.45,1.44,1.44,1233101,1.44,GOOG-H
2014-07-21,1.45,1.46,1.41,1.42,156511,1.42,GOOG-H
2014-07-22,1.42,1.43,1.42,1.43,527997,1.43,GOOG-H
2014-07-23,1.43,1.49,1.43,1.49,224347,1.49,GOOG-H
2014-07-24,1.49,1.5,1.47,1.49,220884,1.49,GOOG-H
2014-07-25,1.49,1.5,1.47,1.48,259729,1.48,GOOG-H
2014-07-28,1.48,1.48,1.45,1.46,79473,1.46,GOOG-H
2014-07-29,1.46,1.46,1.43,1.43,178296,1.43,GOOG-H
2014-07-30,1.44,1.45,1.41,1.43,1313670,1.43,GOOG-H
2014-07-31,1.45,1.45,1.45,1.45,10873,1.45,GOOG-H
2014-08-01,1.45,1.45,1.42,1.42,97339,1.42,GOOG-H
2014-08-04,1.42,1.43,1.41,1.42,80350,1.42,GOOG-H
2014-08-05,1.43,1.45,1.42,1.42,115841,1.42,GOOG-H
