DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-05-07,1.64,1.64,1.64,1.64,2000.0,1.64,GOOG-H
1999-05-27,1.64,1.64,1.64,1.64,25000.0,1.64,GOOG-H
1999-06-21,1.45,1.45,1.45,1.45,5000.0,1.45,GOOG-H
1999-06-22,1.43,1.43,1.43,1.43,5000.0,1.43,GOOG-H
1999-06-30,1.5,1.5,1.5,1.5,5400.0,1.5,GOOG-H
1999-07-16,1.5,1.5,1.5,1.5,40000.0,1.5,GOOG-H
1999-08-13,1.5,1.5,1.5,1.5,50000.0,1.5,GOOG-H
1999-08-18,1.53,1.53,1.53,1.53,10000.0,1.53,GOOG-H
1999-09-03,1.53,1.53,1.53,1.53,20000.0,1.53,GOOG-H
1999-09-24,1.53,1.53,1.53,1.53,810.0,1.53,GOOG-H
1999-12-24,1.46,1.46,1.46,1.46,13000.0,1.46,GOOG-H
1999-12-30,1.46,1.46,1.46,1.46,45000.0,1.46,GOOG-H
2000-01-12,1.46,1.46,1.46,1.46,60000.0,1.46,GOOG-H
2000-02-23,1.43,1.43,1.43,1.43,500.0,1.43,GOOG-H
2000-03-01,1.35,1.35,1.35,1.35,709.0,1.35,GOOG-H
2000-04-27,5.7,5.7,5.7,5.7,3560.0,5.7,GOOG-H
2000-05-15,1.36,1.36,1.36,1.36,5000.0,1.36,GOOG-H
2000-05-16,1.28,1.28,1.28,1.28,500.0,1.28,GOOG-H
2000-05-25,5.4,5.4,5.4,5.4,23145.0,5.4,GOOG-H
2000-05-26,5.4,5.4,5.4,5.4,17804.0,5.4,GOOG-H
2000-05-30,1.23,1.23,1.23,1.23,1000.0,1.23,GOOG-H
2000-05-31,1.23,1.23,1.22,1.23,52892.0,1.23,GOOG-H
2000-06-06,1.23,1.23,1.23,1.23,106000.0,1.23,GOOG-H
2000-06-07,5.19,5.19,5.19,5.19,1424.0,5.19,GOOG-H
2000-06-30,1.23,1.23,1.23,1.23,21118.0,1.23,GOOG-H
2000-07-11,1.29,1.31,1.29,1.31,35000.0,1.31,GOOG-H
2000-07-13,1.3,1.31,1.3,1.31,3000.0,1.31,GOOG-H
2000-07-14,5.53,5.53,5.53,5.53,11869.0,5.53,GOOG-H
2000-07-18,1.31,1.31,1.31,1.31,4000.0,1.31,GOOG-H
2000-07-20,1.38,1.38,1.38,1.38,400.0,1.38,GOOG-H
2000-07-28,1.4,1.4,1.4,1.4,10000.0,1.4,GOOG-H
2000-08-17,1.48,1.48,1.48,1.48,5000.0,1.48,GOOG-H
2000-08-21,1.45,1.45,1.45,1.45,5000.0,1.45,GOOG-H
2000-08-28,1.45,1.45,1.45,1.45,1000.0,1.45,GOOG-H
2000-09-07,1.45,1.45,1.45,1.45,20500.0,1.45,GOOG-H
2000-09-14,1.4,1.4,1.4,1.4,62000.0,1.4,GOOG-H
2000-09-22,1.4,1.4,1.4,1.4,150000.0,1.4,GOOG-H
2000-10-13,1.4,1.4,1.4,1.4,29700.0,1.4,GOOG-H
2000-10-23,1.4,1.4,1.4,1.4,500.0,1.4,GOOG-H
2000-11-01,1.37,1.37,1.37,1.37,75882.0,1.37,GOOG-H
2000-11-02,1.37,1.37,1.37,1.37,7340.0,1.37,GOOG-H
2000-11-09,1.38,1.38,1.38,1.38,20000.0,1.38,GOOG-H
2000-11-13,1.38,1.39,1.38,1.39,2418.0,1.39,GOOG-H
2000-11-14,1.43,1.43,1.43,1.43,10000.0,1.43,GOOG-H
2000-11-15,1.44,1.44,1.44,1.44,500.0,1.44,GOOG-H
2000-11-17,6.07,6.07,6.07,6.07,1305.0,6.07,GOOG-H
2000-11-21,1.42,1.42,1.42,1.42,346.0,1.42,GOOG-H
2000-11-24,1.44,1.44,1.44,1.44,500.0,1.44,GOOG-H
2000-11-27,6.07,6.07,6.07,6.07,5934.0,6.07,GOOG-H
2000-11-28,1.44,1.44,1.44,1.44,4909.0,1.44,GOOG-H
2000-11-30,1.46,1.46,1.46,1.46,10000.0,1.46,GOOG-H
2000-12-06,1.47,1.47,1.47,1.47,25000.0,1.47,GOOG-H
2000-12-08,1.52,1.52,1.52,1.52,10000.0,1.52,GOOG-H
2000-12-13,1.55,1.55,1.55,1.55,20000.0,1.55,GOOG-H
2000-12-21,1.57,1.57,1.57,1.57,2000.0,1.57,GOOG-H
