DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-08-24,1.8,2.3,1.8,2.04,821394,2.04,GOOG-H
2000-08-25,2.1,2.4,2.1,2.3,184480,2.3,GOOG-H
2000-08-28,2.4,3.5,2.4,3.5,306911,3.5,GOOG-H
2000-08-29,3.74,4.9,3.74,4.1,317650,4.1,GOOG-H
2000-08-30,4.2,4.2,3.3,3.4,238870,3.4,GOOG-H
2000-08-31,3.34,3.35,3.05,3.22,88525,3.22,GOOG-H
2000-09-01,3.36,3.95,3.36,3.58,3347853,3.58,GOOG-H
2000-09-04,3.75,3.75,3.48,3.52,124350,3.52,GOOG-H
2000-09-05,3.42,3.42,3.2,3.3,16700,3.3,GOOG-H
2000-09-06,3.24,3.24,2.97,2.98,59524,2.98,GOOG-H
2000-09-07,2.79,2.95,2.7,2.9,17860,2.9,GOOG-H
2000-09-08,3.0,3.1,3.0,3.1,19560,3.1,GOOG-H
2000-09-11,3.1,3.1,3.1,3.1,7000,3.1,GOOG-H
2000-09-12,3.0,3.0,2.8,2.95,22400,2.95,GOOG-H
2000-09-13,2.96,2.96,2.75,2.8,55405,2.8,GOOG-H
2000-09-14,2.8,2.9,2.75,2.75,120161,2.75,GOOG-H
2000-09-15,2.75,2.9,2.75,2.9,34600,2.9,GOOG-H
2000-09-18,2.85,2.85,2.75,2.75,14000,2.75,GOOG-H
2000-09-19,2.75,2.75,2.4,2.64,33055,2.64,GOOG-H
2000-09-20,2.6,2.65,2.6,2.65,14000,2.65,GOOG-H
2000-09-21,2.65,2.65,2.65,2.65,3500,2.65,GOOG-H
2000-09-22,2.65,2.65,2.5,2.5,9223,2.5,GOOG-H
2000-09-25,2.52,2.6,2.52,2.55,7600,2.55,GOOG-H
2000-09-26,2.55,2.55,2.35,2.4,32110,2.4,GOOG-H
2000-09-27,2.45,2.6,2.4,2.6,39028,2.6,GOOG-H
2000-09-28,2.6,2.7,2.6,2.6,45001,2.6,GOOG-H
2000-09-29,2.62,2.82,2.62,2.76,13630,2.76,GOOG-H
2000-10-02,2.76,2.76,2.76,2.76,500,2.76,GOOG-H
2000-10-03,2.76,2.76,2.65,2.76,26400,2.76,GOOG-H
2000-10-04,2.65,2.7,2.65,2.7,2200,2.7,GOOG-H
2000-10-05,2.7,2.82,2.55,2.82,23300,2.82,GOOG-H
2000-10-06,2.94,3.12,2.9,3.04,304260,3.04,GOOG-H
2000-10-09,2.99,2.99,2.9,2.9,3620,2.9,GOOG-H
2000-10-10,3.0,3.08,2.95,2.95,26825,2.95,GOOG-H
2000-10-11,3.0,3.0,2.98,3.0,19160,3.0,GOOG-H
2000-10-12,3.0,3.0,2.95,3.0,14650,3.0,GOOG-H
2000-10-13,2.95,2.98,2.88,2.98,24865,2.98,GOOG-H
2000-10-16,3.05,3.05,2.95,2.95,15000,2.95,GOOG-H
2000-10-17,3.0,3.0,2.95,3.0,80400,3.0,GOOG-H
2000-10-18,3.0,3.0,2.9,2.9,12000,2.9,GOOG-H
2000-10-19,2.9,3.0,2.9,2.99,22500,2.99,GOOG-H
2000-10-20,3.1,3.25,3.1,3.2,82424,3.2,GOOG-H
2000-10-23,3.2,3.2,3.15,3.15,40176,3.15,GOOG-H
2000-10-24,3.15,3.2,3.0,3.2,60500,3.2,GOOG-H
2000-10-25,3.2,3.2,3.19,3.2,41150,3.2,GOOG-H
2000-10-26,3.19,3.26,3.1,3.2,22000,3.2,GOOG-H
2000-10-27,3.19,3.2,3.17,3.2,41300,3.2,GOOG-H
2000-10-30,3.2,3.3,3.2,3.2,64510,3.2,GOOG-H
2000-10-31,3.21,3.48,3.21,3.45,145475,3.45,GOOG-H
2000-11-01,3.6,3.8,3.6,3.6,318443,3.6,GOOG-H
2000-11-02,3.62,3.77,3.47,3.6,175460,3.6,GOOG-H
2000-11-03,3.6,3.67,3.55,3.63,233825,3.63,GOOG-H
2000-11-06,3.66,3.66,3.49,3.49,260643,3.49,GOOG-H
2000-11-07,3.49,4.49,3.49,4.45,849719,4.45,GOOG-H
2000-11-08,4.4,4.4,3.96,3.98,512915,3.98,GOOG-H
2000-11-09,3.94,3.94,3.62,3.77,205320,3.77,GOOG-H
2000-11-10,3.77,4.0,3.75,3.75,35035,3.75,GOOG-H
2000-11-13,3.6,3.9,3.6,3.74,48100,3.74,GOOG-H
2000-11-14,3.7,3.7,3.6,3.7,40400,3.7,GOOG-H
2000-11-15,3.7,3.7,3.62,3.7,44322,3.7,GOOG-H
2000-11-16,3.7,3.75,3.63,3.75,97378,3.75,GOOG-H
2000-11-17,3.73,3.73,3.65,3.65,49355,3.65,GOOG-H
2000-11-20,3.7,3.7,3.65,3.65,16600,3.65,GOOG-H
2000-11-21,3.65,3.65,3.46,3.46,27151,3.46,GOOG-H
2000-11-22,3.46,3.5,3.35,3.5,116650,3.5,GOOG-H
2000-11-23,3.46,3.46,3.36,3.36,4494,3.36,GOOG-H
2000-11-24,3.37,3.4,3.35,3.4,13478,3.4,GOOG-H
2000-11-27,3.44,3.44,3.4,3.4,9517,3.4,GOOG-H
2000-11-28,3.4,3.59,3.4,3.47,53073,3.47,GOOG-H
2000-11-29,3.5,3.51,3.37,3.5,117624,3.5,GOOG-H
2000-11-30,3.61,3.65,3.55,3.55,23757,3.55,GOOG-H
2000-12-01,3.6,3.63,3.58,3.61,91593,3.61,GOOG-H
2000-12-04,3.6,3.6,3.5,3.55,171100,3.55,GOOG-H
2000-12-05,3.6,3.66,3.6,3.66,26820,3.66,GOOG-H
2000-12-06,3.66,3.7,3.65,3.7,74890,3.7,GOOG-H
2000-12-07,3.69,3.75,3.69,3.72,86619,3.72,GOOG-H
2000-12-08,3.75,3.75,3.69,3.7,102818,3.7,GOOG-H
2000-12-11,3.7,3.79,3.7,3.79,58450,3.79,GOOG-H
2000-12-12,3.72,3.72,3.68,3.72,37300,3.72,GOOG-H
2000-12-13,3.72,3.75,3.72,3.72,75476,3.72,GOOG-H
2000-12-14,3.75,3.75,3.72,3.72,73000,3.72,GOOG-H
2000-12-15,3.7,3.75,3.7,3.72,65050,3.72,GOOG-H
2000-12-18,3.72,3.72,3.6,3.6,64100,3.6,GOOG-H
2000-12-19,3.61,3.61,3.5,3.54,17480,3.54,GOOG-H
2000-12-20,3.45,3.45,3.2,3.2,29064,3.2,GOOG-H
2000-12-21,3.1,3.15,3.0,3.15,46550,3.15,GOOG-H
2000-12-22,3.36,3.36,3.0,3.0,6000,3.0,GOOG-H
2000-12-27,3.1,3.2,3.0,3.1,16500,3.1,GOOG-H
2000-12-28,3.1,3.1,2.91,3.0,58532,3.0,GOOG-H
2000-12-29,3.06,3.15,3.05,3.12,18270,3.12,GOOG-H
2001-01-02,3.15,3.21,3.15,3.2,5020,3.2,GOOG-H
2001-01-03,3.2,3.2,3.04,3.05,12500,3.05,GOOG-H
2001-01-04,3.05,3.05,3.03,3.05,5592,3.05,GOOG-H
2001-01-05,3.15,3.35,3.15,3.34,10660,3.34,GOOG-H
2001-01-08,3.32,3.32,3.2,3.25,8375,3.25,GOOG-H
2001-01-09,3.2,3.2,3.13,3.13,5904,3.13,GOOG-H
2001-01-10,3.15,3.2,3.15,3.19,24930,3.19,GOOG-H
2001-01-11,3.3,3.3,3.2,3.3,10200,3.3,GOOG-H
2001-01-12,3.3,3.35,3.25,3.26,16116,3.26,GOOG-H
2001-01-15,3.24,3.25,3.2,3.2,2735,3.2,GOOG-H
2001-01-16,3.15,3.15,3.0,3.0,8900,3.0,GOOG-H
2001-01-17,3.0,3.05,3.0,3.05,10037,3.05,GOOG-H
2001-01-19,3.05,3.05,2.9,3.0,10863,3.0,GOOG-H
2001-01-22,3.04,3.04,2.9,2.9,24450,2.9,GOOG-H
2001-01-23,2.92,3.1,2.92,3.1,15487,3.1,GOOG-H
2001-01-24,3.1,3.15,3.0,3.15,8682,3.15,GOOG-H
2001-01-25,3.16,3.36,3.16,3.3,21420,3.3,GOOG-H
2001-01-29,3.35,3.44,3.35,3.37,82000,3.37,GOOG-H
2001-01-30,3.4,3.45,3.4,3.45,4301,3.45,GOOG-H
2001-01-31,3.44,3.5,3.25,3.5,24808,3.5,GOOG-H
2001-02-02,3.4,3.4,3.4,3.4,4170,3.4,GOOG-H
2001-02-05,3.25,3.25,3.0,3.1,32082,3.1,GOOG-H
2001-02-06,3.1,3.15,3.05,3.05,13000,3.05,GOOG-H
2001-02-07,3.06,3.15,3.06,3.07,8580,3.07,GOOG-H
2001-02-08,3.15,3.15,3.15,3.15,913,3.15,GOOG-H
2001-02-09,3.05,3.05,3.03,3.04,6767,3.04,GOOG-H
2001-02-12,3.05,3.05,3.0,3.0,7693,3.0,GOOG-H
2001-02-13,2.99,3.02,2.95,3.01,78300,3.01,GOOG-H
2001-02-14,3.01,3.01,2.95,2.97,56920,2.97,GOOG-H
2001-02-15,2.97,2.97,2.95,2.95,19000,2.95,GOOG-H
2001-02-16,2.95,2.96,2.95,2.96,630,2.96,GOOG-H
2001-02-19,2.96,3.0,2.95,3.0,9700,3.0,GOOG-H
2001-02-20,3.0,3.0,3.0,3.0,17000,3.0,GOOG-H
2001-02-21,3.0,3.0,3.0,3.0,1300,3.0,GOOG-H
2001-02-22,2.98,2.98,2.98,2.98,1500,2.98,GOOG-H
2001-02-23,2.95,2.95,2.8,2.91,19400,2.91,GOOG-H
2001-02-26,2.91,2.93,2.9,2.9,32500,2.9,GOOG-H
2001-02-27,3.05,3.05,2.9,2.9,14000,2.9,GOOG-H
2001-02-28,2.9,2.9,2.9,2.9,9410,2.9,GOOG-H
2001-03-01,2.95,2.95,2.95,2.95,2500,2.95,GOOG-H
2001-03-02,2.95,2.95,2.95,2.95,1700,2.95,GOOG-H
2001-03-05,2.95,2.95,2.95,2.95,18390,2.95,GOOG-H
2001-03-06,2.95,2.95,2.95,2.95,15266,2.95,GOOG-H
2001-03-08,2.91,2.91,2.91,2.91,2500,2.91,GOOG-H
2001-03-09,2.78,2.78,2.76,2.76,10734,2.76,GOOG-H
2001-03-12,2.84,2.84,2.84,2.84,200,2.84,GOOG-H
2001-03-13,2.82,2.82,2.76,2.76,1362,2.76,GOOG-H
2001-03-14,2.52,2.75,2.52,2.75,1500,2.75,GOOG-H
2001-03-15,2.5,2.5,2.44,2.44,705,2.44,GOOG-H
2001-03-16,2.4,2.4,2.4,2.4,20000,2.4,GOOG-H
2001-03-19,2.2,2.3,2.0,2.3,16590,2.3,GOOG-H
2001-03-20,2.22,2.22,2.21,2.21,6600,2.21,GOOG-H
2001-03-21,2.22,2.22,2.0,2.15,50300,2.15,GOOG-H
2001-03-22,2.11,2.16,2.0,2.16,37455,2.16,GOOG-H
2001-03-23,2.1,2.1,2.0,2.0,7000,2.0,GOOG-H
2001-03-26,2.09,2.09,2.0,2.0,8319,2.0,GOOG-H
2001-03-27,2.09,2.2,2.09,2.2,8001,2.2,GOOG-H
2001-03-28,2.2,2.3,2.2,2.3,9674,2.3,GOOG-H
2001-03-29,2.35,2.35,2.3,2.3,350,2.3,GOOG-H
2001-03-30,2.25,2.3,2.25,2.3,12000,2.3,GOOG-H
2001-04-02,2.21,2.21,2.2,2.2,700,2.2,GOOG-H
2001-04-03,2.2,2.2,2.1,2.1,7526,2.1,GOOG-H
2001-04-04,2.1,2.1,2.0,2.0,52200,2.0,GOOG-H
2001-04-05,2.0,2.0,2.0,2.0,16800,2.0,GOOG-H
2001-04-06,2.0,2.0,2.0,2.0,4800,2.0,GOOG-H
2001-04-09,2.0,2.0,2.0,2.0,3500,2.0,GOOG-H
2001-04-10,2.0,2.0,2.0,2.0,7245,2.0,GOOG-H
2001-04-11,2.15,2.25,2.15,2.25,10045,2.25,GOOG-H
2001-04-12,2.15,2.15,2.15,2.15,250,2.15,GOOG-H
2001-04-17,2.2,2.2,2.15,2.15,20405,2.15,GOOG-H
2001-04-19,2.1,2.15,2.1,2.15,1739,2.15,GOOG-H
2001-04-20,2.0,2.1,2.0,2.1,18500,2.1,GOOG-H
2001-04-23,2.05,2.05,2.0,2.0,18053,2.0,GOOG-H
2001-04-24,2.0,2.0,2.0,2.0,5500,2.0,GOOG-H
2001-04-26,1.96,2.0,1.95,1.95,30079,1.95,GOOG-H
2001-04-27,1.95,2.0,1.95,2.0,4663,2.0,GOOG-H
2001-04-30,1.86,1.95,1.85,1.95,13578,1.95,GOOG-H
2001-05-02,1.9,1.9,1.8,1.8,11155,1.8,GOOG-H
2001-05-04,1.8,1.8,1.8,1.8,7595,1.8,GOOG-H
2001-05-07,1.74,1.74,1.7,1.7,14310,1.7,GOOG-H
2001-05-08,1.7,1.7,1.6,1.7,9300,1.7,GOOG-H
2001-05-09,1.75,2.0,1.75,1.9,59212,1.9,GOOG-H
2001-05-10,1.9,2.0,1.9,1.99,19700,1.99,GOOG-H
2001-05-11,2.0,2.0,1.95,1.95,87500,1.95,GOOG-H
2001-05-14,1.95,1.95,1.9,1.9,16600,1.9,GOOG-H
2001-05-15,1.87,1.87,1.85,1.85,4000,1.85,GOOG-H
2001-05-16,1.85,1.85,1.85,1.85,2100,1.85,GOOG-H
2001-05-18,1.9,1.9,1.8,1.8,8943,1.8,GOOG-H
2001-05-21,1.8,1.82,1.65,1.65,11510,1.65,GOOG-H
2001-05-22,1.7,1.7,1.65,1.65,26447,1.65,GOOG-H
2001-05-23,1.7,1.7,1.6,1.6,20100,1.6,GOOG-H
2001-05-24,1.6,1.6,1.6,1.6,8500,1.6,GOOG-H
