DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,3.62,3.62,3.55,3.56,387311.0,3.56,GOOG-H
1999-01-05,3.59,3.59,3.52,3.53,971021.0,3.53,GOOG-H
1999-01-06,3.6,3.6,3.49,3.58,1470007.0,3.58,GOOG-H
1999-01-07,3.69,3.69,3.62,3.66,1723984.0,3.66,GOOG-H
1999-01-08,3.73,3.73,3.64,3.71,2393357.0,3.71,GOOG-H
1999-01-11,3.81,3.81,3.72,3.8,1093801.0,3.8,GOOG-H
1999-01-12,3.89,3.89,3.8,3.86,1576328.0,3.86,GOOG-H
1999-01-13,3.86,3.86,3.78,3.86,1722217.0,3.86,GOOG-H
1999-01-14,3.86,3.86,3.78,3.84,6091910.0,3.84,GOOG-H
1999-01-15,3.86,3.86,3.76,3.84,582983.0,3.84,GOOG-H
1999-01-18,3.86,3.86,3.8,3.8,419999.0,3.8,GOOG-H
1999-01-19,3.86,3.86,3.79,3.81,691914.0,3.81,GOOG-H
1999-01-20,3.86,3.86,3.81,3.84,1209502.0,3.84,GOOG-H
1999-01-21,3.85,3.85,3.79,3.8,767746.0,3.8,GOOG-H
1999-01-22,3.79,3.79,3.73,3.75,795742.0,3.75,GOOG-H
1999-01-25,3.76,3.76,3.71,3.72,803819.0,3.72,GOOG-H
1999-01-27,3.76,3.76,3.63,3.66,1112106.0,3.66,GOOG-H
1999-01-28,3.75,3.75,3.67,3.75,2302577.0,3.75,GOOG-H
1999-01-29,3.83,3.83,3.72,3.8,1473938.0,3.8,GOOG-H
1999-02-01,3.81,3.81,3.74,3.79,944846.0,3.79,GOOG-H
1999-02-02,3.81,3.81,3.75,3.76,1299333.0,3.76,GOOG-H
1999-02-03,3.79,3.79,3.74,3.77,1005406.0,3.77,GOOG-H
1999-02-04,3.8,3.8,3.75,3.77,1752372.0,3.77,GOOG-H
1999-02-05,3.83,3.83,3.74,3.77,1053434.0,3.77,GOOG-H
1999-02-08,3.81,3.81,3.74,3.79,315474.0,3.79,GOOG-H
1999-02-09,3.8,3.8,3.75,3.75,831512.0,3.75,GOOG-H
1999-02-10,3.74,3.74,3.68,3.69,1216756.0,3.69,GOOG-H
1999-02-11,3.71,3.71,3.63,3.64,1539514.0,3.64,GOOG-H
1999-02-12,3.69,3.69,3.66,3.66,1686756.0,3.66,GOOG-H
1999-02-15,3.67,3.67,3.64,3.65,628654.0,3.65,GOOG-H
1999-02-16,3.66,3.66,3.58,3.58,1293956.0,3.58,GOOG-H
1999-02-17,3.59,3.59,3.56,3.59,1433615.0,3.59,GOOG-H
1999-02-18,3.6,3.6,3.55,3.55,1366620.0,3.55,GOOG-H
1999-02-19,3.6,3.6,3.55,3.58,902098.0,3.58,GOOG-H
1999-02-22,3.6,3.6,3.56,3.58,425464.0,3.58,GOOG-H
1999-02-23,3.66,3.66,3.6,3.64,700542.0,3.64,GOOG-H
1999-02-24,3.74,3.74,3.68,3.71,1131289.0,3.71,GOOG-H
1999-02-25,3.7,3.7,3.67,3.68,979489.0,3.68,GOOG-H
1999-02-26,3.72,3.72,3.65,3.67,1976417.0,3.67,GOOG-H
1999-03-01,3.73,3.73,3.63,3.72,607933.0,3.72,GOOG-H
1999-03-02,3.74,3.74,3.6,3.64,666680.0,3.64,GOOG-H
1999-03-03,3.67,3.67,3.59,3.62,525499.0,3.62,GOOG-H
1999-03-04,3.65,3.65,3.6,3.62,1134179.0,3.62,GOOG-H
1999-03-05,3.72,3.72,3.66,3.71,2596405.0,3.71,GOOG-H
1999-03-08,3.76,3.76,3.71,3.74,467667.0,3.74,GOOG-H
1999-03-09,3.76,3.76,3.7,3.74,499440.0,3.74,GOOG-H
1999-03-10,3.79,3.79,3.72,3.77,1333542.0,3.77,GOOG-H
1999-03-11,3.85,3.85,3.78,3.81,3240547.0,3.81,GOOG-H
1999-03-12,3.89,3.89,3.76,3.76,1433963.0,3.76,GOOG-H
1999-03-15,3.86,3.86,3.79,3.86,885416.0,3.86,GOOG-H
1999-03-16,3.89,3.89,3.79,3.8,1695942.0,3.8,GOOG-H
1999-03-17,3.81,3.81,3.76,3.77,1669543.0,3.77,GOOG-H
1999-03-18,3.86,3.86,3.76,3.8,529298.0,3.8,GOOG-H
1999-03-19,3.82,3.82,3.78,3.8,1052539.0,3.8,GOOG-H
1999-03-22,3.81,3.81,3.77,3.79,536410.0,3.79,GOOG-H
1999-03-23,3.85,3.85,3.78,3.78,948425.0,3.78,GOOG-H
1999-03-24,3.85,3.85,3.76,3.84,1243750.0,3.84,GOOG-H
1999-03-25,3.92,3.92,3.85,3.9,1179162.0,3.9,GOOG-H
1999-03-26,3.97,3.97,3.9,3.97,846324.0,3.97,GOOG-H
1999-03-29,4.04,4.04,3.99,4.03,1043185.0,4.03,GOOG-H
1999-03-30,4.09,4.09,3.98,3.98,1053993.0,3.98,GOOG-H
1999-03-31,3.88,3.88,3.75,3.75,1644218.0,3.75,GOOG-H
1999-04-01,3.78,3.78,3.75,3.78,613669.0,3.78,GOOG-H
1999-04-06,3.88,3.88,3.8,3.8,527465.0,3.8,GOOG-H
1999-04-07,3.81,3.81,3.76,3.77,1155305.0,3.77,GOOG-H
1999-04-08,3.79,3.79,3.66,3.66,1163506.0,3.66,GOOG-H
1999-04-09,3.7,3.7,3.63,3.67,2465164.0,3.67,GOOG-H
1999-04-12,3.72,3.72,3.66,3.68,663683.0,3.68,GOOG-H
1999-04-13,3.73,3.73,3.69,3.7,374036.0,3.7,GOOG-H
1999-04-14,3.72,3.72,3.68,3.72,883974.0,3.72,GOOG-H
1999-04-15,3.73,3.73,3.62,3.72,439277.0,3.72,GOOG-H
1999-04-16,3.9,3.9,3.75,3.89,1849945.0,3.89,GOOG-H
1999-04-19,3.95,3.95,3.85,3.92,602017.0,3.92,GOOG-H
