DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2004-07-06,2.21,2.34,2.21,2.34,7871977.0,2.34,GOOG-H
2004-07-07,2.34,2.35,2.3,2.3,1534480.0,2.3,GOOG-H
2004-07-08,2.31,2.4,2.3,2.35,1201621.0,2.35,GOOG-H
2004-07-09,2.36,2.38,2.33,2.38,698199.0,2.38,GOOG-H
2004-07-12,2.36,2.38,2.33,2.36,251453.0,2.36,GOOG-H
2004-07-13,2.38,2.48,2.38,2.4,1293435.0,2.4,GOOG-H
2004-07-14,2.42,2.45,2.41,2.42,706744.0,2.42,GOOG-H
2004-07-15,2.43,2.48,2.43,2.47,620640.0,2.47,GOOG-H
2004-07-16,2.48,2.48,2.47,2.48,261312.0,2.48,GOOG-H
2004-07-19,2.48,2.48,2.46,2.48,107212.0,2.48,GOOG-H
2004-07-20,2.48,2.48,2.41,2.47,249109.0,2.47,GOOG-H
2004-07-21,2.47,2.47,2.4,2.41,284148.0,2.41,GOOG-H
2004-07-22,2.41,2.46,2.41,2.46,109780.0,2.46,GOOG-H
2004-07-23,2.46,2.47,2.46,2.47,736380.0,2.47,GOOG-H
2004-07-26,2.47,2.47,2.45,2.45,171338.0,2.45,GOOG-H
2004-07-27,2.46,2.48,2.45,2.47,211800.0,2.47,GOOG-H
2004-07-28,2.48,2.5,2.48,2.49,561697.0,2.49,GOOG-H
2004-07-29,2.53,2.53,2.49,2.49,327274.0,2.49,GOOG-H
2004-07-30,2.53,2.53,2.5,2.5,248290.0,2.5,GOOG-H
2004-08-02,2.51,2.53,2.5,2.53,135319.0,2.53,GOOG-H
2004-08-03,2.53,2.54,2.52,2.52,193560.0,2.52,GOOG-H
2004-08-04,2.54,2.6,2.54,2.6,119382.0,2.6,GOOG-H
2004-08-05,2.6,2.7,2.6,2.64,267867.0,2.64,GOOG-H
2004-08-06,2.62,2.62,2.59,2.59,92089.0,2.59,GOOG-H
2004-08-09,2.59,2.6,2.55,2.6,74413.0,2.6,GOOG-H
2004-08-10,2.6,2.6,2.56,2.56,47081.0,2.56,GOOG-H
2004-08-11,2.6,2.6,2.57,2.57,86243.0,2.57,GOOG-H
2004-08-12,2.6,2.6,2.55,2.55,96814.0,2.55,GOOG-H
2004-08-13,2.55,2.58,2.55,2.58,80690.0,2.58,GOOG-H
2004-08-16,2.59,2.59,2.51,2.51,95104.0,2.51,GOOG-H
2004-08-17,2.55,2.55,2.51,2.55,40672.0,2.55,GOOG-H
2004-08-18,2.55,2.64,2.55,2.57,114255.0,2.57,GOOG-H
2004-08-19,2.57,2.6,2.56,2.57,113162.0,2.57,GOOG-H
2004-08-20,2.57,2.59,2.55,2.55,153360.0,2.55,GOOG-H
2004-08-23,2.65,2.66,2.6,2.65,713956.0,2.65,GOOG-H
2004-08-24,2.68,2.78,2.68,2.75,175178.0,2.75,GOOG-H
2004-08-25,2.78,2.8,2.75,2.75,259613.0,2.75,GOOG-H
2004-08-26,2.78,2.85,2.78,2.85,1058340.0,2.85,GOOG-H
2004-08-27,2.89,2.94,2.86,2.87,130474.0,2.87,GOOG-H
2004-08-30,2.89,2.93,2.88,2.88,128263.0,2.88,GOOG-H
2004-08-31,2.9,2.9,2.86,2.86,103091.0,2.86,GOOG-H
2004-09-01,2.87,2.88,2.85,2.85,84240.0,2.85,GOOG-H
2004-09-02,2.86,2.9,2.85,2.9,76688.0,2.9,GOOG-H
2004-09-03,2.92,2.92,2.85,2.85,104409.0,2.85,GOOG-H
2004-09-06,2.87,2.87,2.82,2.84,56646.0,2.84,GOOG-H
2004-09-07,2.85,2.85,2.82,2.83,58663.0,2.83,GOOG-H
2004-09-08,2.85,2.85,2.83,2.83,250948.0,2.83,GOOG-H
2004-09-09,2.82,2.84,2.82,2.84,83977.0,2.84,GOOG-H
2004-09-10,2.84,2.86,2.83,2.85,51332.0,2.85,GOOG-H
2004-09-13,2.84,2.84,2.8,2.81,151385.0,2.81,GOOG-H
2004-09-14,2.83,2.84,2.8,2.84,241715.0,2.84,GOOG-H
2004-09-15,2.85,2.88,2.84,2.88,281401.0,2.88,GOOG-H
2004-09-16,2.88,2.88,2.87,2.88,77083.0,2.88,GOOG-H
2004-09-17,2.87,2.89,2.85,2.89,44814.0,2.89,GOOG-H
2004-09-20,2.89,2.89,2.87,2.88,92180.0,2.88,GOOG-H
2004-09-21,2.87,2.9,2.86,2.89,659889.0,2.89,GOOG-H
2004-09-22,2.9,2.96,2.89,2.95,768371.0,2.95,GOOG-H
2004-09-23,2.94,3.05,2.94,3.04,631917.0,3.04,GOOG-H
2004-09-24,3.05,3.1,3.04,3.05,184102.0,3.05,GOOG-H
2004-09-27,3.05,3.1,3.05,3.07,150181.0,3.07,GOOG-H
2004-09-28,3.08,3.1,3.05,3.05,146309.0,3.05,GOOG-H
2004-09-29,3.08,3.15,3.06,3.15,299780.0,3.15,GOOG-H
2004-09-30,3.16,3.2,3.1,3.1,107736.0,3.1,GOOG-H
2004-10-01,3.13,3.13,3.09,3.12,85397.0,3.12,GOOG-H
2004-10-04,3.1,3.1,3.06,3.1,51154.0,3.1,GOOG-H
2004-10-05,3.09,3.09,3.01,3.01,99830.0,3.01,GOOG-H
2004-10-06,3.01,3.05,2.91,3.01,148260.0,3.01,GOOG-H
2004-10-07,3.01,3.04,2.95,3.04,204476.0,3.04,GOOG-H
2004-10-08,3.04,3.07,3.04,3.05,116180.0,3.05,GOOG-H
2004-10-11,3.05,3.05,3.0,3.04,95150.0,3.04,GOOG-H
2004-10-12,3.05,3.15,3.05,3.15,937705.0,3.15,GOOG-H
2004-10-13,3.19,3.25,3.18,3.22,256180.0,3.22,GOOG-H
2004-10-14,3.22,3.22,3.15,3.17,118276.0,3.17,GOOG-H
2004-10-15,3.17,3.18,3.1,3.16,95916.0,3.16,GOOG-H
2004-10-18,3.2,3.2,3.12,3.15,94668.0,3.15,GOOG-H
2004-10-19,3.17,3.18,3.12,3.12,107048.0,3.12,GOOG-H
