DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-07-26,8.6,8.6,8.48,8.55,212654.0,8.55,GOOG-H
1999-07-27,8.63,8.63,8.5,8.63,100545.0,8.63,GOOG-H
1999-07-28,8.6,8.6,8.54,8.58,96438.0,8.58,GOOG-H
1999-07-29,8.55,8.55,8.41,8.5,185050.0,8.5,GOOG-H
1999-07-30,8.46,8.46,8.25,8.4,518116.0,8.4,GOOG-H
1999-08-02,8.38,8.38,8.2,8.3,153000.0,8.3,GOOG-H
1999-08-03,8.35,8.35,8.21,8.25,246820.0,8.25,GOOG-H
1999-08-04,8.25,8.25,8.16,8.19,288321.0,8.19,GOOG-H
1999-08-05,8.28,8.28,8.11,8.15,180536.0,8.15,GOOG-H
1999-08-06,8.2,8.2,8.05,8.15,173492.0,8.15,GOOG-H
1999-08-09,8.09,8.09,7.96,8.03,163691.0,8.03,GOOG-H
1999-08-10,8.01,8.01,7.93,7.93,362819.0,7.93,GOOG-H
1999-08-11,7.9,7.9,7.8,7.8,206134.0,7.8,GOOG-H
1999-08-12,7.89,7.89,7.75,7.78,1252879.0,7.78,GOOG-H
1999-08-13,7.78,7.78,7.65,7.68,209523.0,7.68,GOOG-H
1999-08-16,7.95,7.95,7.75,7.89,1218378.0,7.89,GOOG-H
1999-08-17,8.03,8.03,7.89,8.01,383065.0,8.01,GOOG-H
1999-08-18,8.29,8.29,8.06,8.24,202209.0,8.24,GOOG-H
1999-08-19,8.37,8.37,8.19,8.37,527603.0,8.37,GOOG-H
1999-08-20,8.41,8.41,8.36,8.37,205487.0,8.37,GOOG-H
1999-08-23,8.45,8.45,8.35,8.42,127000.0,8.42,GOOG-H
1999-08-24,8.43,8.43,8.28,8.35,340712.0,8.35,GOOG-H
1999-08-25,8.37,8.37,8.3,8.36,343456.0,8.36,GOOG-H
1999-08-26,8.55,8.55,8.37,8.55,447021.0,8.55,GOOG-H
1999-08-27,8.77,8.77,8.48,8.7,243891.0,8.7,GOOG-H
1999-08-30,8.7,8.7,8.64,8.67,113142.0,8.67,GOOG-H
1999-08-31,8.63,8.63,8.49,8.53,1582477.0,8.53,GOOG-H
1999-09-01,8.6,8.6,8.5,8.6,276104.0,8.6,GOOG-H
1999-09-02,8.6,8.6,8.36,8.49,456052.0,8.49,GOOG-H
1999-09-03,8.48,8.48,8.34,8.38,107706.0,8.38,GOOG-H
1999-09-06,8.45,8.45,8.38,8.41,86017.0,8.41,GOOG-H
1999-09-07,8.4,8.4,8.34,8.4,401965.0,8.4,GOOG-H
1999-09-08,8.37,8.37,8.3,8.32,303645.0,8.32,GOOG-H
1999-09-09,8.38,8.38,8.33,8.34,447824.0,8.34,GOOG-H
1999-09-10,8.41,8.41,8.31,8.41,291585.0,8.41,GOOG-H
1999-09-13,8.45,8.45,8.35,8.4,121456.0,8.4,GOOG-H
1999-09-14,8.45,8.45,8.39,8.45,174174.0,8.45,GOOG-H
1999-09-15,8.4,8.4,8.36,8.4,353983.0,8.4,GOOG-H
1999-09-16,8.4,8.4,8.36,8.4,97966.0,8.4,GOOG-H
1999-09-17,8.43,8.43,8.35,8.41,199916.0,8.41,GOOG-H
1999-09-20,8.16,8.16,8.1,8.1,110783.0,8.1,GOOG-H
1999-09-21,8.13,8.13,7.87,7.89,265605.0,7.89,GOOG-H
1999-09-22,8.0,8.0,7.85,8.0,733953.0,8.0,GOOG-H
1999-09-23,8.09,8.09,8.0,8.06,132589.0,8.06,GOOG-H
1999-09-24,8.08,8.08,7.98,8.0,178596.0,8.0,GOOG-H
1999-09-27,8.05,8.05,7.95,7.95,78441.0,7.95,GOOG-H
1999-09-28,8.08,8.08,8.0,8.08,120668.0,8.08,GOOG-H
1999-09-29,8.1,8.1,8.02,8.1,109202.0,8.1,GOOG-H
1999-09-30,8.15,8.15,8.1,8.11,618659.0,8.11,GOOG-H
1999-10-01,8.19,8.19,8.12,8.18,231724.0,8.18,GOOG-H
1999-10-04,8.17,8.17,8.05,8.06,37883.0,8.06,GOOG-H
1999-10-05,8.07,8.12,8.05,8.12,132729.0,8.12,GOOG-H
1999-10-06,8.12,8.13,8.09,8.12,396424.0,8.12,GOOG-H
1999-10-07,8.17,8.17,8.12,8.12,343527.0,8.12,GOOG-H
1999-10-08,8.16,8.17,8.1,8.1,105210.0,8.1,GOOG-H
1999-10-11,8.15,8.29,8.14,8.25,132413.0,8.25,GOOG-H
1999-10-12,8.2,8.37,8.2,8.37,151026.0,8.37,GOOG-H
1999-10-13,8.35,8.35,8.25,8.3,97406.0,8.3,GOOG-H
1999-10-14,8.2,8.25,8.06,8.25,198681.0,8.25,GOOG-H
1999-10-15,8.26,8.3,8.19,8.2,126253.0,8.2,GOOG-H
1999-10-18,8.09,8.09,7.94,7.95,119908.0,7.95,GOOG-H
1999-10-19,7.95,7.96,7.82,7.88,433645.0,7.88,GOOG-H
1999-10-20,8.0,8.0,7.87,7.93,173211.0,7.93,GOOG-H
1999-10-21,8.02,8.06,7.93,8.04,317945.0,8.04,GOOG-H
1999-10-22,8.04,8.15,8.03,8.14,196285.0,8.14,GOOG-H
1999-10-25,8.18,8.18,8.08,8.11,125339.0,8.11,GOOG-H
1999-10-26,8.11,8.11,8.02,8.08,135833.0,8.08,GOOG-H
1999-10-27,8.0,8.05,7.85,7.98,107450.0,7.98,GOOG-H
1999-10-28,8.05,8.1,8.02,8.1,198316.0,8.1,GOOG-H
1999-10-29,8.2,8.26,8.11,8.26,390318.0,8.26,GOOG-H
1999-11-01,8.25,8.3,8.18,8.2,89381.0,8.2,GOOG-H
1999-11-02,8.2,8.2,8.13,8.13,78610.0,8.13,GOOG-H
1999-11-03,8.15,8.22,8.15,8.2,313654.0,8.2,GOOG-H
1999-11-04,8.25,8.29,8.2,8.26,229005.0,8.26,GOOG-H
1999-11-05,8.26,8.48,8.26,8.42,578669.0,8.42,GOOG-H
1999-11-08,8.4,8.42,8.33,8.35,334028.0,8.35,GOOG-H
1999-11-09,8.39,8.4,8.35,8.35,545800.0,8.35,GOOG-H
1999-11-10,8.35,8.39,8.28,8.39,358649.0,8.39,GOOG-H
1999-11-11,8.36,8.49,8.35,8.49,365423.0,8.49,GOOG-H
1999-11-12,8.4,8.45,8.2,8.45,251880.0,8.45,GOOG-H
1999-11-15,8.42,8.42,8.2,8.28,270691.0,8.28,GOOG-H
1999-11-16,8.29,8.4,8.22,8.34,373315.0,8.34,GOOG-H
1999-11-17,8.3,8.38,8.15,8.2,184270.0,8.2,GOOG-H
1999-11-18,8.2,8.26,8.05,8.26,266718.0,8.26,GOOG-H
1999-11-19,8.26,8.26,8.12,8.2,325017.0,8.2,GOOG-H
1999-11-22,8.19,8.19,8.07,8.1,290067.0,8.1,GOOG-H
1999-11-23,8.06,8.08,8.0,8.02,174385.0,8.02,GOOG-H
1999-11-24,8.0,8.1,8.0,8.01,212014.0,8.01,GOOG-H
1999-11-25,8.02,8.15,8.01,8.06,98071.0,8.06,GOOG-H
1999-11-26,8.08,8.14,8.03,8.1,175020.0,8.1,GOOG-H
1999-11-29,8.1,8.1,8.0,8.02,159415.0,8.02,GOOG-H
1999-11-30,8.02,8.13,8.01,8.13,218093.0,8.13,GOOG-H
1999-12-01,8.01,8.12,8.01,8.08,165475.0,8.08,GOOG-H
1999-12-02,8.08,8.2,8.06,8.19,371611.0,8.19,GOOG-H
1999-12-03,8.2,8.2,8.08,8.15,219443.0,8.15,GOOG-H
1999-12-06,8.15,8.15,8.01,8.03,233452.0,8.03,GOOG-H
1999-12-07,8.0,8.07,8.0,8.07,370234.0,8.07,GOOG-H
1999-12-08,8.07,8.25,8.02,8.24,287240.0,8.24,GOOG-H
1999-12-09,8.19,8.19,8.01,8.02,209962.0,8.02,GOOG-H
1999-12-10,8.1,8.12,8.06,8.08,257243.0,8.08,GOOG-H
1999-12-13,8.1,8.12,8.06,8.12,425706.0,8.12,GOOG-H
1999-12-14,8.1,8.12,8.05,8.08,491697.0,8.08,GOOG-H
1999-12-15,8.09,8.14,8.05,8.1,921932.0,8.1,GOOG-H
1999-12-16,8.1,8.14,8.05,8.14,267966.0,8.14,GOOG-H
1999-12-17,8.12,8.19,8.09,8.19,548677.0,8.19,GOOG-H
1999-12-20,8.19,8.19,8.12,8.15,270580.0,8.15,GOOG-H
1999-12-21,8.12,8.2,8.1,8.18,112908.0,8.18,GOOG-H
1999-12-22,8.18,8.25,8.16,8.25,227631.0,8.25,GOOG-H
1999-12-23,8.25,8.25,8.13,8.19,121950.0,8.19,GOOG-H
1999-12-24,8.18,8.23,8.18,8.21,47116.0,8.21,GOOG-H
1999-12-29,8.21,8.21,8.16,8.18,72755.0,8.18,GOOG-H
1999-12-30,8.14,8.22,8.14,8.21,102687.0,8.21,GOOG-H
2000-01-04,8.19,8.2,8.11,8.16,242264.0,8.16,GOOG-H
2000-01-05,8.1,8.13,8.01,8.1,245793.0,8.1,GOOG-H
2000-01-06,8.1,8.15,8.02,8.05,210461.0,8.05,GOOG-H
2000-01-07,8.04,8.14,8.03,8.06,122861.0,8.06,GOOG-H
2000-01-10,8.1,8.2,8.1,8.18,139590.0,8.18,GOOG-H
2000-01-11,8.2,8.2,8.01,8.04,725804.0,8.04,GOOG-H
2000-01-12,8.04,8.13,8.01,8.02,213108.0,8.02,GOOG-H
2000-01-13,8.04,8.05,7.97,8.0,355910.0,8.0,GOOG-H
2000-01-14,8.0,8.08,7.97,8.08,274083.0,8.08,GOOG-H
2000-01-17,8.08,8.1,8.0,8.06,247556.0,8.06,GOOG-H
2000-01-18,8.09,8.31,8.03,8.24,8486593.0,8.24,GOOG-H
2000-01-19,8.19,8.3,8.15,8.25,325662.0,8.25,GOOG-H
2000-01-20,8.21,8.29,8.19,8.25,199888.0,8.25,GOOG-H
2000-01-21,8.25,8.29,8.2,8.25,504981.0,8.25,GOOG-H
2000-01-24,8.16,8.26,8.15,8.2,90333.0,8.2,GOOG-H
2000-01-25,8.15,8.2,8.12,8.15,117583.0,8.15,GOOG-H
2000-01-27,8.13,8.2,8.13,8.2,278384.0,8.2,GOOG-H
2000-01-28,8.16,8.22,8.15,8.16,265551.0,8.16,GOOG-H
2000-01-31,8.12,8.16,8.12,8.16,229828.0,8.16,GOOG-H
2000-02-01,8.19,8.2,8.13,8.2,165657.0,8.2,GOOG-H
2000-02-02,8.15,8.2,8.12,8.15,73822.0,8.15,GOOG-H
2000-02-03,8.13,8.19,8.12,8.13,180183.0,8.13,GOOG-H
2000-02-04,8.14,8.18,8.1,8.1,201972.0,8.1,GOOG-H
2000-02-07,8.1,8.1,8.02,8.04,55486.0,8.04,GOOG-H
2000-02-08,8.0,8.08,8.0,8.05,238640.0,8.05,GOOG-H
2000-02-09,8.05,8.1,8.05,8.07,195902.0,8.07,GOOG-H
2000-02-10,8.02,8.07,7.96,7.97,459694.0,7.97,GOOG-H
2000-02-11,7.96,8.0,7.91,7.94,596003.0,7.94,GOOG-H
2000-02-14,7.93,7.95,7.8,7.87,380406.0,7.87,GOOG-H
2000-02-15,7.9,7.95,7.76,7.81,251470.0,7.81,GOOG-H
2000-02-16,7.82,7.95,7.66,7.86,209285.0,7.86,GOOG-H
2000-02-17,7.85,7.98,7.82,7.98,156105.0,7.98,GOOG-H
2000-02-18,7.94,7.98,7.75,7.85,119096.0,7.85,GOOG-H
2000-02-21,7.69,7.8,7.66,7.75,119854.0,7.75,GOOG-H
2000-02-22,7.75,7.79,7.68,7.68,225912.0,7.68,GOOG-H
2000-02-23,7.65,7.8,7.65,7.71,92451.0,7.71,GOOG-H
2000-02-24,7.75,7.8,7.65,7.7,764140.0,7.7,GOOG-H
2000-02-25,7.74,7.75,7.68,7.73,885096.0,7.73,GOOG-H
2000-02-28,7.67,7.8,7.6,7.7,3182874.0,7.7,GOOG-H
2000-02-29,7.7,7.79,7.7,7.72,1665626.0,7.72,GOOG-H
2000-03-01,7.72,7.72,7.51,7.6,766947.0,7.6,GOOG-H
2000-03-02,7.55,7.6,7.46,7.58,880295.0,7.58,GOOG-H
2000-03-03,7.58,7.58,7.33,7.37,472247.0,7.37,GOOG-H
2000-03-06,7.37,7.5,7.32,7.39,576109.0,7.39,GOOG-H
2000-03-07,7.4,7.42,7.35,7.4,490323.0,7.4,GOOG-H
2000-03-08,7.61,7.9,7.6,7.7,1084829.0,7.7,GOOG-H
2000-03-09,7.74,7.74,7.62,7.64,403656.0,7.64,GOOG-H
2000-03-10,7.65,7.78,7.65,7.72,527052.0,7.72,GOOG-H
2000-03-13,7.78,7.92,7.78,7.9,220793.0,7.9,GOOG-H
2000-03-14,7.92,7.93,7.88,7.9,434179.0,7.9,GOOG-H
2000-03-15,7.85,7.9,7.83,7.86,570702.0,7.86,GOOG-H
