DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,0.99,1.0,0.99,1.0,1553461.0,1.0,GOOG-Q
2018-09-27,1.0,1.02,1.0,1.0,2157768.0,1.0,GOOG-Q
2018-10-02,0.99,1.0,0.97,0.98,3486726.0,0.98,GOOG-Q
2018-10-03,0.97,1.0,0.97,0.99,1580337.0,0.99,GOOG-Q
2018-10-04,0.98,1.04,0.98,1.0,2635571.0,1.0,GOOG-Q
2018-10-05,1.01,1.02,0.99,1.02,1590092.0,1.02,GOOG-Q
2018-10-08,1.01,1.04,1.0,1.01,1961027.0,1.01,GOOG-Q
2018-10-09,1.0,1.0,0.97,0.97,2003639.0,0.97,GOOG-Q
2018-10-10,0.96,0.98,0.95,0.98,2676319.0,0.98,GOOG-Q
2018-10-11,0.96,0.98,0.92,0.94,2852314.0,0.94,GOOG-Q
2018-10-12,0.88,0.9,0.85,0.86,5901978.0,0.86,GOOG-Q
2018-10-15,0.81,0.85,0.79,0.83,7331457.0,0.83,GOOG-Q
2018-10-16,0.82,0.86,0.82,0.85,1531486.0,0.85,GOOG-Q
2018-10-17,0.84,0.86,0.84,0.86,1754744.0,0.86,GOOG-Q
