DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-08-14,1.33,1.33,1.33,1.33,5035739.0,1.33,GOOG-H
2002-08-15,1.33,1.34,1.33,1.33,338024.0,1.33,GOOG-H
2002-08-16,1.35,1.35,1.33,1.34,94987.0,1.34,GOOG-H
2002-08-19,1.35,1.35,1.32,1.32,59959.0,1.32,GOOG-H
2002-08-20,1.32,1.32,1.31,1.31,127670.0,1.31,GOOG-H
2002-08-21,1.31,1.32,1.3,1.31,178127.0,1.31,GOOG-H
2002-08-22,1.31,1.31,1.3,1.31,91828.0,1.31,GOOG-H
2002-08-23,1.3,1.42,1.3,1.42,189148.0,1.42,GOOG-H
2002-08-26,1.41,1.41,1.36,1.36,202584.0,1.36,GOOG-H
2002-08-27,1.35,1.35,1.3,1.31,354822.0,1.31,GOOG-H
2002-08-28,1.31,1.31,1.29,1.31,181026.0,1.31,GOOG-H
2002-08-29,1.31,1.31,1.29,1.29,6493975.0,1.29,GOOG-H
2002-08-30,1.29,1.3,1.29,1.29,127435.0,1.29,GOOG-H
2002-09-02,1.3,1.3,1.28,1.29,173599.0,1.29,GOOG-H
2002-09-03,1.29,1.32,1.28,1.32,486671.0,1.32,GOOG-H
2002-09-04,1.32,1.32,1.27,1.27,579304.0,1.27,GOOG-H
2002-09-05,1.28,1.29,1.26,1.26,2436931.0,1.26,GOOG-H
2002-09-06,1.26,1.26,1.22,1.22,2787790.0,1.22,GOOG-H
2002-09-09,1.22,1.22,1.17,1.17,1373295.0,1.17,GOOG-H
2002-09-10,1.18,1.18,1.14,1.14,3550056.0,1.14,GOOG-H
2002-09-11,1.15,1.2,1.14,1.18,4658420.0,1.18,GOOG-H
2002-09-12,1.18,1.24,1.18,1.23,9111472.0,1.23,GOOG-H
2002-09-13,1.23,1.27,1.21,1.25,5241153.0,1.25,GOOG-H
2002-09-16,1.26,1.26,1.22,1.23,1985246.0,1.23,GOOG-H
2002-09-17,1.24,1.31,1.23,1.29,5472952.0,1.29,GOOG-H
2002-09-18,1.29,1.31,1.27,1.29,876071.0,1.29,GOOG-H
2002-09-19,1.29,1.29,1.23,1.24,756820.0,1.24,GOOG-H
2002-09-20,1.23,1.25,1.2,1.22,1251931.0,1.22,GOOG-H
2002-09-23,1.25,1.25,1.2,1.2,525158.0,1.2,GOOG-H
2002-09-24,1.22,1.22,1.18,1.18,386099.0,1.18,GOOG-H
2002-09-25,1.2,1.2,1.15,1.15,1095295.0,1.15,GOOG-H
2002-09-26,1.16,1.16,1.12,1.12,1399912.0,1.12,GOOG-H
2002-09-27,1.15,1.15,1.08,1.11,2046512.0,1.11,GOOG-H
2002-09-30,1.02,1.07,1.01,1.03,3491586.0,1.03,GOOG-H
2002-10-01,1.03,1.07,1.03,1.04,1818792.0,1.04,GOOG-H
2002-10-02,1.07,1.07,0.98,0.99,3116822.0,0.99,GOOG-H
2002-10-03,0.96,0.98,0.88,0.88,8665430.0,0.88,GOOG-H
2002-10-04,0.88,0.95,0.84,0.91,8054379.0,0.91,GOOG-H
2002-10-07,0.93,0.93,0.89,0.89,900067.0,0.89,GOOG-H
2002-10-08,0.89,0.92,0.89,0.91,1123998.0,0.91,GOOG-H
2002-10-09,0.93,0.94,0.87,0.88,2680857.0,0.88,GOOG-H
2002-10-10,0.88,0.88,0.85,0.87,2339262.0,0.87,GOOG-H
2002-10-11,0.89,0.92,0.88,0.88,2000214.0,0.88,GOOG-H
2002-10-14,0.87,0.87,0.84,0.86,2721093.0,0.86,GOOG-H
2002-10-15,0.87,0.89,0.85,0.86,2700674.0,0.86,GOOG-H
2002-10-16,0.88,0.88,0.84,0.85,4508110.0,0.85,GOOG-H
2002-10-17,0.85,0.86,0.84,0.84,3764961.0,0.84,GOOG-H
2002-10-18,0.85,0.86,0.83,0.83,2871681.0,0.83,GOOG-H
2002-10-21,0.84,0.9,0.84,0.87,4579909.0,0.87,GOOG-H
2002-10-22,0.89,0.92,0.88,0.91,5670349.0,0.91,GOOG-H
2002-10-23,0.92,0.95,0.92,0.94,4007277.0,0.94,GOOG-H
2002-10-24,0.96,1.0,0.96,0.97,7443748.0,0.97,GOOG-H
2002-10-25,0.97,0.98,0.95,0.95,2527341.0,0.95,GOOG-H
2002-10-28,0.96,0.98,0.96,0.96,2624334.0,0.96,GOOG-H
2002-10-29,0.96,0.96,0.94,0.95,800997.0,0.95,GOOG-H
2002-10-30,0.95,0.96,0.92,0.92,9226322.0,0.92,GOOG-H
2002-10-31,0.92,0.93,0.91,0.93,1588057.0,0.93,GOOG-H
2002-11-01,0.93,0.96,0.93,0.94,4733398.0,0.94,GOOG-H
2002-11-04,0.94,0.98,0.94,0.97,2658922.0,0.97,GOOG-H
2002-11-05,0.97,0.99,0.97,0.98,3057731.0,0.98,GOOG-H
2002-11-06,1.03,1.05,1.0,1.01,11175028.0,1.01,GOOG-H
2002-11-07,1.02,1.04,1.0,1.01,3862455.0,1.01,GOOG-H
2002-11-08,1.0,1.01,0.99,1.0,2557957.0,1.0,GOOG-H
2002-11-11,1.0,1.0,0.97,0.98,3475522.0,0.98,GOOG-H
