DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,4.38,4.38,4.29,4.34,367679.0,4.34,GOOG-H
1999-01-05,4.47,4.47,4.35,4.39,977175.0,4.39,GOOG-H
1999-01-06,4.44,4.44,4.36,4.36,688376.0,4.36,GOOG-H
1999-01-07,4.47,4.47,4.4,4.41,947973.0,4.41,GOOG-H
1999-01-08,4.5,4.5,4.39,4.46,641536.0,4.46,GOOG-H
1999-01-11,4.48,4.48,4.39,4.42,380237.0,4.42,GOOG-H
1999-01-12,4.46,4.46,4.37,4.37,498823.0,4.37,GOOG-H
1999-01-13,4.37,4.37,4.29,4.35,282206.0,4.35,GOOG-H
1999-01-14,4.44,4.44,4.29,4.39,485746.0,4.39,GOOG-H
1999-01-15,4.42,4.42,4.35,4.39,607476.0,4.39,GOOG-H
1999-01-18,4.44,4.44,4.39,4.4,456654.0,4.4,GOOG-H
1999-01-19,4.5,4.5,4.41,4.43,182528.0,4.43,GOOG-H
1999-01-20,4.63,4.63,4.39,4.52,1106618.0,4.52,GOOG-H
1999-01-21,4.67,4.67,4.52,4.6,1195821.0,4.6,GOOG-H
1999-01-22,4.84,4.84,4.63,4.82,1493207.0,4.82,GOOG-H
1999-01-25,4.97,4.97,4.81,4.97,1142954.0,4.97,GOOG-H
1999-01-27,5.08,5.08,4.84,4.87,597906.0,4.87,GOOG-H
1999-01-28,4.87,4.87,4.78,4.8,623855.0,4.8,GOOG-H
1999-01-29,4.86,4.86,4.81,4.85,1070522.0,4.85,GOOG-H
1999-02-01,4.89,4.89,4.78,4.86,538810.0,4.86,GOOG-H
1999-02-02,4.89,4.89,4.81,4.84,371609.0,4.84,GOOG-H
1999-02-03,4.99,4.99,4.84,4.97,403058.0,4.97,GOOG-H
1999-02-04,4.99,4.99,4.86,4.91,414003.0,4.91,GOOG-H
1999-02-05,4.96,4.96,4.71,4.77,720086.0,4.77,GOOG-H
1999-02-08,4.87,4.87,4.78,4.78,171950.0,4.78,GOOG-H
1999-02-09,4.84,4.84,4.75,4.76,345826.0,4.76,GOOG-H
1999-02-10,4.8,4.8,4.73,4.78,479509.0,4.78,GOOG-H
1999-02-11,4.89,4.89,4.77,4.83,558585.0,4.83,GOOG-H
1999-02-12,4.89,4.89,4.8,4.8,413590.0,4.8,GOOG-H
1999-02-15,4.8,4.8,4.75,4.76,922524.0,4.76,GOOG-H
1999-02-16,4.78,4.78,4.74,4.75,316979.0,4.75,GOOG-H
1999-02-17,4.86,4.86,4.76,4.84,655264.0,4.84,GOOG-H
1999-02-18,4.84,4.84,4.74,4.74,526148.0,4.74,GOOG-H
1999-02-19,4.83,4.83,4.71,4.83,1103972.0,4.83,GOOG-H
1999-02-22,4.86,4.86,4.68,4.69,730430.0,4.69,GOOG-H
1999-02-23,4.78,4.78,4.66,4.68,497600.0,4.68,GOOG-H
1999-02-24,4.92,4.92,4.72,4.88,675416.0,4.88,GOOG-H
1999-02-25,4.95,4.95,4.76,4.89,494838.0,4.89,GOOG-H
1999-02-26,4.92,4.92,4.84,4.84,411450.0,4.84,GOOG-H
1999-03-01,4.92,4.92,4.86,4.91,379469.0,4.91,GOOG-H
1999-03-02,5.06,5.06,4.92,4.99,1929553.0,4.99,GOOG-H
1999-03-03,5.09,5.09,5.01,5.01,569985.0,5.01,GOOG-H
1999-03-04,5.04,5.04,4.94,4.99,291788.0,4.99,GOOG-H
