DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1999-01-04,2.99,2.99,2.97,2.99,1408.0,2.99,GOOG-H
1999-01-05,3.04,3.04,2.99,3.03,1506.0,3.03,GOOG-H
1999-01-06,3.07,3.07,3.03,3.05,1073.0,3.05,GOOG-H
1999-01-07,3.13,3.13,3.07,3.13,441.0,3.13,GOOG-H
1999-01-08,3.17,3.17,3.12,3.16,714.0,3.16,GOOG-H
1999-01-11,3.19,3.19,3.16,3.17,801.0,3.17,GOOG-H
1999-01-12,3.17,3.17,3.16,3.16,242.0,3.16,GOOG-H
1999-01-13,3.14,3.14,3.07,3.07,443.0,3.07,GOOG-H
1999-01-14,3.11,3.11,3.04,3.11,283.0,3.11,GOOG-H
1999-01-15,3.1,3.1,3.06,3.06,155.0,3.06,GOOG-H
1999-01-18,3.07,3.07,3.05,3.07,372.0,3.07,GOOG-H
1999-01-19,3.1,3.1,3.03,3.07,710.0,3.07,GOOG-H
1999-01-20,3.07,3.07,3.04,3.05,2498.0,3.05,GOOG-H
1999-01-21,3.1,3.1,3.07,3.1,660.0,3.1,GOOG-H
1999-01-22,3.11,3.11,3.1,3.11,766.0,3.11,GOOG-H
1999-01-25,3.12,3.12,3.1,3.1,1490.0,3.1,GOOG-H
1999-01-27,3.14,3.14,3.12,3.14,487.0,3.14,GOOG-H
1999-01-28,3.2,3.2,3.14,3.2,8329.0,3.2,GOOG-H
1999-01-29,3.46,3.46,3.25,3.37,2268.0,3.37,GOOG-H
1999-02-01,3.39,3.39,3.35,3.36,635.0,3.36,GOOG-H
1999-02-02,3.43,3.43,3.37,3.43,6855.0,3.43,GOOG-H
1999-02-03,3.61,3.61,3.44,3.59,6340.0,3.59,GOOG-H
1999-02-04,3.62,3.62,3.6,3.61,1874.0,3.61,GOOG-H
1999-02-05,3.61,3.61,3.55,3.57,5077.0,3.57,GOOG-H
1999-02-08,3.6,3.6,3.52,3.52,1446.0,3.52,GOOG-H
1999-02-09,3.52,3.52,3.44,3.44,633.0,3.44,GOOG-H
1999-02-10,3.46,3.46,3.41,3.43,369.0,3.43,GOOG-H
1999-02-11,3.44,3.44,3.43,3.43,606.0,3.43,GOOG-H
1999-02-12,3.48,3.48,3.41,3.43,3443.0,3.43,GOOG-H
1999-02-15,3.41,3.41,3.41,3.41,6193.0,3.41,GOOG-H
1999-02-16,3.42,3.42,3.4,3.4,637.0,3.4,GOOG-H
1999-02-17,3.41,3.41,3.35,3.36,241.0,3.36,GOOG-H
1999-02-18,3.37,3.37,3.34,3.35,2322.0,3.35,GOOG-H
1999-02-19,3.41,3.41,3.36,3.41,460.0,3.41,GOOG-H
1999-02-22,3.43,3.43,3.43,3.43,416.0,3.43,GOOG-H
1999-02-23,3.43,3.43,3.43,3.43,458.0,3.43,GOOG-H
1999-02-24,3.43,3.43,3.43,3.43,790.0,3.43,GOOG-H
1999-02-25,3.43,3.43,3.39,3.42,3773.0,3.42,GOOG-H
1999-02-26,3.42,3.42,3.36,3.36,1653.0,3.36,GOOG-H
1999-03-01,3.41,3.41,3.37,3.41,306.0,3.41,GOOG-H
