DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-12-13,2.2,2.21,2.18,2.21,4209858.0,2.21,GOOG-H
2011-12-14,2.18,2.2,2.14,2.19,1305111.0,2.19,GOOG-H
2011-12-15,2.18,2.18,2.15,2.17,811510.0,2.17,GOOG-H
2011-12-16,2.18,2.2,2.18,2.2,904265.0,2.2,GOOG-H
2011-12-19,2.2,2.24,2.19,2.23,2238291.0,2.23,GOOG-H
2011-12-20,2.22,2.29,2.22,2.25,475635.0,2.25,GOOG-H
2011-12-21,2.28,2.29,2.25,2.28,1161320.0,2.28,GOOG-H
2011-12-22,2.28,2.28,2.25,2.26,95213.0,2.26,GOOG-H
2011-12-23,2.27,2.27,2.26,2.26,123383.0,2.26,GOOG-H
2011-12-28,2.26,2.26,2.23,2.24,25392.0,2.24,GOOG-H
2011-12-29,2.24,2.24,2.24,2.24,2894.0,2.24,GOOG-H
2011-12-30,2.24,2.26,2.24,2.26,11220.0,2.26,GOOG-H
2012-01-03,2.26,2.26,2.26,2.26,4900.0,2.26,GOOG-H
2012-01-04,2.26,2.35,2.26,2.35,504489.0,2.35,GOOG-H
2012-01-05,2.3,2.31,2.3,2.3,491290.0,2.3,GOOG-H
2012-01-06,2.3,2.34,2.3,2.31,121980.0,2.31,GOOG-H
2012-01-09,2.31,2.31,2.3,2.31,29650.0,2.31,GOOG-H
2012-01-10,2.31,2.31,2.3,2.31,14998.0,2.31,GOOG-H
2012-01-11,2.31,2.31,2.31,2.31,13434.0,2.31,GOOG-H
2012-01-12,2.31,2.31,2.31,2.31,51600.0,2.31,GOOG-H
2012-01-13,2.29,2.29,2.25,2.25,61869.0,2.25,GOOG-H
2012-01-16,2.25,2.31,2.25,2.28,210157.0,2.28,GOOG-H
2012-01-17,2.28,2.28,2.28,2.28,20000.0,2.28,GOOG-H
2012-01-18,2.24,2.24,2.21,2.24,4113.0,2.24,GOOG-H
2012-01-19,2.22,2.22,2.21,2.22,49844.0,2.22,GOOG-H
2012-01-20,2.22,2.23,2.22,2.22,155270.0,2.22,GOOG-H
2012-01-23,2.24,2.24,2.23,2.23,65034.0,2.23,GOOG-H
2012-01-24,2.23,2.24,2.23,2.24,11000.0,2.24,GOOG-H
2012-01-25,2.24,2.28,2.21,2.24,6575.0,2.24,GOOG-H
2012-01-27,2.23,2.23,2.22,2.23,14700.0,2.23,GOOG-H
2012-01-30,2.25,2.25,2.23,2.23,10736.0,2.23,GOOG-H
2012-01-31,2.22,2.22,2.18,2.18,110926.0,2.18,GOOG-H
2012-02-01,2.21,2.24,2.21,2.24,28975.0,2.24,GOOG-H
2012-02-02,2.25,2.26,2.23,2.23,21548.0,2.23,GOOG-H
2012-02-03,2.26,2.3,2.26,2.28,760575.0,2.28,GOOG-H
2012-02-07,2.3,2.38,2.3,2.36,890229.0,2.36,GOOG-H
2012-02-08,2.35,2.35,2.33,2.35,36312.0,2.35,GOOG-H
2012-02-09,2.35,2.35,2.35,2.35,15300.0,2.35,GOOG-H
2012-02-13,2.4,2.45,2.4,2.44,218133.0,2.44,GOOG-H
2012-02-14,2.41,2.43,2.41,2.41,64750.0,2.41,GOOG-H
2012-02-15,2.44,2.47,2.44,2.45,28350.0,2.45,GOOG-H
2012-02-16,2.45,2.45,2.42,2.44,1062834.0,2.44,GOOG-H
2012-02-17,2.42,2.44,2.42,2.43,5049452.0,2.43,GOOG-H
2012-02-20,2.44,2.45,2.43,2.44,849798.0,2.44,GOOG-H
2012-02-21,2.45,2.47,2.44,2.47,33977.0,2.47,GOOG-H
2012-02-22,2.48,2.49,2.45,2.45,2530830.0,2.45,GOOG-H
2012-02-24,2.44,2.45,2.44,2.45,2100.0,2.45,GOOG-H
2012-02-27,2.46,2.49,2.45,2.45,31462.0,2.45,GOOG-H
2012-02-28,2.49,2.49,2.48,2.48,36998.0,2.48,GOOG-H
2012-02-29,2.48,2.48,2.46,2.46,3986.0,2.46,GOOG-H
2012-03-05,2.48,2.48,2.43,2.43,57734.0,2.43,GOOG-H
2012-03-06,2.43,2.43,2.4,2.41,21858.0,2.41,GOOG-H
2012-03-07,2.37,2.37,2.37,2.37,973.0,2.37,GOOG-H
2012-03-08,2.41,2.49,2.41,2.49,9517.0,2.49,GOOG-H
2012-03-09,2.47,2.49,2.47,2.49,50431.0,2.49,GOOG-H
2012-03-12,2.5,2.53,2.5,2.53,3034.0,2.53,GOOG-H
2012-03-13,2.58,2.75,2.57,2.63,19170.0,2.63,GOOG-H
2012-03-14,2.64,2.66,2.63,2.66,3962.0,2.66,GOOG-H
2012-03-15,2.61,2.61,2.61,2.61,739.0,2.61,GOOG-H
2012-03-16,2.64,2.64,2.61,2.64,54586.0,2.64,GOOG-H
2012-03-19,2.68,2.7,2.68,2.69,121201.0,2.69,GOOG-H
2012-03-20,2.7,2.7,2.7,2.7,7900.0,2.7,GOOG-H
2012-03-21,2.76,2.76,2.71,2.71,9983.0,2.71,GOOG-H
2012-03-22,2.74,2.74,2.72,2.72,4376.0,2.72,GOOG-H
2012-03-23,2.74,2.76,2.74,2.76,1705.0,2.76,GOOG-H
2012-03-26,2.7,2.71,2.7,2.71,609.0,2.71,GOOG-H
2012-03-27,2.73,2.75,2.73,2.74,16382.0,2.74,GOOG-H
2012-03-28,2.75,2.76,2.73,2.74,125797.0,2.74,GOOG-H
2012-03-29,2.74,2.76,2.74,2.76,64317.0,2.76,GOOG-H
2012-03-30,2.75,2.79,2.75,2.79,13472.0,2.79,GOOG-H
2012-04-02,2.79,2.85,2.75,2.85,15308.0,2.85,GOOG-H
2012-04-03,2.75,2.75,2.73,2.75,6217.0,2.75,GOOG-H
2012-04-04,2.75,2.76,2.73,2.73,22210.0,2.73,GOOG-H
2012-04-05,2.72,2.72,2.62,2.67,9091.0,2.67,GOOG-H
2012-04-10,2.67,2.67,2.67,2.67,945.0,2.67,GOOG-H
2012-04-11,2.64,2.64,2.64,2.64,9738.0,2.64,GOOG-H
2012-04-12,2.7,2.72,2.7,2.71,155003.0,2.71,GOOG-H
2012-04-13,2.73,2.82,2.73,2.82,210991.0,2.82,GOOG-H
2012-04-16,2.84,2.84,2.78,2.78,8177.0,2.78,GOOG-H
2012-04-17,2.77,2.77,2.77,2.77,361037.0,2.77,GOOG-H
2012-04-18,2.77,2.77,2.75,2.75,155504.0,2.75,GOOG-H
2012-04-19,2.75,2.75,2.75,2.75,9738.0,2.75,GOOG-H
2012-04-20,2.75,2.77,2.67,2.67,67168.0,2.67,GOOG-H
2012-04-23,2.76,2.76,2.76,2.76,100036.0,2.76,GOOG-H
2012-04-24,2.76,2.8,2.76,2.77,122598.0,2.77,GOOG-H
2012-04-26,2.77,2.77,2.75,2.75,31051.0,2.75,GOOG-H
2012-04-27,2.75,2.82,2.75,2.77,35699.0,2.77,GOOG-H
2012-04-30,2.84,2.84,2.83,2.84,392500.0,2.84,GOOG-H
2012-05-01,2.88,2.89,2.88,2.88,7037.0,2.88,GOOG-H
2012-05-02,2.95,3.04,2.95,3.04,1277367.0,3.04,GOOG-H
2012-05-03,3.03,3.03,3.0,3.03,66769.0,3.03,GOOG-H
2012-05-04,3.0,3.01,3.0,3.01,23014.0,3.01,GOOG-H
2012-05-07,2.98,3.0,2.96,2.99,44861.0,2.99,GOOG-H
2012-05-08,2.98,3.01,2.97,3.0,1248205.0,3.0,GOOG-H
2012-05-09,2.98,3.03,2.98,3.03,113574.0,3.03,GOOG-H
2012-05-10,2.99,3.05,2.99,3.05,47419.0,3.05,GOOG-H
2012-05-11,3.06,3.09,3.06,3.08,205571.0,3.08,GOOG-H
2012-05-14,3.13,3.15,3.12,3.15,1781845.0,3.15,GOOG-H
2012-05-15,3.13,3.13,3.11,3.12,644335.0,3.12,GOOG-H
2012-05-16,3.15,3.18,3.12,3.13,545310.0,3.13,GOOG-H
2012-05-17,3.15,3.15,3.1,3.13,1625506.0,3.13,GOOG-H
2012-05-18,3.13,3.13,3.08,3.1,1264547.0,3.1,GOOG-H
2012-05-21,3.09,3.09,3.01,3.03,41701.0,3.03,GOOG-H
2012-05-22,3.05,3.1,3.05,3.1,4986.0,3.1,GOOG-H
2012-05-23,3.07,3.09,3.01,3.01,346288.0,3.01,GOOG-H
2012-05-24,3.01,3.01,2.94,2.94,16771.0,2.94,GOOG-H
2012-05-25,2.98,3.02,2.98,3.0,307584.0,3.0,GOOG-H
2012-05-28,3.05,3.05,3.02,3.05,55528.0,3.05,GOOG-H
2012-05-29,3.05,3.05,3.0,3.0,47901.0,3.0,GOOG-H
2012-05-30,3.05,3.26,3.05,3.26,20547.0,3.26,GOOG-H
2012-05-31,3.05,3.2,3.05,3.12,250427.0,3.12,GOOG-H
2012-06-01,3.1,3.12,3.09,3.11,13749.0,3.11,GOOG-H
2012-06-04,3.06,3.07,3.06,3.06,1070.0,3.06,GOOG-H
2012-06-05,3.1,3.1,3.0,3.0,166459.0,3.0,GOOG-H
2012-06-06,3.02,3.03,3.0,3.03,159641.0,3.03,GOOG-H
2012-06-07,3.03,3.03,2.99,3.03,1394717.0,3.03,GOOG-H
2012-06-08,2.95,3.0,2.95,2.97,568094.0,2.97,GOOG-H
2012-06-12,2.95,2.95,2.91,2.93,131427.0,2.93,GOOG-H
2012-06-13,2.9,2.91,2.83,2.85,172145.0,2.85,GOOG-H
2012-06-14,2.8,2.88,2.78,2.88,276305.0,2.88,GOOG-H
2012-06-15,2.83,2.84,2.75,2.79,236976.0,2.79,GOOG-H
2012-06-18,2.91,2.95,2.88,2.95,34630888.0,2.95,GOOG-H
2012-06-19,2.94,2.97,2.93,2.94,621416.0,2.94,GOOG-H
2012-06-20,2.97,2.97,2.9,2.92,94270.0,2.92,GOOG-H
2012-06-21,2.94,2.94,2.92,2.92,93310.0,2.92,GOOG-H
2012-06-22,2.88,2.88,2.84,2.87,29571.0,2.87,GOOG-H
2012-06-25,2.92,2.95,2.9,2.9,90607.0,2.9,GOOG-H
2012-06-26,2.9,2.92,2.86,2.9,474312.0,2.9,GOOG-H
2012-06-27,2.88,2.9,2.86,2.86,209049.0,2.86,GOOG-H
2012-06-28,2.87,2.9,2.87,2.88,36681.0,2.88,GOOG-H
2012-06-29,2.88,2.92,2.88,2.92,65765.0,2.92,GOOG-H
2012-07-02,2.92,2.94,2.92,2.93,30852.0,2.93,GOOG-H
2012-07-04,2.93,2.95,2.93,2.94,46717.0,2.94,GOOG-H
2012-07-05,2.94,2.97,2.93,2.94,47405.0,2.94,GOOG-H
2012-07-06,2.93,2.95,2.93,2.93,31688.0,2.93,GOOG-H
2012-07-09,2.93,2.93,2.83,2.9,24321.0,2.9,GOOG-H
