DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2001-05-10,0.32,0.35,0.3,0.33,4669505.0,0.33,GOOG-H
2001-05-11,0.33,0.33,0.31,0.32,794954.0,0.32,GOOG-H
2001-05-14,0.32,0.33,0.32,0.33,490249.0,0.33,GOOG-H
2001-05-15,0.33,0.33,0.31,0.32,385359.0,0.32,GOOG-H
2001-05-16,0.32,0.32,0.31,0.31,1298091.0,0.31,GOOG-H
2001-05-17,0.31,0.32,0.31,0.31,585269.0,0.31,GOOG-H
2001-05-18,0.32,0.32,0.31,0.32,172952.0,0.32,GOOG-H
2001-05-21,0.31,0.31,0.31,0.31,349146.0,0.31,GOOG-H
2001-05-22,0.32,0.32,0.31,0.31,71318.0,0.31,GOOG-H
2001-05-23,0.32,0.32,0.31,0.31,347919.0,0.31,GOOG-H
2001-05-24,0.31,0.31,0.3,0.31,112278.0,0.31,GOOG-H
2001-05-25,0.31,0.32,0.31,0.32,128662.0,0.32,GOOG-H
2001-05-28,0.31,0.31,0.31,0.31,108528.0,0.31,GOOG-H
2001-05-29,0.31,0.31,0.3,0.3,92729.0,0.3,GOOG-H
2001-05-30,0.31,0.31,0.31,0.31,87615.0,0.31,GOOG-H
2001-05-31,0.31,0.31,0.31,0.31,400839.0,0.31,GOOG-H
2001-06-01,0.31,0.31,0.3,0.31,151574.0,0.31,GOOG-H
2001-06-04,0.31,0.31,0.3,0.3,115522.0,0.3,GOOG-H
2001-06-05,0.3,0.31,0.3,0.3,208390.0,0.3,GOOG-H
2001-06-06,0.3,0.3,0.3,0.3,105464.0,0.3,GOOG-H
2001-06-07,0.3,0.3,0.3,0.3,148945.0,0.3,GOOG-H
2001-06-08,0.3,0.3,0.29,0.29,777258.0,0.29,GOOG-H
2001-06-12,0.29,0.29,0.29,0.29,244225.0,0.29,GOOG-H
2001-06-13,0.29,0.29,0.29,0.29,1345331.0,0.29,GOOG-H
2001-06-14,0.29,0.29,0.29,0.29,183240.0,0.29,GOOG-H
2001-06-15,0.29,0.29,0.29,0.29,866081.0,0.29,GOOG-H
2001-06-18,0.29,0.29,0.29,0.29,477502.0,0.29,GOOG-H
2001-06-19,0.29,0.3,0.29,0.3,293646.0,0.3,GOOG-H
2001-06-20,0.3,0.3,0.29,0.29,28913.0,0.29,GOOG-H
2001-06-21,0.3,0.31,0.3,0.31,155955.0,0.31,GOOG-H
2001-06-25,0.3,0.31,0.3,0.31,43807.0,0.31,GOOG-H
2001-06-26,0.3,0.31,0.3,0.3,33644.0,0.3,GOOG-H
2001-06-27,0.3,0.31,0.3,0.31,93485.0,0.31,GOOG-H
2001-06-28,0.31,0.31,0.31,0.31,32417.0,0.31,GOOG-H
2001-06-29,0.31,0.31,0.3,0.3,163840.0,0.3,GOOG-H
2001-07-02,0.3,0.3,0.3,0.3,66149.0,0.3,GOOG-H
2001-07-03,0.3,0.3,0.3,0.3,39795.0,0.3,GOOG-H
2001-07-04,0.3,0.3,0.3,0.3,31541.0,0.3,GOOG-H
2001-07-05,0.29,0.29,0.29,0.29,128794.0,0.29,GOOG-H
2001-07-06,0.29,0.29,0.29,0.29,97033.0,0.29,GOOG-H
2001-07-09,0.29,0.29,0.29,0.29,229551.0,0.29,GOOG-H
