DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-05-10,3.15,3.3,3.08,3.3,53576272.0,3.3,GOOG-H
2011-05-11,3.31,3.56,3.31,3.46,18107512.0,3.46,GOOG-H
2011-05-12,3.38,3.42,3.31,3.33,18481376.0,3.33,GOOG-H
2011-05-13,3.33,3.39,3.31,3.39,6485208.0,3.39,GOOG-H
2011-05-16,3.34,3.58,3.34,3.52,6125694.0,3.52,GOOG-H
2011-05-17,3.46,3.57,3.46,3.52,9128840.0,3.52,GOOG-H
2011-05-18,3.51,3.54,3.46,3.49,8077401.0,3.49,GOOG-H
2011-05-19,3.47,3.49,3.43,3.44,8861559.0,3.44,GOOG-H
2011-05-20,3.45,3.45,3.34,3.36,3621543.0,3.36,GOOG-H
2011-05-23,3.34,3.34,3.19,3.19,5640113.0,3.19,GOOG-H
2011-05-24,3.08,3.21,3.08,3.15,18761172.0,3.15,GOOG-H
2011-05-25,3.16,3.25,3.16,3.16,11143804.0,3.16,GOOG-H
2011-05-26,3.19,3.22,3.18,3.2,16230292.0,3.2,GOOG-H
2011-05-27,3.21,3.36,3.21,3.33,8896535.0,3.33,GOOG-H
2011-05-30,3.3,3.37,3.3,3.36,3290101.0,3.36,GOOG-H
2011-05-31,3.33,3.36,3.28,3.28,5223865.0,3.28,GOOG-H
2011-06-01,3.26,3.33,3.26,3.32,3467584.0,3.32,GOOG-H
2011-06-02,3.28,3.36,3.27,3.34,13881366.0,3.34,GOOG-H
2011-06-03,3.37,3.41,3.37,3.4,13081982.0,3.4,GOOG-H
2011-06-06,3.37,3.44,3.35,3.41,7429563.0,3.41,GOOG-H
2011-06-07,3.35,3.41,3.35,3.41,5024025.0,3.41,GOOG-H
2011-06-08,3.41,3.45,3.39,3.4,16020324.0,3.4,GOOG-H
2011-06-09,3.42,3.45,3.38,3.44,9109801.0,3.44,GOOG-H
2011-06-10,3.47,3.49,3.41,3.43,8208979.0,3.43,GOOG-H
2011-06-14,3.41,3.42,3.37,3.4,5775246.0,3.4,GOOG-H
2011-06-15,3.34,3.4,3.34,3.37,8791773.0,3.37,GOOG-H
2011-06-16,3.32,3.33,3.29,3.29,9386652.0,3.29,GOOG-H
2011-06-17,3.26,3.31,3.21,3.24,5631850.0,3.24,GOOG-H
2011-06-20,3.21,3.28,3.21,3.25,2641177.0,3.25,GOOG-H
2011-06-21,3.33,3.46,3.31,3.39,9444757.0,3.39,GOOG-H
2011-06-22,3.44,3.44,3.37,3.38,9020060.0,3.38,GOOG-H
2011-06-23,3.41,3.43,3.37,3.39,3795320.0,3.39,GOOG-H
2011-06-24,3.35,3.39,3.29,3.31,4877082.0,3.31,GOOG-H
2011-06-27,3.24,3.32,3.24,3.3,4587180.0,3.3,GOOG-H
2011-06-28,3.28,3.34,3.28,3.32,2517378.0,3.32,GOOG-H
2011-06-29,3.32,3.4,3.3,3.36,3882366.0,3.36,GOOG-H
2011-06-30,3.35,3.37,3.31,3.34,5708633.0,3.34,GOOG-H
2011-07-01,3.3,3.33,3.25,3.31,2292354.0,3.31,GOOG-H
2011-07-04,3.53,3.68,3.51,3.61,11475885.0,3.61,GOOG-H
