DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-05-31,14.65,14.87,14.65,14.71,202186,14.71,GOOG-H
2018-06-01,14.66,14.83,14.61,14.73,1980453,14.73,GOOG-H
2018-06-04,14.78,14.84,14.46,14.51,10533249,14.51,GOOG-H
2018-06-05,14.5,14.63,14.47,14.63,1218413,14.63,GOOG-H
2018-06-06,14.89,14.89,14.73,14.76,1056461,14.76,GOOG-H
2018-06-07,14.46,14.8,14.46,14.8,398929,14.8,GOOG-H
2018-06-08,14.6,14.8,14.59,14.78,2864210,14.78,GOOG-H
2018-06-12,14.52,14.59,14.51,14.54,5404827,14.54,GOOG-H
2018-06-13,14.4,14.48,14.4,14.44,2335112,14.44,GOOG-H
2018-06-14,14.61,14.72,14.49,14.64,5993977,14.64,GOOG-H
2018-06-15,14.73,14.99,14.73,14.81,5195069,14.81,GOOG-H
2018-06-18,15.03,15.17,14.94,14.96,4778900,14.96,GOOG-H
2018-06-19,14.82,14.95,14.79,14.87,6674814,14.87,GOOG-H
2018-06-20,14.83,14.9,14.82,14.87,5117632,14.87,GOOG-H
2018-06-21,14.92,15.06,14.9,14.94,4211372,14.94,GOOG-H
2018-06-22,14.77,14.94,14.75,14.76,1990753,14.76,GOOG-H
2018-06-25,14.81,14.86,14.76,14.84,1230281,14.84,GOOG-H
2018-06-26,14.85,14.96,14.82,14.82,910801,14.82,GOOG-H
2018-06-27,14.73,14.92,14.72,14.72,826363,14.72,GOOG-H
2018-06-28,14.67,14.75,14.67,14.74,807229,14.74,GOOG-H
2018-06-29,14.72,14.8,14.66,14.67,964926,14.67,GOOG-H
2018-07-02,14.89,14.96,14.75,14.75,843176,14.75,GOOG-H
2018-07-03,14.71,14.78,14.65,14.78,641326,14.78,GOOG-H
2018-07-04,14.71,14.75,14.64,14.69,449746,14.69,GOOG-H
2018-07-05,14.96,14.96,14.83,14.96,764560,14.96,GOOG-H
2018-07-06,14.98,15.15,14.85,15.04,809986,15.04,GOOG-H
2018-07-09,14.92,14.92,14.64,14.8,575325,14.8,GOOG-H
2018-07-10,14.75,14.8,14.73,14.76,1132690,14.76,GOOG-H
2018-07-11,14.87,14.89,14.82,14.88,821171,14.88,GOOG-H
2018-07-12,14.87,14.88,14.71,14.81,1036633,14.81,GOOG-H
2018-07-13,14.73,14.76,14.64,14.7,933130,14.7,GOOG-H
2018-07-16,14.73,14.73,14.62,14.71,1244380,14.71,GOOG-H
2018-07-17,14.7,14.72,14.61,14.68,1421176,14.68,GOOG-H
2018-07-18,14.68,14.69,14.6,14.67,1185892,14.67,GOOG-H
2018-07-19,14.7,14.79,14.66,14.72,903892,14.72,GOOG-H
2018-07-20,14.75,14.96,14.72,14.81,925540,14.81,GOOG-H
2018-07-23,14.71,14.72,14.67,14.72,734729,14.72,GOOG-H
2018-07-24,14.71,14.81,14.7,14.7,906230,14.7,GOOG-H
2018-07-25,14.68,14.69,14.6,14.66,1141163,14.66,GOOG-H
2018-07-26,14.7,14.9,14.63,14.79,1204123,14.79,GOOG-H
2018-07-27,14.9,15.0,14.82,14.83,824843,14.83,GOOG-H
2018-07-30,14.77,14.87,14.73,14.84,1790738,14.84,GOOG-H
2018-07-31,14.92,15.01,14.81,14.87,1380074,14.87,GOOG-H
2018-08-01,14.9,15.15,14.88,15.1,1757049,15.1,GOOG-H
2018-08-02,14.88,14.94,14.84,14.84,1681534,14.84,GOOG-H
2018-08-03,14.91,15.02,14.81,14.9,1028233,14.9,GOOG-H
2018-08-06,14.95,14.99,14.84,14.95,894372,14.95,GOOG-H
2018-08-07,14.9,14.95,14.81,14.84,1165940,14.84,GOOG-H
2018-08-08,14.77,14.87,14.75,14.79,1200073,14.79,GOOG-H
2018-08-09,14.79,14.83,14.75,14.78,832249,14.78,GOOG-H
2018-08-10,14.84,14.84,14.75,14.8,563781,14.8,GOOG-H
2018-08-13,14.68,14.68,14.51,14.59,1335976,14.59,GOOG-H
2018-08-14,14.63,14.69,14.57,14.62,1062446,14.62,GOOG-H
2018-08-15,14.55,14.55,14.44,14.53,1205861,14.53,GOOG-H
2018-08-16,14.45,14.45,14.4,14.43,1137545,14.43,GOOG-H
2018-08-17,14.51,14.59,14.5,14.55,588221,14.55,GOOG-H
2018-08-20,14.62,14.73,14.57,14.59,748706,14.59,GOOG-H
2018-08-21,14.57,14.61,14.5,14.52,465829,14.52,GOOG-H
2018-08-22,14.49,14.55,14.48,14.52,334247,14.52,GOOG-H
2018-08-23,14.57,14.68,14.56,14.66,789312,14.66,GOOG-H
2018-08-24,14.75,14.83,14.72,14.79,943028,14.79,GOOG-H
2018-08-27,14.71,14.77,14.65,14.71,1066844,14.71,GOOG-H
2018-08-28,14.77,14.91,14.76,14.81,845415,14.81,GOOG-H
2018-08-29,14.94,15.03,14.93,14.99,1959567,14.99,GOOG-H
2018-08-30,15.05,15.07,14.98,14.99,1660888,14.99,GOOG-H
2018-08-31,14.7,14.93,14.52,14.52,1015906,14.52,GOOG-H
2018-09-03,14.6,14.63,14.58,14.6,551752,14.6,GOOG-H
2018-09-04,14.35,14.41,14.25,14.36,1111957,14.36,GOOG-H
2018-09-05,14.13,14.22,14.09,14.2,6827253,14.2,GOOG-H
2018-09-06,14.12,14.18,14.09,14.12,936490,14.12,GOOG-H
2018-09-07,14.0,14.02,13.95,13.97,1399307,13.97,GOOG-H
2018-09-10,13.86,13.98,13.84,13.93,1024804,13.93,GOOG-H
2018-09-11,13.97,14.1,13.92,13.95,527849,13.95,GOOG-H
2018-09-12,13.89,14.02,13.88,13.95,643439,13.95,GOOG-H
2018-09-13,13.93,14.02,13.92,14.0,628783,14.0,GOOG-H
2018-09-14,14.09,14.16,14.09,14.15,598376,14.15,GOOG-H
2018-09-17,14.13,14.17,14.09,14.1,294296,14.1,GOOG-H
2018-09-18,14.14,14.28,14.13,14.25,676708,14.25,GOOG-H
2018-09-19,14.3,14.39,14.26,14.28,1748437,14.28,GOOG-H
2018-09-20,14.08,14.18,13.99,14.02,2977846,14.02,GOOG-H
2018-09-21,14.17,14.31,14.16,14.25,1393306,14.25,GOOG-H
2018-09-24,14.03,14.1,13.91,14.06,706654,14.06,GOOG-H
2018-09-25,14.09,14.2,14.05,14.17,1094480,14.17,GOOG-H
2018-09-26,14.17,14.17,14.08,14.12,443307,14.12,GOOG-H
2018-09-27,14.28,14.37,14.25,14.34,495538,14.34,GOOG-H
2018-09-28,14.35,14.38,14.12,14.12,1165269,14.12,GOOG-H
2018-10-01,14.01,14.03,13.93,13.97,281245,13.97,GOOG-H
2018-10-02,13.89,13.9,13.77,13.78,1054480,13.78,GOOG-H
2018-10-03,13.73,13.8,13.68,13.74,359443,13.74,GOOG-H
2018-10-04,13.72,13.78,13.68,13.68,641401,13.68,GOOG-H
2018-10-05,13.44,13.44,13.31,13.37,948956,13.37,GOOG-H
2018-10-08,13.32,13.38,13.22,13.22,382937,13.22,GOOG-H
2018-10-09,13.14,13.22,13.13,13.16,746566,13.16,GOOG-H
2018-10-10,13.28,13.34,13.25,13.29,768616,13.29,GOOG-H
2018-10-11,13.15,13.23,13.13,13.2,1355722,13.2,GOOG-H
2018-10-12,13.03,13.14,12.99,13.11,963778,13.11,GOOG-H
2018-10-15,12.8,12.8,12.66,12.75,743949,12.75,GOOG-H
