DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-12-05,1.7,1.83,1.7,1.74,3743338.0,1.74,GOOG-H
2011-12-06,1.75,1.82,1.75,1.77,12593560.0,1.77,GOOG-H
2011-12-07,1.76,1.79,1.76,1.79,14150816.0,1.79,GOOG-H
2011-12-08,1.8,1.84,1.78,1.81,14219215.0,1.81,GOOG-H
2011-12-09,1.8,1.82,1.8,1.82,7914091.0,1.82,GOOG-H
2011-12-12,1.83,1.85,1.8,1.8,9113001.0,1.8,GOOG-H
2011-12-13,1.79,1.79,1.75,1.79,278116.0,1.79,GOOG-H
2011-12-14,1.81,1.81,1.74,1.78,2411472.0,1.78,GOOG-H
2011-12-15,1.76,1.76,1.66,1.74,3796109.0,1.74,GOOG-H
2011-12-16,1.71,1.74,1.71,1.72,1809571.0,1.72,GOOG-H
2011-12-19,1.72,1.72,1.68,1.7,1123672.0,1.7,GOOG-H
2011-12-20,1.71,1.71,1.68,1.7,3245311.0,1.7,GOOG-H
2011-12-21,1.71,1.74,1.7,1.72,1743560.0,1.72,GOOG-H
2011-12-22,1.72,1.72,1.71,1.71,3463447.0,1.71,GOOG-H
2011-12-23,1.71,1.73,1.7,1.71,2294666.0,1.71,GOOG-H
2011-12-28,1.71,1.73,1.71,1.71,12845659.0,1.71,GOOG-H
2011-12-29,1.71,1.72,1.71,1.72,38744.0,1.72,GOOG-H
2011-12-30,1.72,1.72,1.71,1.72,596934.0,1.72,GOOG-H
2012-01-03,1.72,1.85,1.72,1.82,2346084.0,1.82,GOOG-H
2012-01-04,1.82,1.88,1.82,1.85,2572852.0,1.85,GOOG-H
2012-01-05,1.86,1.87,1.83,1.86,3316275.0,1.86,GOOG-H
2012-01-06,1.86,1.86,1.84,1.84,2726332.0,1.84,GOOG-H
2012-01-09,1.84,1.84,1.8,1.81,1188220.0,1.81,GOOG-H
2012-01-10,1.8,1.81,1.8,1.8,6159053.0,1.8,GOOG-H
2012-01-11,1.8,1.81,1.8,1.81,6475256.0,1.81,GOOG-H
2012-01-12,1.8,1.81,1.79,1.81,4343656.0,1.81,GOOG-H
2012-01-13,1.8,1.81,1.8,1.8,816735.0,1.8,GOOG-H
2012-01-16,1.8,1.81,1.8,1.81,1150162.0,1.81,GOOG-H
2012-01-17,1.81,1.84,1.8,1.84,7975383.0,1.84,GOOG-H
2012-01-18,1.84,1.84,1.83,1.83,4450703.0,1.83,GOOG-H
2012-01-19,1.83,1.84,1.82,1.83,2701588.0,1.83,GOOG-H
