DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,10.26,10.26,10.05,10.05,2309250.0,10.05,GOOG-H
2000-01-05,9.88,9.9,9.82,9.87,2440199.0,9.87,GOOG-H
2000-01-06,9.9,9.93,9.76,9.85,4324818.0,9.85,GOOG-H
2000-01-07,9.85,9.88,9.8,9.85,2344155.0,9.85,GOOG-H
2000-01-10,10.04,10.06,9.9,9.95,1639811.0,9.95,GOOG-H
2000-01-11,9.9,10.0,9.89,9.96,4041176.0,9.96,GOOG-H
2000-01-12,9.79,10.05,9.79,9.97,5274176.0,9.97,GOOG-H
2000-01-13,9.95,10.09,9.95,10.05,6470779.0,10.05,GOOG-H
2000-01-14,10.09,10.22,10.09,10.2,4287483.0,10.2,GOOG-H
2000-01-17,10.25,10.49,10.24,10.48,104138504.0,10.48,GOOG-H
2000-01-18,10.41,10.63,10.39,10.5,21753982.0,10.5,GOOG-H
2000-01-19,10.43,10.47,10.36,10.37,18062832.0,10.37,GOOG-H
2000-01-20,10.38,10.43,10.3,10.39,4653953.0,10.39,GOOG-H
2000-01-21,10.32,10.32,10.25,10.25,7898883.0,10.25,GOOG-H
2000-01-24,10.24,10.28,10.22,10.24,3024709.0,10.24,GOOG-H
2000-01-25,10.12,10.2,10.1,10.2,68420672.0,10.2,GOOG-H
2000-01-26,10.2,10.2,10.2,10.2,100000.0,10.2,GOOG-H
2000-01-27,10.24,10.43,10.22,10.35,5916112.0,10.35,GOOG-H
2000-01-28,10.34,10.78,10.34,10.53,13754130.0,10.53,GOOG-H
2000-01-31,10.29,10.39,10.25,10.38,6420232.0,10.38,GOOG-H
2000-02-01,10.38,10.41,10.11,10.25,2679048.0,10.25,GOOG-H
2000-02-02,10.36,10.51,10.28,10.34,3526854.0,10.34,GOOG-H
2000-02-03,10.34,10.63,10.34,10.51,8926696.0,10.51,GOOG-H
2000-02-04,10.49,10.59,10.42,10.49,4017022.0,10.49,GOOG-H
2000-02-07,10.47,10.7,10.43,10.59,4008103.0,10.59,GOOG-H
2000-02-08,10.59,10.76,10.59,10.65,2401217.0,10.65,GOOG-H
2000-02-09,10.65,10.92,10.65,10.9,3228870.0,10.9,GOOG-H
2000-02-10,10.77,10.83,10.75,10.8,11836259.0,10.8,GOOG-H
2000-02-11,10.72,10.72,10.45,10.48,3028332.0,10.48,GOOG-H
2000-02-14,10.41,10.43,10.27,10.4,3434784.0,10.4,GOOG-H
2000-02-15,10.41,10.45,10.29,10.3,2723246.0,10.3,GOOG-H
2000-02-16,10.3,10.34,10.1,10.16,4413561.0,10.16,GOOG-H
2000-02-17,10.12,10.13,9.83,9.93,5081196.0,9.93,GOOG-H
2000-02-18,9.92,9.95,9.78,9.85,4049606.0,9.85,GOOG-H
2000-02-21,9.72,9.93,9.72,9.9,3102481.0,9.9,GOOG-H
2000-02-22,9.88,9.89,9.69,9.85,4117406.0,9.85,GOOG-H
2000-02-23,9.82,10.09,9.8,9.93,3329788.0,9.93,GOOG-H
2000-02-24,9.9,9.95,9.75,9.91,4734766.0,9.91,GOOG-H
2000-02-25,9.76,10.24,9.76,10.24,3337511.0,10.24,GOOG-H
2000-02-28,10.14,10.14,9.91,9.91,1658665.0,9.91,GOOG-H
2000-02-29,9.95,10.18,9.95,10.14,2689931.0,10.14,GOOG-H
2000-03-01,10.19,10.5,10.07,10.5,3064046.0,10.5,GOOG-H
2000-03-02,10.48,10.48,10.24,10.32,3996015.0,10.32,GOOG-H
2000-03-03,10.28,10.32,10.04,10.15,2741903.0,10.15,GOOG-H
2000-03-06,10.24,10.24,10.06,10.15,2086487.0,10.15,GOOG-H
2000-03-07,10.04,10.2,10.04,10.15,2048403.0,10.15,GOOG-H
2000-03-08,10.04,10.38,10.02,10.24,2149532.0,10.24,GOOG-H
2000-03-09,10.24,10.58,10.24,10.53,3922246.0,10.53,GOOG-H
