DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,15.54,15.54,15.13,15.36,797036.0,15.36,GOOG-Q
2018-09-27,15.63,15.66,15.32,15.35,388786.0,15.35,GOOG-Q
2018-10-02,15.14,15.41,14.92,14.96,424439.0,14.96,GOOG-Q
2018-10-03,14.88,15.1,14.79,14.97,392091.0,14.97,GOOG-Q
2018-10-04,14.85,15.03,14.3,14.36,602151.0,14.36,GOOG-Q
2018-10-05,14.24,14.41,14.1,14.14,455629.0,14.14,GOOG-Q
2018-10-08,14.09,14.39,14.07,14.09,562284.0,14.09,GOOG-Q
2018-10-09,14.0,14.21,13.96,13.98,666922.0,13.98,GOOG-Q
2018-10-10,13.95,14.31,13.95,14.27,652324.0,14.27,GOOG-Q
2018-10-11,14.19,14.19,13.54,13.68,809361.0,13.68,GOOG-Q
2018-10-12,13.51,13.9,13.44,13.81,729706.0,13.81,GOOG-Q
2018-10-15,13.53,13.86,13.4,13.53,736194.0,13.53,GOOG-Q
2018-10-16,13.51,13.74,13.42,13.7,192011.0,13.7,GOOG-Q
2018-10-17,13.83,14.35,13.83,14.3,583615.0,14.3,GOOG-Q
