DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,49.08,49.75,49.08,49.75,2538509.0,49.75,GOOG-Q
2018-09-27,49.8,50.03,49.49,49.7,2951580.0,49.7,GOOG-Q
2018-10-02,49.39,49.65,48.7,48.82,2065546.0,48.82,GOOG-Q
2018-10-03,48.74,49.41,48.74,49.3,1500929.0,49.3,GOOG-Q
2018-10-04,49.68,49.82,49.25,49.32,1038343.0,49.32,GOOG-Q
2018-10-05,49.7,49.93,49.31,49.57,987639.0,49.57,GOOG-Q
2018-10-08,49.15,49.59,48.77,49.32,1346441.0,49.32,GOOG-Q
2018-10-09,49.0,49.3,48.53,48.79,2074033.0,48.79,GOOG-Q
2018-10-10,48.68,49.07,48.52,48.95,1585138.0,48.95,GOOG-Q
2018-10-11,48.1,48.4,47.4,47.45,2848869.0,47.45,GOOG-Q
2018-10-12,47.35,47.67,47.02,47.33,3500214.0,47.33,GOOG-Q
2018-10-15,46.92,47.44,46.91,47.18,1921900.0,47.18,GOOG-Q
2018-10-16,47.2,47.98,47.18,47.38,1451949.0,47.38,GOOG-Q
2018-10-17,47.6,47.86,47.21,47.53,1174626.0,47.53,GOOG-Q
2018-10-18,47.92,47.92,47.08,47.3,2465027.0,47.3,GOOG-Q
2018-10-19,47.0,47.44,47.0,47.3,2177294.0,47.3,GOOG-Q
2018-10-22,47.11,47.92,47.1,47.76,1556942.0,47.76,GOOG-Q
2018-10-23,47.7,47.88,47.12,47.12,1377975.0,47.12,GOOG-Q
2018-10-24,47.21,47.69,47.14,47.21,2310227.0,47.21,GOOG-Q
2018-10-29,45.7,46.28,45.7,46.26,987993.0,46.26,GOOG-Q
2018-10-30,46.3,46.53,45.9,46.53,1771934.0,46.53,GOOG-Q
2018-11-01,46.65,46.71,45.5,45.75,2993941.0,45.75,GOOG-Q
2018-11-02,45.22,45.58,45.03,45.58,2175767.0,45.58,GOOG-Q
