DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,5.45,5.55,5.42,5.45,6720100.0,5.45,GOOG-Q
2018-09-27,5.44,5.48,5.36,5.38,6182777.0,5.38,GOOG-Q
2018-10-02,5.53,5.53,5.42,5.46,5961917.0,5.46,GOOG-Q
2018-10-03,5.53,5.59,5.5,5.54,4936480.0,5.54,GOOG-Q
2018-10-04,5.61,5.75,5.6,5.69,8383373.0,5.69,GOOG-Q
2018-10-05,5.75,5.75,5.62,5.66,4243384.0,5.66,GOOG-Q
2018-10-08,5.58,5.64,5.49,5.56,6747220.0,5.56,GOOG-Q
2018-10-09,5.53,5.63,5.52,5.6,5916285.0,5.6,GOOG-Q
2018-10-10,5.58,5.71,5.58,5.6,5652537.0,5.6,GOOG-Q
2018-10-11,5.45,5.49,5.38,5.44,11361437.0,5.44,GOOG-Q
2018-10-12,5.36,5.51,5.36,5.41,7499920.0,5.41,GOOG-Q
2018-10-15,5.3,5.45,5.29,5.4,5576071.0,5.4,GOOG-Q
2018-10-16,5.33,5.53,5.22,5.46,5865891.0,5.46,GOOG-Q
2018-10-17,5.56,5.65,5.38,5.39,5214034.0,5.39,GOOG-Q
2018-10-18,5.35,5.59,5.34,5.56,7202060.0,5.56,GOOG-Q
2018-10-19,5.47,5.5,5.41,5.45,4061891.0,5.45,GOOG-Q
2018-10-22,5.42,5.48,5.35,5.42,4505056.0,5.42,GOOG-Q
2018-10-23,5.4,5.4,5.18,5.22,7574561.0,5.22,GOOG-Q
2018-10-24,5.2,5.24,5.14,5.22,6725105.0,5.22,GOOG-Q
2018-10-29,4.88,4.98,4.86,4.88,2419971.0,4.88,GOOG-Q
2018-10-30,4.8,4.91,4.77,4.87,4209510.0,4.87,GOOG-Q
2018-11-01,5.0,5.01,4.86,4.88,3843245.0,4.88,GOOG-Q
2018-11-02,4.79,4.88,4.77,4.86,5057639.0,4.86,GOOG-Q
