DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,27.98,28.14,27.84,28.08,6053375.0,28.08,GOOG-Q
2018-09-27,28.2,28.33,27.97,28.04,2902629.0,28.04,GOOG-Q
2018-10-02,27.9,28.19,27.9,28.04,2704457.0,28.04,GOOG-Q
2018-10-03,28.0,28.14,27.77,27.97,1388714.0,27.97,GOOG-Q
2018-10-04,27.98,28.1,27.83,27.88,1125626.0,27.88,GOOG-Q
2018-10-05,28.06,28.42,27.97,28.35,2169194.0,28.35,GOOG-Q
2018-10-08,28.3,28.42,28.11,28.3,1389210.0,28.3,GOOG-Q
2018-10-09,28.25,28.3,28.0,28.24,4685638.0,28.24,GOOG-Q
2018-10-10,28.11,28.24,27.88,28.12,2573461.0,28.12,GOOG-Q
2018-10-11,27.73,27.92,27.61,27.82,3518664.0,27.82,GOOG-Q
2018-10-12,27.64,27.84,27.54,27.63,3600004.0,27.63,GOOG-Q
2018-10-15,27.48,27.53,27.19,27.46,2059479.0,27.46,GOOG-Q
2018-10-16,27.39,27.67,27.26,27.42,1004433.0,27.42,GOOG-Q
2018-10-17,27.41,27.84,27.39,27.79,1263063.0,27.79,GOOG-Q
