DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,38.34,38.65,38.26,38.55,4129593.0,38.55,GOOG-Q
2018-09-27,38.2,38.89,38.2,38.64,2332602.0,38.64,GOOG-Q
2018-10-02,38.59,38.79,38.24,38.4,2636620.0,38.4,GOOG-Q
2018-10-03,38.5,38.78,38.24,38.64,1970526.0,38.64,GOOG-Q
2018-10-04,38.96,39.23,38.76,38.96,1637083.0,38.96,GOOG-Q
2018-10-05,38.7,39.38,38.55,39.0,1992481.0,39.0,GOOG-Q
2018-10-08,38.7,38.84,38.21,38.22,1719019.0,38.22,GOOG-Q
2018-10-09,37.88,38.17,37.7,37.7,2043670.0,37.7,GOOG-Q
2018-10-10,37.65,38.25,37.59,38.03,2357747.0,38.03,GOOG-Q
2018-10-11,37.2,37.3,36.62,36.65,3496788.0,36.65,GOOG-Q
2018-10-12,36.25,36.35,35.8,36.0,3278678.0,36.0,GOOG-Q
2018-10-15,35.9,36.29,35.69,36.11,2518343.0,36.11,GOOG-Q
2018-10-16,36.11,36.13,35.81,35.91,1561432.0,35.91,GOOG-Q
2018-10-17,36.21,36.55,36.18,36.32,1668678.0,36.32,GOOG-Q
2018-10-18,36.14,36.21,35.67,36.0,2387718.0,36.0,GOOG-Q
2018-10-19,36.16,36.42,35.85,36.17,2865994.0,36.17,GOOG-Q
2018-10-22,35.8,36.01,35.69,35.78,2996373.0,35.78,GOOG-Q
2018-10-23,35.56,35.81,34.72,34.75,3063174.0,34.75,GOOG-Q
2018-10-24,34.38,34.48,33.94,34.3,2217971.0,34.3,GOOG-Q
2018-10-29,33.51,33.94,33.31,33.89,1115965.0,33.89,GOOG-Q
2018-10-30,33.61,34.23,33.59,34.08,2606890.0,34.08,GOOG-Q
2018-11-01,34.79,34.95,34.35,34.53,3738050.0,34.53,GOOG-Q
2018-11-02,34.35,34.35,33.85,34.18,2674483.0,34.18,GOOG-Q
