DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-26,2.7,2.72,2.64,2.64,1580404.0,2.64,GOOG-Q
2018-09-27,2.64,2.68,2.6,2.66,1497877.0,2.66,GOOG-Q
2018-10-02,2.7,2.75,2.7,2.71,2118280.0,2.71,GOOG-Q
2018-10-03,2.68,2.77,2.67,2.76,3052592.0,2.76,GOOG-Q
2018-10-04,2.8,2.86,2.76,2.83,2848677.0,2.83,GOOG-Q
2018-10-05,2.78,2.78,2.69,2.75,2432971.0,2.75,GOOG-Q
2018-10-08,2.71,2.74,2.6,2.61,2778724.0,2.61,GOOG-Q
2018-10-09,2.58,2.64,2.57,2.59,2068061.0,2.59,GOOG-Q
2018-10-10,2.65,2.65,2.56,2.58,1588332.0,2.58,GOOG-Q
2018-10-11,2.48,2.54,2.4,2.51,3310727.0,2.51,GOOG-Q
2018-10-12,2.44,2.55,2.43,2.53,1514913.0,2.53,GOOG-Q
2018-10-15,2.47,2.5,2.44,2.47,1311643.0,2.47,GOOG-Q
2018-10-16,2.45,2.52,2.45,2.47,786934.0,2.47,GOOG-Q
2018-10-17,2.44,2.46,2.4,2.4,806281.0,2.4,GOOG-Q
