DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,25.13,25.13,24.0,24.22,5346100.0,24.22,GOOG-H
2000-01-04,23.88,23.97,22.5,22.78,10949700.0,22.78,GOOG-H
2000-01-05,22.53,23.22,22.28,23.03,9429500.0,23.03,GOOG-H
2000-01-06,23.47,24.78,23.41,24.63,7191600.0,24.63,GOOG-H
2000-01-07,24.81,24.81,24.0,24.34,4854300.0,24.34,GOOG-H
2000-01-10,24.47,24.47,23.34,23.44,4435300.0,23.44,GOOG-H
2000-01-11,22.78,23.47,22.78,23.0,4438900.0,23.0,GOOG-H
2000-01-12,23.0,23.53,23.0,23.25,4870400.0,23.25,GOOG-H
2000-01-13,23.5,23.91,23.44,23.78,5164200.0,23.78,GOOG-H
2000-01-14,24.41,25.28,24.41,25.19,8539600.0,25.19,GOOG-H
2000-01-18,25.0,25.0,23.91,23.91,6695500.0,23.91,GOOG-H
2000-01-19,23.94,24.5,23.34,23.53,6871000.0,23.53,GOOG-H
2000-01-20,23.75,23.97,23.0,23.0,5159000.0,23.0,GOOG-H
2000-01-21,23.25,23.34,22.78,22.84,5403100.0,22.84,GOOG-H
2000-01-24,22.84,22.84,22.28,22.5,4043800.0,22.5,GOOG-H
2000-01-25,22.47,22.84,22.34,22.56,6840300.0,22.56,GOOG-H
2000-01-26,22.88,23.66,22.69,23.56,6547300.0,23.56,GOOG-H
2000-01-27,23.78,24.16,23.53,24.13,5258300.0,24.13,GOOG-H
2000-01-28,23.78,24.16,22.88,22.88,5970600.0,22.88,GOOG-H
2000-01-31,23.25,24.22,23.19,24.22,6504300.0,24.22,GOOG-H
2000-02-01,24.06,24.47,24.03,24.22,3650200.0,24.22,GOOG-H
2000-02-02,23.75,24.25,23.72,23.78,5034600.0,23.78,GOOG-H
2000-02-03,23.84,23.88,22.75,23.22,9902300.0,23.22,GOOG-H
2000-02-04,23.47,23.53,22.66,22.69,5413200.0,22.69,GOOG-H
2000-02-07,22.66,22.75,22.44,22.56,4225200.0,22.56,GOOG-H
2000-02-08,22.91,23.63,22.91,23.56,4351000.0,23.56,GOOG-H
2000-02-09,23.56,23.56,23.03,23.03,4018500.0,23.03,GOOG-H
2000-02-10,23.03,23.22,22.41,22.44,4572200.0,22.44,GOOG-H
2000-02-11,22.5,23.31,22.5,22.59,5616000.0,22.59,GOOG-H
2000-02-14,22.84,22.97,22.03,22.13,5474900.0,22.13,GOOG-H
2000-02-15,22.03,23.0,22.03,22.88,5810800.0,22.88,GOOG-H
2000-02-16,23.13,23.22,22.56,22.59,5120400.0,22.59,GOOG-H
2000-02-17,22.72,23.0,22.16,22.31,4479900.0,22.31,GOOG-H
2000-02-18,22.28,22.34,21.69,21.84,5300900.0,21.84,GOOG-H
2000-02-22,21.59,22.94,21.53,22.47,5382400.0,22.47,GOOG-H
2000-02-23,22.5,23.31,22.22,22.88,5539200.0,22.88,GOOG-H
2000-02-24,22.94,23.13,21.94,22.41,4747600.0,22.41,GOOG-H
2000-02-25,22.38,22.91,22.09,22.13,4404900.0,22.13,GOOG-H
2000-02-28,22.38,23.47,22.34,22.97,5672100.0,22.97,GOOG-H
