DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,15.27,15.4,14.97,15.22,943700.0,15.22,GOOG-H
2000-01-04,14.97,15.13,14.82,14.88,372600.0,14.88,GOOG-H
2000-01-05,14.88,15.71,14.75,15.53,1019800.0,15.53,GOOG-H
2000-01-06,15.34,15.99,15.34,15.85,731000.0,15.85,GOOG-H
2000-01-07,15.96,16.78,15.9,16.75,1095300.0,16.75,GOOG-H
2000-01-10,16.8,16.8,16.06,16.12,471500.0,16.12,GOOG-H
2000-01-11,15.93,16.27,15.82,16.12,554900.0,16.12,GOOG-H
2000-01-12,16.16,16.21,15.93,15.93,462500.0,15.93,GOOG-H
2000-01-13,16.06,16.58,15.99,16.3,668600.0,16.3,GOOG-H
2000-01-14,16.12,16.18,15.48,15.81,1009100.0,15.81,GOOG-H
2000-01-18,15.75,15.84,15.5,15.61,604200.0,15.61,GOOG-H
2000-01-19,15.61,15.71,15.45,15.58,651900.0,15.58,GOOG-H
2000-01-20,15.51,15.56,15.0,15.13,1329900.0,15.13,GOOG-H
2000-01-21,15.51,15.56,15.0,15.06,1574500.0,15.06,GOOG-H
2000-01-24,15.11,15.11,14.6,14.71,708800.0,14.71,GOOG-H
2000-01-25,14.66,14.66,13.95,14.41,1848400.0,14.41,GOOG-H
2000-01-26,14.32,14.6,13.89,14.43,2511300.0,14.43,GOOG-H
2000-01-27,14.75,15.87,14.66,15.62,2836800.0,15.62,GOOG-H
2000-01-28,15.64,16.46,15.37,15.54,1937400.0,15.54,GOOG-H
2000-01-31,15.87,15.96,15.61,15.84,2048800.0,15.84,GOOG-H
2000-02-01,15.87,15.96,15.54,15.65,664800.0,15.65,GOOG-H
2000-02-02,15.78,15.78,15.47,15.71,1210600.0,15.71,GOOG-H
2000-02-03,15.75,15.78,15.58,15.75,887300.0,15.75,GOOG-H
2000-02-04,15.68,15.84,15.68,15.75,1198400.0,15.75,GOOG-H
2000-02-07,15.68,15.78,15.5,15.64,840200.0,15.64,GOOG-H
2000-02-08,15.58,15.82,15.48,15.61,671200.0,15.61,GOOG-H
