DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,10.67,10.81,10.37,10.56,345100.0,10.56,GOOG-H
2000-01-04,10.54,10.58,10.19,10.37,472000.0,10.37,GOOG-H
2000-01-05,10.35,10.56,10.17,10.54,719400.0,10.54,GOOG-H
2000-01-06,10.52,11.46,10.52,11.19,1039000.0,11.19,GOOG-H
2000-01-07,11.52,11.52,11.0,11.27,442900.0,11.27,GOOG-H
2000-01-10,11.35,11.42,11.21,11.33,227100.0,11.33,GOOG-H
2000-01-11,11.19,11.29,11.08,11.15,236500.0,11.15,GOOG-H
2000-01-12,11.02,11.27,11.02,11.19,256600.0,11.19,GOOG-H
2000-01-13,11.12,11.37,11.12,11.19,937500.0,11.19,GOOG-H
2000-01-14,11.19,11.23,10.94,11.12,1669800.0,11.12,GOOG-H
2000-01-18,11.06,11.23,11.0,11.1,405200.0,11.1,GOOG-H
2000-01-19,11.08,11.17,11.02,11.1,343800.0,11.1,GOOG-H
2000-01-20,11.08,11.48,11.08,11.42,612200.0,11.42,GOOG-H
2000-01-21,11.87,12.06,11.67,11.79,844500.0,11.79,GOOG-H
2000-01-24,11.87,12.1,11.87,11.94,400400.0,11.94,GOOG-H
2000-01-25,12.02,13.06,12.0,12.83,1561600.0,12.83,GOOG-H
2000-01-26,12.25,12.83,12.04,12.67,842500.0,12.67,GOOG-H
2000-01-27,12.62,12.62,12.19,12.29,604700.0,12.29,GOOG-H
2000-01-28,12.62,12.62,11.87,11.92,451200.0,11.92,GOOG-H
2000-01-31,11.92,11.96,11.77,11.9,520800.0,11.9,GOOG-H
2000-02-01,11.9,11.9,11.6,11.67,473200.0,11.67,GOOG-H
2000-02-02,11.67,12.06,11.42,11.85,2356500.0,11.85,GOOG-H
2000-02-03,11.71,12.02,11.71,11.79,241500.0,11.79,GOOG-H
2000-02-04,11.77,12.19,11.77,12.1,374200.0,12.1,GOOG-H
2000-02-07,12.0,12.15,11.85,11.85,419800.0,11.85,GOOG-H
2000-02-08,11.92,11.94,11.67,11.71,304300.0,11.71,GOOG-H
2000-02-09,11.71,11.71,11.19,11.19,332000.0,11.19,GOOG-H
2000-02-10,11.54,11.54,11.02,11.06,308800.0,11.06,GOOG-H
