DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,40.55,40.68,39.15,39.15,2475700.0,39.15,GOOG-H
2000-01-04,39.15,39.15,36.97,38.09,2668400.0,38.09,GOOG-H
2000-01-05,38.36,38.36,36.77,37.23,2682800.0,37.23,GOOG-H
2000-01-06,37.17,38.42,36.9,38.16,3554100.0,38.16,GOOG-H
2000-01-07,37.17,40.15,36.9,40.15,2186400.0,40.15,GOOG-H
2000-01-10,40.28,40.28,38.16,38.36,1404400.0,38.36,GOOG-H
2000-01-11,37.63,37.96,37.17,37.43,1543300.0,37.43,GOOG-H
2000-01-12,37.63,38.82,37.17,38.62,1422300.0,38.62,GOOG-H
2000-01-13,40.28,40.28,39.42,39.62,1679500.0,39.62,GOOG-H
2000-01-14,41.34,42.4,40.81,41.47,1984800.0,41.47,GOOG-H
2000-01-18,40.28,40.88,39.55,39.62,1490400.0,39.62,GOOG-H
2000-01-19,39.75,41.01,39.29,39.35,2172700.0,39.35,GOOG-H
2000-01-20,40.02,40.02,38.96,38.96,1351800.0,38.96,GOOG-H
2000-01-21,40.02,40.02,38.42,38.56,1632900.0,38.56,GOOG-H
2000-01-24,39.29,39.55,37.9,38.42,773300.0,38.42,GOOG-H
2000-01-25,38.42,39.49,38.09,38.49,1455000.0,38.49,GOOG-H
2000-01-26,38.56,41.87,38.36,41.8,1982900.0,41.8,GOOG-H
2000-01-27,41.08,42.8,41.08,41.34,2368400.0,41.34,GOOG-H
2000-01-28,39.75,40.55,39.75,39.88,1819200.0,39.88,GOOG-H
2000-01-31,39.95,43.06,39.62,43.06,2006500.0,43.06,GOOG-H
2000-02-01,43.13,43.39,42.0,43.33,2051200.0,43.33,GOOG-H
2000-02-02,43.06,43.13,41.8,42.27,1395700.0,42.27,GOOG-H
2000-02-03,42.93,42.93,40.81,41.94,1276700.0,41.94,GOOG-H
2000-02-04,42.53,42.53,40.15,40.21,1307400.0,40.21,GOOG-H
2000-02-07,40.28,40.68,39.82,40.55,892400.0,40.55,GOOG-H
2000-02-08,41.08,41.87,40.81,41.67,1272800.0,41.67,GOOG-H
2000-02-09,41.67,41.67,40.35,40.35,1734100.0,40.35,GOOG-H
2000-02-10,40.35,40.74,38.62,38.69,1228000.0,38.69,GOOG-H
2000-02-11,38.69,39.82,38.69,39.02,1292900.0,39.02,GOOG-H
2000-02-14,38.76,39.68,37.9,37.96,1297800.0,37.96,GOOG-H
2000-02-15,37.96,39.82,37.83,39.15,1168300.0,39.15,GOOG-H
2000-02-16,39.22,39.75,38.76,39.75,2668300.0,39.75,GOOG-H
2000-02-17,39.35,39.62,36.37,37.17,2644800.0,37.17,GOOG-H
2000-02-18,36.7,37.17,34.78,35.58,2630400.0,35.58,GOOG-H
2000-02-22,36.04,36.17,34.91,35.97,1762100.0,35.97,GOOG-H
2000-02-23,35.51,36.11,35.18,35.24,1395900.0,35.24,GOOG-H
2000-02-24,34.98,35.38,33.39,33.79,2420000.0,33.79,GOOG-H
2000-02-25,34.05,35.44,33.72,34.98,2361600.0,34.98,GOOG-H
2000-02-28,35.51,37.3,35.38,36.84,2520100.0,36.84,GOOG-H
2000-02-29,36.84,36.84,34.91,35.24,2548300.0,35.24,GOOG-H
2000-03-01,36.04,36.04,33.59,34.38,3391200.0,34.38,GOOG-H
2000-03-02,36.04,36.04,34.32,35.18,2179000.0,35.18,GOOG-H
2000-03-03,35.51,35.51,33.99,33.99,1736100.0,33.99,GOOG-H
2000-03-06,34.85,34.85,33.85,34.72,1642300.0,34.72,GOOG-H
2000-03-07,34.45,34.45,33.13,33.19,1710200.0,33.19,GOOG-H
2000-03-08,33.13,33.13,31.73,32.86,2687000.0,32.86,GOOG-H
