DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,61.18,61.77,60.58,61.35,2775100.0,61.35,GOOG-H
2000-01-04,57.96,58.08,56.12,56.65,8770900.0,56.65,GOOG-H
2000-01-05,57.31,57.31,55.76,56.12,6073100.0,56.12,GOOG-H
2000-01-06,57.13,57.13,55.46,56.89,6385500.0,56.89,GOOG-H
2000-01-07,58.32,66.18,58.32,65.58,9088200.0,65.58,GOOG-H
2000-01-10,65.34,65.34,63.62,64.51,5773300.0,64.51,GOOG-H
2000-01-11,64.51,64.75,63.32,63.62,4842300.0,63.62,GOOG-H
2000-01-12,63.62,64.39,63.38,63.68,3122600.0,63.68,GOOG-H
2000-01-13,64.03,64.03,61.95,62.25,3565200.0,62.25,GOOG-H
2000-01-14,64.15,64.15,62.6,63.97,3895500.0,63.97,GOOG-H
2000-01-18,62.49,63.44,61.89,62.19,3139700.0,62.19,GOOG-H
2000-01-19,62.19,62.9,60.64,61.0,3269700.0,61.0,GOOG-H
2000-01-20,61.18,61.35,58.56,58.92,3888600.0,58.92,GOOG-H
2000-01-21,58.08,58.92,56.65,58.26,4820500.0,58.26,GOOG-H
2000-01-24,57.9,58.92,55.23,55.88,2915800.0,55.88,GOOG-H
2000-01-25,56.53,57.84,56.42,57.01,5454600.0,57.01,GOOG-H
2000-01-26,57.01,58.8,56.65,58.56,5862700.0,58.56,GOOG-H
2000-01-27,58.86,59.81,58.86,59.21,6054700.0,59.21,GOOG-H
2000-01-28,60.34,62.6,59.99,61.18,6612700.0,61.18,GOOG-H
2000-01-31,61.18,63.79,59.21,62.84,4785400.0,62.84,GOOG-H
2000-02-01,61.18,62.13,60.28,61.53,3769300.0,61.53,GOOG-H
2000-02-02,61.89,62.07,61.06,61.71,2988200.0,61.71,GOOG-H
2000-02-03,62.13,62.43,60.76,62.25,2644200.0,62.25,GOOG-H
2000-02-04,62.25,62.43,60.46,61.41,2522400.0,61.41,GOOG-H
2000-02-07,61.18,61.59,59.63,61.35,2925200.0,61.35,GOOG-H
2000-02-08,61.35,61.41,59.33,60.94,4164800.0,60.94,GOOG-H
2000-02-09,60.22,60.46,59.03,59.57,3044600.0,59.57,GOOG-H
2000-02-10,60.22,60.46,57.49,58.44,3233200.0,58.44,GOOG-H
2000-02-11,57.49,57.84,56.95,57.25,2886400.0,57.25,GOOG-H
2000-02-14,57.25,58.92,57.25,58.44,2673100.0,58.44,GOOG-H
2000-02-15,58.56,59.27,57.84,59.09,4300700.0,59.09,GOOG-H
2000-02-16,59.09,60.76,59.03,60.46,3825800.0,60.46,GOOG-H
2000-02-17,61.18,61.18,60.05,60.34,3247200.0,60.34,GOOG-H
2000-02-18,59.75,59.75,56.89,56.89,5375600.0,56.89,GOOG-H
2000-02-22,57.61,58.08,56.53,57.07,5022500.0,57.07,GOOG-H
2000-02-23,57.61,58.02,56.89,57.07,3456600.0,57.07,GOOG-H
2000-02-24,56.65,56.65,54.57,55.11,4611100.0,55.11,GOOG-H
