DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,123.61,124.64,122.92,123.99,0.0,123.99,GOOG-Q
2018-09-26,124.29,124.4,121.25,121.38,0.0,121.38,GOOG-Q
2018-10-01,122.97,123.67,120.91,120.96,0.0,120.96,GOOG-Q
2018-10-02,120.99,121.85,120.73,120.8,0.0,120.8,GOOG-Q
2018-10-03,120.99,121.95,119.34,120.15,772567.0,120.15,GOOG-Q
2018-10-04,119.36,120.07,118.52,119.16,0.0,119.16,GOOG-Q
2018-10-05,119.98,120.08,118.6,118.86,0.0,118.86,GOOG-Q
2018-10-08,118.94,120.49,118.94,119.76,784278.0,119.76,GOOG-Q
2018-10-09,119.8,120.56,118.92,120.31,0.0,120.31,GOOG-Q
2018-10-10,120.14,121.02,118.86,119.06,0.0,119.06,GOOG-Q
2018-10-11,119.46,119.46,114.32,114.37,0.0,114.37,GOOG-Q
2018-10-12,115.28,116.07,113.98,114.7,0.0,114.7,GOOG-Q
2018-10-15,115.55,117.2,115.5,115.98,837327.0,115.98,GOOG-Q
2018-10-16,116.15,118.4,115.88,118.02,682736.0,118.02,GOOG-Q
2018-10-17,117.87,118.12,116.53,117.52,600691.0,117.52,GOOG-Q
2018-10-18,117.55,118.65,116.21,116.48,0.0,116.48,GOOG-Q
2018-10-19,116.77,117.59,116.69,116.95,0.0,116.95,GOOG-Q
2018-10-22,117.35,117.78,114.9,115.01,0.0,115.01,GOOG-Q
2018-10-23,114.47,116.01,114.04,115.24,0.0,115.24,GOOG-Q
2018-10-26,116.53,116.62,113.95,114.91,952310.0,114.91,GOOG-Q
2018-10-29,116.11,117.77,115.74,117.01,0.0,117.01,GOOG-Q
2018-10-31,119.21,123.24,118.19,120.76,1917649.0,120.76,GOOG-Q
2018-11-01,120.7,122.92,119.33,119.92,1129598.0,119.92,GOOG-Q
2018-11-02,120.08,120.21,117.74,119.01,900346.0,119.01,GOOG-Q
