DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,24.44,24.47,23.84,24.31,1993400.0,24.31,GOOG-H
2000-01-04,24.06,24.81,24.0,24.0,2564000.0,24.0,GOOG-H
2000-01-05,24.03,25.09,24.03,24.72,2739100.0,24.72,GOOG-H
2000-01-06,25.5,26.09,25.28,25.81,2075400.0,25.81,GOOG-H
2000-01-07,26.66,27.56,26.41,26.66,2722900.0,26.66,GOOG-H
2000-01-10,27.03,27.25,25.75,25.78,1454300.0,25.78,GOOG-H
2000-01-11,25.81,26.59,25.38,25.38,1688500.0,25.38,GOOG-H
2000-01-12,25.75,26.16,25.56,25.81,1463500.0,25.81,GOOG-H
2000-01-13,26.03,26.69,26.03,26.09,1316700.0,26.09,GOOG-H
2000-01-14,25.94,26.41,25.94,25.97,1348000.0,25.97,GOOG-H
2000-01-18,25.78,25.81,24.94,24.97,1729800.0,24.97,GOOG-H
2000-01-19,24.97,25.34,24.66,24.66,1423200.0,24.66,GOOG-H
2000-01-20,24.91,24.91,23.53,23.56,1863000.0,23.56,GOOG-H
2000-01-21,23.59,23.97,22.81,23.69,2112000.0,23.69,GOOG-H
2000-01-24,23.16,23.41,22.53,22.66,1746300.0,22.66,GOOG-H
2000-01-25,22.5,22.5,21.28,21.81,2447400.0,21.81,GOOG-H
2000-01-26,21.69,22.84,21.69,22.47,1680700.0,22.47,GOOG-H
2000-01-27,22.0,22.78,22.0,22.28,1362100.0,22.28,GOOG-H
2000-01-28,21.75,22.56,21.75,21.75,2224300.0,21.75,GOOG-H
2000-01-31,21.56,21.97,21.22,21.22,1503800.0,21.22,GOOG-H
2000-02-01,21.38,22.0,21.38,21.59,1127700.0,21.59,GOOG-H
2000-02-02,22.25,22.25,21.44,21.72,1279800.0,21.72,GOOG-H
2000-02-03,21.63,21.63,21.06,21.13,1728200.0,21.13,GOOG-H
2000-02-04,21.25,21.38,20.63,21.16,1587100.0,21.16,GOOG-H
2000-02-07,20.81,20.88,20.38,20.63,1747600.0,20.63,GOOG-H
2000-02-08,20.75,20.75,20.0,20.13,2310800.0,20.13,GOOG-H
2000-02-09,20.0,20.59,19.56,19.56,2257000.0,19.56,GOOG-H
2000-02-10,19.53,19.78,18.81,19.03,2024600.0,19.03,GOOG-H
2000-02-11,18.63,18.88,17.44,17.88,4671300.0,17.88,GOOG-H
2000-02-14,18.5,19.47,18.16,19.19,2569900.0,19.19,GOOG-H
2000-02-15,19.44,20.38,19.31,20.0,2438700.0,20.0,GOOG-H
2000-02-16,19.88,20.25,19.41,19.56,1593400.0,19.56,GOOG-H
2000-02-17,19.88,20.25,18.88,19.13,1515900.0,19.13,GOOG-H
2000-02-18,19.13,19.16,18.72,18.84,1297100.0,18.84,GOOG-H
2000-02-22,18.97,19.44,18.75,19.16,1666100.0,19.16,GOOG-H
2000-02-23,19.19,19.34,18.59,18.91,2118900.0,18.91,GOOG-H
2000-02-24,18.91,18.94,18.13,18.13,1781900.0,18.13,GOOG-H
2000-02-25,18.16,18.75,17.94,18.0,1665000.0,18.0,GOOG-H
2000-02-28,18.0,18.31,17.69,17.81,1347200.0,17.81,GOOG-H
2000-02-29,17.53,18.22,17.5,17.53,2391100.0,17.53,GOOG-H
2000-03-01,17.56,17.91,17.44,17.44,1860400.0,17.44,GOOG-H
2000-03-02,17.41,17.5,17.13,17.16,1522900.0,17.16,GOOG-H
2000-03-03,17.25,18.66,17.25,18.06,1722400.0,18.06,GOOG-H
2000-03-06,18.59,19.0,18.22,18.25,1850000.0,18.25,GOOG-H
2000-03-07,18.25,18.25,16.75,16.91,3298700.0,16.91,GOOG-H
2000-03-08,17.66,18.22,17.31,17.47,2271200.0,17.47,GOOG-H
2000-03-09,17.47,17.69,17.13,17.5,1892000.0,17.5,GOOG-H
2000-03-10,17.5,18.38,17.41,17.84,2176600.0,17.84,GOOG-H
2000-03-13,17.5,18.06,17.5,17.81,1375700.0,17.81,GOOG-H
2000-03-14,18.38,18.5,18.19,18.31,1821700.0,18.31,GOOG-H
2000-03-15,18.13,19.53,17.81,19.16,2705600.0,19.16,GOOG-H
2000-03-16,19.72,20.81,19.47,20.25,2999500.0,20.25,GOOG-H
2000-03-17,19.72,20.16,19.53,19.59,2011500.0,19.59,GOOG-H
2000-03-20,19.72,20.28,19.25,19.25,1778600.0,19.25,GOOG-H
2000-03-21,19.28,20.03,19.22,19.91,1241900.0,19.91,GOOG-H
2000-03-22,19.69,19.81,19.38,19.41,1025300.0,19.41,GOOG-H
2000-03-23,19.75,20.06,19.63,19.78,1484100.0,19.78,GOOG-H
2000-03-24,19.66,20.0,19.66,19.75,945900.0,19.75,GOOG-H
2000-03-27,19.5,20.28,19.5,19.53,842700.0,19.53,GOOG-H
2000-03-28,19.22,19.56,19.16,19.16,1060100.0,19.16,GOOG-H
2000-03-29,19.22,19.78,18.84,19.63,1603900.0,19.63,GOOG-H
2000-03-30,19.47,20.66,19.47,20.19,1919700.0,20.19,GOOG-H
2000-03-31,20.31,20.56,19.66,19.72,2169200.0,19.72,GOOG-H
2000-04-03,19.97,21.13,19.72,20.88,1912300.0,20.88,GOOG-H
2000-04-04,21.03,22.0,20.5,21.72,2989000.0,21.72,GOOG-H
2000-04-05,21.16,21.94,21.16,21.22,1598500.0,21.22,GOOG-H
2000-04-06,21.25,21.81,21.13,21.13,780500.0,21.13,GOOG-H
2000-04-07,21.22,21.22,20.63,20.69,1255300.0,20.69,GOOG-H
2000-04-10,20.63,21.06,20.63,20.72,789700.0,20.72,GOOG-H
2000-04-11,21.0,21.63,20.94,21.03,1459300.0,21.03,GOOG-H
2000-04-12,21.38,22.38,21.38,21.72,1727100.0,21.72,GOOG-H
2000-04-13,21.97,22.38,20.91,20.97,1885000.0,20.97,GOOG-H
2000-04-14,20.28,21.0,20.09,20.28,1862500.0,20.28,GOOG-H
2000-04-17,20.31,21.22,20.13,20.47,1665000.0,20.47,GOOG-H
2000-04-18,21.44,21.75,19.66,20.25,4108300.0,20.25,GOOG-H
2000-04-19,19.09,19.47,18.5,18.72,3597900.0,18.72,GOOG-H
2000-04-20,18.78,19.16,18.78,19.0,2102700.0,19.0,GOOG-H
2000-04-24,19.13,19.56,19.09,19.47,1370700.0,19.47,GOOG-H
2000-04-25,19.13,20.25,19.09,20.03,1795000.0,20.03,GOOG-H
2000-04-26,20.06,20.34,19.78,20.0,1794000.0,20.0,GOOG-H
2000-04-27,19.5,20.13,19.47,20.06,1085300.0,20.06,GOOG-H
2000-04-28,19.66,20.13,19.66,19.72,1426600.0,19.72,GOOG-H
2000-05-01,19.72,19.84,19.41,19.41,1131800.0,19.41,GOOG-H
2000-05-02,19.72,19.97,19.03,19.81,1266700.0,19.81,GOOG-H
2000-05-03,19.56,19.63,19.25,19.44,1066600.0,19.44,GOOG-H
2000-05-04,19.47,19.47,18.94,18.97,865700.0,18.97,GOOG-H
2000-05-05,18.97,19.69,18.94,19.53,1007500.0,19.53,GOOG-H
2000-05-08,19.69,19.88,19.28,19.47,928100.0,19.47,GOOG-H
2000-05-09,20.0,20.0,18.97,19.0,1300700.0,19.0,GOOG-H
2000-05-10,19.06,19.22,18.78,19.19,963900.0,19.19,GOOG-H
2000-05-11,19.31,19.78,18.84,19.41,1052000.0,19.41,GOOG-H
2000-05-12,19.31,19.94,18.84,19.69,816800.0,19.69,GOOG-H
2000-05-15,19.84,20.38,19.78,20.31,1575400.0,20.31,GOOG-H
2000-05-16,20.53,20.88,20.09,20.16,1682200.0,20.16,GOOG-H
2000-05-17,20.34,20.34,19.94,20.0,629200.0,20.0,GOOG-H
2000-05-18,20.0,20.0,19.25,19.31,1393000.0,19.31,GOOG-H
2000-05-19,20.22,20.22,19.28,20.03,1779100.0,20.03,GOOG-H
2000-05-22,20.06,20.34,19.84,20.09,997800.0,20.09,GOOG-H
2000-05-23,20.06,20.34,19.5,19.75,845100.0,19.75,GOOG-H
2000-05-24,19.38,20.25,19.38,19.84,871300.0,19.84,GOOG-H
2000-05-25,19.38,20.25,18.91,19.03,921100.0,19.03,GOOG-H
2000-05-26,19.25,19.41,18.97,19.06,824900.0,19.06,GOOG-H
2000-05-30,19.25,19.41,19.13,19.16,564600.0,19.16,GOOG-H
2000-05-31,19.22,19.22,19.13,19.13,1147800.0,19.13,GOOG-H
2000-06-01,19.41,20.0,19.41,19.88,1238800.0,19.88,GOOG-H
2000-06-02,20.69,21.25,20.16,20.53,1887600.0,20.53,GOOG-H
2000-06-05,20.34,20.34,19.28,20.0,1565200.0,20.0,GOOG-H
2000-06-06,19.75,19.75,19.09,19.53,1425600.0,19.53,GOOG-H
2000-06-07,19.38,19.41,19.06,19.41,1143600.0,19.41,GOOG-H
2000-06-08,19.38,19.38,18.84,19.06,899000.0,19.06,GOOG-H
2000-06-09,19.16,19.28,18.88,19.0,706800.0,19.0,GOOG-H
2000-06-12,18.88,19.53,18.88,19.31,1116000.0,19.31,GOOG-H
2000-06-13,19.28,19.28,18.5,18.59,1255000.0,18.59,GOOG-H
2000-06-14,18.63,19.13,18.59,18.81,1272400.0,18.81,GOOG-H
2000-06-15,18.69,18.97,18.41,18.44,1169100.0,18.44,GOOG-H
2000-06-16,18.47,18.56,17.94,17.97,2383400.0,17.97,GOOG-H
2000-06-19,18.19,18.19,17.56,17.56,1528900.0,17.56,GOOG-H
2000-06-20,17.56,17.84,17.53,17.53,1285100.0,17.53,GOOG-H
2000-06-21,17.53,17.75,17.47,17.56,979900.0,17.56,GOOG-H
2000-06-22,17.53,17.69,17.16,17.22,1442000.0,17.22,GOOG-H
2000-06-23,17.31,17.56,17.22,17.38,737300.0,17.38,GOOG-H
2000-06-26,17.38,17.81,17.34,17.41,778100.0,17.41,GOOG-H
2000-06-27,17.34,18.25,17.34,17.84,1155700.0,17.84,GOOG-H
2000-06-28,18.06,18.38,18.0,18.06,1082800.0,18.06,GOOG-H
2000-06-29,17.38,18.38,17.38,17.44,942700.0,17.44,GOOG-H
2000-06-30,17.38,17.66,16.91,16.94,1988800.0,16.94,GOOG-H
2000-07-03,17.38,18.03,17.09,17.97,687800.0,17.97,GOOG-H
2000-07-05,17.44,17.72,17.16,17.59,1441800.0,17.59,GOOG-H
2000-07-06,17.81,17.81,17.41,17.41,947600.0,17.41,GOOG-H
2000-07-07,17.44,17.47,17.0,17.0,1416100.0,17.0,GOOG-H
2000-07-10,17.09,17.69,17.09,17.13,1268600.0,17.13,GOOG-H
2000-07-11,17.25,18.34,17.25,18.06,2202700.0,18.06,GOOG-H
2000-07-12,18.47,18.47,17.91,18.13,1321900.0,18.13,GOOG-H
2000-07-13,18.47,18.47,17.97,17.97,1559900.0,17.97,GOOG-H
2000-07-14,17.94,18.0,17.56,17.75,1284000.0,17.75,GOOG-H
2000-07-17,17.75,18.09,17.53,17.88,979000.0,17.88,GOOG-H
2000-07-18,18.88,19.09,18.44,18.88,3623700.0,18.88,GOOG-H
2000-07-19,19.28,19.28,18.84,18.97,2835900.0,18.97,GOOG-H
2000-07-20,19.22,19.22,18.25,18.53,2091300.0,18.53,GOOG-H
2000-07-21,18.5,18.56,18.19,18.25,1689800.0,18.25,GOOG-H
2000-07-24,18.19,18.25,18.06,18.13,669400.0,18.13,GOOG-H
2000-07-25,18.19,18.31,17.94,17.94,1011500.0,17.94,GOOG-H
2000-07-26,17.88,17.88,17.38,17.38,1437000.0,17.38,GOOG-H
2000-07-27,17.47,17.69,17.38,17.38,1126800.0,17.38,GOOG-H
2000-07-28,17.28,17.28,17.03,17.03,1288800.0,17.03,GOOG-H
2000-07-31,17.28,17.59,17.03,17.03,1377900.0,17.03,GOOG-H
2000-08-01,17.16,17.22,17.06,17.16,1809500.0,17.16,GOOG-H
2000-08-02,17.25,17.59,17.19,17.5,1568100.0,17.5,GOOG-H
2000-08-03,17.13,17.88,17.13,17.53,1533900.0,17.53,GOOG-H
2000-08-04,17.5,17.53,17.22,17.44,877800.0,17.44,GOOG-H
2000-08-07,17.5,18.47,17.28,18.34,1642500.0,18.34,GOOG-H
2000-08-08,18.47,19.41,18.41,19.06,2934500.0,19.06,GOOG-H
2000-08-09,19.16,19.19,18.78,18.78,1244500.0,18.78,GOOG-H
2000-08-10,19.06,19.06,18.69,18.75,845800.0,18.75,GOOG-H
2000-08-11,18.63,19.5,18.63,19.44,1133400.0,19.44,GOOG-H
2000-08-14,19.47,19.53,19.16,19.53,1677600.0,19.53,GOOG-H
2000-08-15,19.66,19.75,19.13,19.34,627300.0,19.34,GOOG-H
2000-08-16,19.31,19.66,19.22,19.34,1156000.0,19.34,GOOG-H
2000-08-17,19.34,19.44,19.09,19.13,750300.0,19.13,GOOG-H
2000-08-18,19.19,19.28,18.84,19.09,848300.0,19.09,GOOG-H
2000-08-21,19.13,19.16,18.69,18.84,584700.0,18.84,GOOG-H
2000-08-22,18.94,19.0,18.69,18.91,776800.0,18.91,GOOG-H
2000-08-23,18.94,18.94,18.53,18.63,800000.0,18.63,GOOG-H
2000-08-24,18.53,18.84,18.53,18.75,996400.0,18.75,GOOG-H
2000-08-25,18.78,18.91,18.63,18.81,574700.0,18.81,GOOG-H
2000-08-28,18.84,18.88,18.31,18.59,1089700.0,18.59,GOOG-H
2000-08-29,19.06,19.53,18.88,19.31,1711900.0,19.31,GOOG-H
2000-08-30,18.91,19.22,18.34,18.78,1719800.0,18.78,GOOG-H
2000-08-31,18.5,18.94,18.25,18.38,2061800.0,18.38,GOOG-H
2000-09-01,18.41,18.75,18.13,18.63,1119800.0,18.63,GOOG-H
2000-09-05,18.69,19.41,18.53,19.03,1238500.0,19.03,GOOG-H
2000-09-06,19.03,19.63,19.03,19.34,1100100.0,19.34,GOOG-H
2000-09-07,19.5,19.53,19.03,19.03,2220500.0,19.03,GOOG-H
2000-09-08,19.03,19.13,18.75,18.91,1362100.0,18.91,GOOG-H
2000-09-11,18.91,19.66,18.88,19.16,1076700.0,19.16,GOOG-H
2000-09-12,19.06,19.41,18.88,19.0,1428200.0,19.0,GOOG-H
2000-09-13,19.22,19.63,19.13,19.34,898500.0,19.34,GOOG-H
2000-09-14,19.59,19.81,19.41,19.5,1854600.0,19.5,GOOG-H
2000-09-15,18.88,19.22,18.59,18.59,2734100.0,18.59,GOOG-H
2000-09-18,18.63,18.66,17.72,18.03,2146500.0,18.03,GOOG-H
2000-09-19,17.69,18.09,17.31,17.75,2275200.0,17.75,GOOG-H
2000-09-20,17.69,17.84,17.47,17.66,1515000.0,17.66,GOOG-H
2000-09-21,17.72,17.84,17.38,17.44,1065900.0,17.44,GOOG-H
2000-09-22,17.38,17.84,17.28,17.56,1095900.0,17.56,GOOG-H
2000-09-25,17.69,18.0,17.56,17.75,899900.0,17.75,GOOG-H
2000-09-26,17.5,17.69,17.25,17.5,1207200.0,17.5,GOOG-H
2000-09-27,17.28,17.38,16.25,16.41,3079800.0,16.41,GOOG-H
2000-09-28,16.31,17.38,16.31,17.0,2041600.0,17.0,GOOG-H
2000-09-29,17.13,17.38,16.88,16.88,1495500.0,16.88,GOOG-H
2000-10-02,16.09,17.13,15.78,17.09,2842900.0,17.09,GOOG-H
2000-10-03,17.09,17.97,17.09,17.53,1874100.0,17.53,GOOG-H
2000-10-04,17.56,17.97,17.41,17.56,1505100.0,17.56,GOOG-H
2000-10-05,17.56,17.81,17.44,17.5,1286600.0,17.5,GOOG-H
2000-10-06,17.53,17.84,17.25,17.25,1078000.0,17.25,GOOG-H
2000-10-09,17.25,17.5,17.19,17.28,564500.0,17.28,GOOG-H
2000-10-10,17.06,17.22,16.66,16.66,1180700.0,16.66,GOOG-H
2000-10-11,16.63,17.0,16.28,16.63,1679800.0,16.63,GOOG-H
2000-10-12,16.59,16.59,15.59,15.84,2068800.0,15.84,GOOG-H
2000-10-13,15.53,15.91,15.44,15.84,1501700.0,15.84,GOOG-H
2000-10-16,15.78,16.06,15.66,15.97,1519800.0,15.97,GOOG-H
2000-10-17,15.97,16.03,15.19,15.25,1382200.0,15.25,GOOG-H
2000-10-18,15.06,15.06,14.78,14.91,2217600.0,14.91,GOOG-H
2000-10-19,15.09,15.41,15.03,15.25,1314000.0,15.25,GOOG-H
2000-10-20,15.19,15.59,15.19,15.34,989800.0,15.34,GOOG-H
2000-10-23,15.44,15.91,15.34,15.72,1164300.0,15.72,GOOG-H
2000-10-24,15.84,16.13,15.78,15.94,1401800.0,15.94,GOOG-H
2000-10-25,15.56,15.91,15.56,15.66,1018600.0,15.66,GOOG-H
2000-10-26,15.56,16.16,15.53,15.91,1164600.0,15.91,GOOG-H
2000-10-27,16.0,16.44,16.0,16.44,1435000.0,16.44,GOOG-H
2000-10-30,16.38,17.88,16.25,17.47,2370300.0,17.47,GOOG-H
2000-10-31,17.47,17.91,16.94,17.53,2799400.0,17.53,GOOG-H
2000-11-01,17.56,17.88,17.28,17.38,1491100.0,17.38,GOOG-H
2000-11-02,17.66,17.72,17.38,17.41,989700.0,17.41,GOOG-H
2000-11-03,17.44,17.5,17.28,17.41,888500.0,17.41,GOOG-H
2000-11-06,17.41,18.31,17.41,18.09,1367500.0,18.09,GOOG-H
2000-11-07,17.81,18.13,17.78,18.06,1093000.0,18.06,GOOG-H
2000-11-08,18.0,18.47,17.66,18.22,1159300.0,18.22,GOOG-H
2000-11-09,18.31,18.5,17.84,18.28,1213900.0,18.28,GOOG-H
2000-11-10,18.16,18.19,17.88,17.88,1195800.0,17.88,GOOG-H
2000-11-13,17.59,18.16,17.59,18.09,1393700.0,18.09,GOOG-H
2000-11-14,17.97,18.16,17.84,18.03,945600.0,18.03,GOOG-H
2000-11-15,18.16,18.47,18.03,18.34,1187800.0,18.34,GOOG-H
2000-11-16,18.34,18.34,17.91,18.16,783100.0,18.16,GOOG-H
2000-11-17,18.28,18.75,18.22,18.47,1111400.0,18.47,GOOG-H
2000-11-20,18.34,18.66,18.28,18.59,1241100.0,18.59,GOOG-H
2000-11-21,18.63,19.25,18.63,19.13,1257600.0,19.13,GOOG-H
2000-11-22,19.0,19.09,18.78,18.91,863300.0,18.91,GOOG-H
2000-11-24,19.03,19.5,19.03,19.44,641300.0,19.44,GOOG-H
2000-11-27,19.56,19.91,19.22,19.84,1233800.0,19.84,GOOG-H
2000-11-28,19.47,19.63,19.28,19.5,685300.0,19.5,GOOG-H
2000-11-29,19.5,20.28,19.5,20.06,1181800.0,20.06,GOOG-H
2000-11-30,19.75,20.53,19.63,19.66,1674500.0,19.66,GOOG-H
