DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,34.94,35.31,34.75,34.75,1134400.0,34.75,GOOG-H
2000-01-04,33.59,33.59,32.22,32.22,745600.0,32.22,GOOG-H
2000-01-05,29.13,29.94,28.5,29.81,1290800.0,29.81,GOOG-H
2000-01-06,27.38,27.94,27.28,27.41,1238000.0,27.41,GOOG-H
2000-01-07,27.75,28.86,27.75,28.86,1036800.0,28.86,GOOG-H
2000-01-10,30.75,30.91,30.16,30.72,731200.0,30.72,GOOG-H
2000-01-11,31.0,31.0,29.47,29.56,582800.0,29.56,GOOG-H
2000-01-12,30.38,30.44,30.0,30.0,356800.0,30.0,GOOG-H
2000-01-13,30.0,30.0,29.06,29.5,332000.0,29.5,GOOG-H
2000-01-14,28.5,28.91,28.38,28.39,455200.0,28.39,GOOG-H
2000-01-18,30.63,30.63,29.89,30.17,633200.0,30.17,GOOG-H
2000-01-19,29.0,30.0,29.0,29.33,493200.0,29.33,GOOG-H
2000-01-20,28.75,29.0,28.06,28.31,423200.0,28.31,GOOG-H
2000-01-21,28.88,29.0,28.7,28.7,359200.0,28.7,GOOG-H
2000-01-24,28.13,28.34,28.0,28.02,664000.0,28.02,GOOG-H
2000-01-25,28.75,29.34,28.69,29.34,523600.0,29.34,GOOG-H
2000-01-26,29.83,30.72,29.77,30.36,512400.0,30.36,GOOG-H
2000-01-27,33.06,33.06,32.63,32.81,533600.0,32.81,GOOG-H
2000-01-28,33.59,33.75,32.19,32.23,543600.0,32.23,GOOG-H
2000-01-31,31.0,31.34,30.52,31.34,615200.0,31.34,GOOG-H
2000-02-01,31.63,31.88,31.31,31.8,423600.0,31.8,GOOG-H
2000-02-02,32.16,33.13,32.02,32.94,584000.0,32.94,GOOG-H
2000-02-03,34.05,34.88,33.88,34.88,618400.0,34.88,GOOG-H
2000-02-04,34.75,37.91,34.38,37.63,889600.0,37.63,GOOG-H
2000-02-07,37.63,37.75,36.31,36.5,1410000.0,36.5,GOOG-H
2000-02-08,39.63,42.88,39.5,42.0,1446400.0,42.0,GOOG-H
2000-02-09,43.88,43.88,41.0,41.47,1177600.0,41.47,GOOG-H
2000-02-10,41.47,44.38,41.13,43.89,1520800.0,43.89,GOOG-H
2000-02-11,44.75,44.75,41.63,42.34,876000.0,42.34,GOOG-H
2000-02-14,42.38,43.38,42.25,42.5,471200.0,42.5,GOOG-H
2000-02-15,40.63,41.47,39.0,41.47,808000.0,41.47,GOOG-H
2000-02-16,40.0,40.36,39.5,39.88,644000.0,39.88,GOOG-H
2000-02-17,40.47,40.5,39.0,39.16,302000.0,39.16,GOOG-H
2000-02-18,38.19,38.75,37.38,37.56,1008000.0,37.56,GOOG-H
2000-02-22,38.44,38.81,38.25,38.66,869200.0,38.66,GOOG-H
2000-02-23,39.14,41.38,39.06,40.77,916400.0,40.77,GOOG-H
2000-02-24,43.75,44.5,43.63,44.5,1353200.0,44.5,GOOG-H
2000-02-25,46.5,50.25,46.5,50.2,2441200.0,50.2,GOOG-H
2000-02-28,45.75,48.13,45.0,46.39,2197600.0,46.39,GOOG-H
2000-02-29,46.75,46.88,46.16,46.47,665600.0,46.47,GOOG-H
2000-03-01,46.53,49.13,45.75,47.75,1788800.0,47.75,GOOG-H
2000-03-02,47.75,47.75,46.75,46.89,522000.0,46.89,GOOG-H
2000-03-03,50.25,51.22,49.78,50.73,706400.0,50.73,GOOG-H
2000-03-06,50.73,51.73,49.38,50.17,835200.0,50.17,GOOG-H
2000-03-07,51.0,51.13,48.63,48.81,988400.0,48.81,GOOG-H
2000-03-08,49.3,49.77,48.25,49.69,879600.0,49.69,GOOG-H
2000-03-09,47.52,48.97,47.22,48.77,488400.0,48.77,GOOG-H
2000-03-10,48.77,48.77,48.03,48.3,750000.0,48.3,GOOG-H
2000-03-13,43.02,45.13,42.75,44.47,2126400.0,44.47,GOOG-H
2000-03-14,44.25,44.75,42.25,42.34,727200.0,42.34,GOOG-H
2000-03-15,42.72,42.72,42.06,42.47,879200.0,42.47,GOOG-H
2000-03-16,41.47,41.5,39.63,41.42,800800.0,41.42,GOOG-H
2000-03-17,41.66,44.38,41.66,44.19,1062400.0,44.19,GOOG-H
2000-03-20,46.81,46.94,45.69,45.88,1048000.0,45.88,GOOG-H
2000-03-21,46.11,48.5,46.0,48.48,977200.0,48.48,GOOG-H
2000-03-22,47.25,49.66,47.25,49.25,945600.0,49.25,GOOG-H
2000-03-23,48.55,48.69,47.66,48.03,510000.0,48.03,GOOG-H
2000-03-24,47.13,47.14,46.0,46.38,836000.0,46.38,GOOG-H
2000-03-27,48.75,49.22,48.5,48.61,450800.0,48.61,GOOG-H
2000-03-28,49.13,49.25,48.47,48.72,473200.0,48.72,GOOG-H
2000-03-29,48.73,48.73,46.91,47.25,445600.0,47.25,GOOG-H
2000-03-30,43.53,44.61,41.53,42.16,1057200.0,42.16,GOOG-H
2000-03-31,44.38,44.61,43.66,44.31,955600.0,44.31,GOOG-H
2000-04-03,43.16,43.16,41.25,41.75,496400.0,41.75,GOOG-H
2000-04-04,42.63,42.75,37.69,38.83,1560000.0,38.83,GOOG-H
2000-04-05,38.06,40.08,37.63,39.5,1066000.0,39.5,GOOG-H
2000-04-06,41.34,41.94,40.5,40.69,819200.0,40.69,GOOG-H
2000-04-07,44.81,45.44,44.25,45.13,702400.0,45.13,GOOG-H
2000-04-10,43.02,43.61,41.88,42.02,583600.0,42.02,GOOG-H
2000-04-11,41.16,41.16,39.89,39.97,822400.0,39.97,GOOG-H
2000-04-12,40.45,40.81,38.89,38.97,984800.0,38.97,GOOG-H
2000-04-13,40.94,41.13,40.0,40.25,901200.0,40.25,GOOG-H
2000-04-14,37.91,37.91,34.16,35.0,1821600.0,35.0,GOOG-H
2000-04-17,33.44,36.14,33.25,36.14,1366400.0,36.14,GOOG-H
2000-04-18,36.08,38.36,35.75,38.36,1334000.0,38.36,GOOG-H
2000-04-19,37.38,37.5,36.0,36.8,1064400.0,36.8,GOOG-H
2000-04-20,37.38,38.44,36.91,37.94,862800.0,37.94,GOOG-H
