DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-06-21,22.0,24.63,22.0,22.25,48152500.0,22.25,GOOG-H
2000-06-22,22.0,22.0,20.19,21.41,10735900.0,21.41,GOOG-H
2000-06-23,20.19,20.56,20.0,20.0,6486600.0,20.0,GOOG-H
2000-06-26,20.25,20.75,20.13,20.75,1942700.0,20.75,GOOG-H
2000-06-27,21.0,21.88,21.0,21.19,3752900.0,21.19,GOOG-H
2000-06-28,21.56,21.75,20.63,20.88,3533100.0,20.88,GOOG-H
2000-06-29,21.56,21.75,20.06,20.94,3729800.0,20.94,GOOG-H
2000-06-30,20.94,21.25,20.81,21.25,2215700.0,21.25,GOOG-H
2000-07-03,21.38,22.0,21.38,22.0,798500.0,22.0,GOOG-H
2000-07-05,23.06,23.63,22.94,23.06,2717700.0,23.06,GOOG-H
2000-07-06,23.5,24.0,23.31,23.94,1661900.0,23.94,GOOG-H
2000-07-07,24.25,24.31,23.75,24.19,1456700.0,24.19,GOOG-H
2000-07-10,24.31,24.94,24.31,24.63,1183900.0,24.63,GOOG-H
2000-07-11,24.25,25.25,24.06,24.63,1575900.0,24.63,GOOG-H
2000-07-12,25.13,25.13,24.75,25.0,1550000.0,25.0,GOOG-H
2000-07-13,25.31,26.5,25.31,26.5,1159000.0,26.5,GOOG-H
2000-07-14,25.31,28.75,25.31,28.5,2300100.0,28.5,GOOG-H
2000-07-17,28.0,28.0,26.63,27.0,2285200.0,27.0,GOOG-H
2000-07-18,25.94,25.94,25.06,25.56,1348900.0,25.56,GOOG-H
2000-07-19,25.44,25.69,25.13,25.19,761600.0,25.19,GOOG-H
2000-07-20,26.13,27.25,26.13,27.06,1320000.0,27.06,GOOG-H
2000-07-21,26.06,26.19,25.5,25.88,946400.0,25.88,GOOG-H
2000-07-24,25.5,25.63,25.06,25.25,687200.0,25.25,GOOG-H
2000-07-25,25.38,25.38,24.63,25.0,655500.0,25.0,GOOG-H
2000-07-26,25.38,25.38,24.63,25.13,1022800.0,25.13,GOOG-H
2000-07-27,25.38,25.38,23.81,24.38,1315300.0,24.38,GOOG-H
2000-07-28,23.94,23.94,22.56,22.75,648700.0,22.75,GOOG-H
2000-07-31,23.0,23.69,22.75,23.56,1284900.0,23.56,GOOG-H
2000-08-01,24.38,24.88,24.38,24.81,1197800.0,24.81,GOOG-H
2000-08-02,24.75,25.13,24.56,24.75,637800.0,24.75,GOOG-H
2000-08-03,24.75,25.5,24.38,25.44,616000.0,25.44,GOOG-H
