DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,19.5,19.5,19.03,19.06,823400.0,19.06,GOOG-H
2000-01-04,19.06,19.56,18.88,19.53,998100.0,19.53,GOOG-H
2000-01-05,19.75,20.34,19.75,20.09,3055900.0,20.09,GOOG-H
2000-01-06,20.31,20.56,20.16,20.22,1549700.0,20.22,GOOG-H
2000-01-07,20.25,20.47,20.19,20.28,908800.0,20.28,GOOG-H
2000-01-10,20.28,20.47,20.28,20.28,924800.0,20.28,GOOG-H
2000-01-11,20.25,20.47,20.19,20.34,1131800.0,20.34,GOOG-H
2000-01-12,20.34,20.81,20.34,20.5,1674700.0,20.5,GOOG-H
2000-01-13,20.5,20.81,20.5,20.75,2067000.0,20.75,GOOG-H
2000-01-14,20.84,20.88,20.69,20.81,1838400.0,20.81,GOOG-H
2000-01-18,20.81,20.88,20.63,20.81,1103200.0,20.81,GOOG-H
2000-01-19,20.97,21.25,20.91,21.13,1400300.0,21.13,GOOG-H
2000-01-20,21.09,21.25,21.09,21.22,1477300.0,21.22,GOOG-H
2000-01-21,21.13,21.31,21.13,21.16,1955100.0,21.16,GOOG-H
2000-01-24,21.16,21.56,21.16,21.22,271400.0,21.22,GOOG-H
2000-01-25,21.22,21.31,20.88,21.0,628300.0,21.0,GOOG-H
2000-01-26,21.31,21.34,21.13,21.34,540300.0,21.34,GOOG-H
2000-01-27,21.34,21.34,21.25,21.28,395000.0,21.28,GOOG-H
2000-01-28,20.31,20.47,20.13,20.28,2144400.0,20.28,GOOG-H
2000-01-31,20.38,20.88,20.38,20.88,1193000.0,20.88,GOOG-H
2000-02-01,20.88,20.88,20.41,20.53,936500.0,20.53,GOOG-H
2000-02-02,20.56,20.75,20.44,20.69,566800.0,20.69,GOOG-H
2000-02-03,20.94,21.22,20.94,20.97,2161500.0,20.97,GOOG-H
2000-02-04,20.59,21.13,20.59,20.59,1516200.0,20.59,GOOG-H
2000-02-07,20.69,20.75,20.38,20.44,1078600.0,20.44,GOOG-H
2000-02-08,20.66,20.66,20.34,20.41,1373400.0,20.41,GOOG-H
2000-02-09,20.44,20.47,20.28,20.34,958900.0,20.34,GOOG-H
2000-02-10,20.69,20.69,20.34,20.41,776800.0,20.41,GOOG-H
2000-02-11,20.28,20.38,20.13,20.22,531000.0,20.22,GOOG-H
2000-02-14,20.13,20.47,20.03,20.16,728900.0,20.16,GOOG-H
2000-02-15,20.28,20.38,20.25,20.31,1084400.0,20.31,GOOG-H
2000-02-16,20.38,20.41,20.28,20.34,946900.0,20.34,GOOG-H
2000-02-17,20.34,20.47,20.28,20.41,769700.0,20.41,GOOG-H
2000-02-18,20.38,20.47,20.19,20.34,928700.0,20.34,GOOG-H
2000-02-22,20.31,20.34,20.22,20.31,826800.0,20.31,GOOG-H
2000-02-23,20.16,20.28,19.5,19.5,1415500.0,19.5,GOOG-H
2000-02-24,20.16,20.28,18.91,19.31,838500.0,19.31,GOOG-H
2000-02-25,19.31,19.31,18.56,18.56,796400.0,18.56,GOOG-H
2000-02-28,18.25,18.69,18.03,18.5,770800.0,18.5,GOOG-H
2000-02-29,18.53,18.59,18.31,18.34,702100.0,18.34,GOOG-H
2000-03-01,18.34,18.34,17.41,18.03,964800.0,18.03,GOOG-H
2000-03-02,18.03,18.69,17.78,18.31,924700.0,18.31,GOOG-H
2000-03-03,18.5,18.63,18.38,18.38,668100.0,18.38,GOOG-H
2000-03-06,18.38,18.41,17.78,18.13,668500.0,18.13,GOOG-H
2000-03-07,18.38,18.44,17.78,18.22,813800.0,18.22,GOOG-H
2000-03-08,18.09,18.41,17.84,18.38,902200.0,18.38,GOOG-H
2000-03-09,18.34,18.53,18.31,18.34,784400.0,18.34,GOOG-H
2000-03-10,18.34,18.34,18.03,18.16,701100.0,18.16,GOOG-H
2000-03-13,18.03,18.03,17.75,17.94,305800.0,17.94,GOOG-H
2000-03-14,17.84,17.88,17.47,17.53,537900.0,17.53,GOOG-H
2000-03-15,17.56,18.63,17.56,18.38,805500.0,18.38,GOOG-H
2000-03-16,18.5,19.66,18.5,19.38,849000.0,19.38,GOOG-H
2000-03-17,19.66,19.66,18.56,18.66,1205400.0,18.66,GOOG-H
2000-03-20,18.78,19.06,18.72,18.91,795300.0,18.91,GOOG-H
2000-03-21,18.78,19.0,18.72,18.91,604300.0,18.91,GOOG-H
2000-03-22,18.81,18.94,18.56,18.91,616900.0,18.91,GOOG-H
2000-03-23,18.69,19.19,18.69,19.09,480800.0,19.09,GOOG-H
2000-03-24,19.09,19.09,18.72,18.78,896300.0,18.78,GOOG-H
2000-03-27,18.72,19.19,18.72,18.75,411300.0,18.75,GOOG-H
2000-03-28,18.72,18.78,18.34,18.38,518900.0,18.38,GOOG-H
2000-03-29,18.72,18.91,18.34,18.5,629300.0,18.5,GOOG-H
2000-03-30,18.59,19.13,18.59,19.0,754700.0,19.0,GOOG-H
2000-03-31,19.13,19.38,18.59,19.22,721600.0,19.22,GOOG-H
2000-04-03,19.25,19.34,19.06,19.28,638100.0,19.28,GOOG-H
2000-04-04,19.38,20.13,19.03,19.84,581500.0,19.84,GOOG-H
2000-04-05,19.38,20.75,19.03,20.0,599500.0,20.0,GOOG-H
2000-04-06,19.94,19.94,19.56,19.69,635500.0,19.69,GOOG-H
2000-04-07,19.56,19.72,19.25,19.34,319900.0,19.34,GOOG-H
2000-04-10,19.47,20.25,19.25,20.13,509500.0,20.13,GOOG-H
2000-04-11,20.09,20.81,20.09,20.5,510300.0,20.5,GOOG-H
2000-04-12,20.09,21.78,20.09,21.22,643400.0,21.22,GOOG-H
2000-04-13,21.22,22.5,20.09,22.44,1124200.0,22.44,GOOG-H
2000-04-14,22.75,22.75,21.66,21.72,1210400.0,21.72,GOOG-H
2000-04-17,21.66,22.34,20.66,21.78,1339400.0,21.78,GOOG-H
2000-04-18,21.75,22.06,21.38,21.44,529800.0,21.44,GOOG-H
2000-04-19,21.34,21.38,20.63,21.16,614700.0,21.16,GOOG-H
2000-04-20,21.34,21.56,21.0,21.47,690400.0,21.47,GOOG-H
2000-04-24,21.5,22.38,21.5,22.16,502800.0,22.16,GOOG-H
2000-04-25,22.44,22.97,21.63,22.91,716200.0,22.91,GOOG-H
2000-04-26,22.69,23.47,22.69,23.25,443600.0,23.25,GOOG-H
2000-04-27,22.56,23.19,22.56,22.75,527300.0,22.75,GOOG-H
2000-04-28,22.44,22.66,22.13,22.5,494500.0,22.5,GOOG-H
2000-05-01,22.38,22.53,22.13,22.19,734000.0,22.19,GOOG-H
2000-05-02,22.06,22.34,21.56,21.59,578200.0,21.59,GOOG-H
2000-05-03,21.81,21.81,21.38,21.72,489100.0,21.72,GOOG-H
2000-05-04,22.06,22.5,21.53,22.25,647100.0,22.25,GOOG-H
2000-05-05,22.06,22.5,21.59,21.78,370100.0,21.78,GOOG-H
2000-05-08,21.84,22.97,21.78,21.94,524600.0,21.94,GOOG-H
2000-05-09,21.84,22.06,21.81,21.97,338200.0,21.97,GOOG-H
2000-05-10,22.09,23.09,22.09,22.97,1096200.0,22.97,GOOG-H
2000-05-11,23.34,23.53,22.88,23.34,671200.0,23.34,GOOG-H
2000-05-12,23.28,23.31,22.5,22.75,492600.0,22.75,GOOG-H
2000-05-15,23.28,23.38,22.5,23.0,357900.0,23.0,GOOG-H
2000-05-16,22.97,23.13,22.38,22.94,461900.0,22.94,GOOG-H
2000-05-17,22.81,22.81,21.91,22.16,372300.0,22.16,GOOG-H
2000-05-18,22.16,22.97,22.16,22.72,617600.0,22.72,GOOG-H
2000-05-19,22.72,23.28,22.31,23.09,452000.0,23.09,GOOG-H
2000-05-22,23.06,23.75,23.06,23.44,428600.0,23.44,GOOG-H
2000-05-23,23.44,23.47,22.56,22.75,595300.0,22.75,GOOG-H
2000-05-24,22.53,23.06,22.53,22.72,758000.0,22.72,GOOG-H
2000-05-25,22.31,22.66,22.31,22.53,425800.0,22.53,GOOG-H
2000-05-26,22.53,23.19,22.53,23.03,347600.0,23.03,GOOG-H
2000-05-30,23.38,23.38,22.41,22.59,526800.0,22.59,GOOG-H
2000-05-31,23.03,23.03,22.69,22.88,304800.0,22.88,GOOG-H
