DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,63.75,64.5,63.0,63.75,8700.0,63.75,GOOG-H
2000-01-04,60.28,64.5,60.18,61.12,30700.0,61.12,GOOG-H
2000-01-05,60.28,61.31,60.0,60.28,23800.0,60.28,GOOG-H
2000-01-06,63.18,63.18,61.5,61.78,20700.0,61.78,GOOG-H
2000-01-11,63.93,64.87,63.18,64.5,77000.0,64.5,GOOG-H
2000-01-14,63.93,64.68,63.93,63.93,10500.0,63.93,GOOG-H
2000-01-18,64.87,65.06,63.65,63.93,13600.0,63.93,GOOG-H
2000-01-19,64.12,65.15,64.03,64.87,39300.0,64.87,GOOG-H
2000-01-20,64.12,65.06,63.93,64.12,24000.0,64.12,GOOG-H
2000-01-24,62.06,63.37,62.06,62.06,22300.0,62.06,GOOG-H
2000-01-25,61.12,61.87,60.18,61.12,15200.0,61.12,GOOG-H
2000-01-26,59.53,60.0,58.5,59.43,134100.0,59.43,GOOG-H
2000-01-27,59.53,60.56,59.06,59.53,23200.0,59.53,GOOG-H
2000-01-31,57.56,59.26,57.18,57.56,246100.0,57.56,GOOG-H
2000-02-01,57.93,59.62,55.68,56.62,32600.0,56.62,GOOG-H
2000-02-02,57.93,58.12,56.62,57.93,40500.0,57.93,GOOG-H
2000-02-03,60.0,60.84,58.87,60.0,13100.0,60.0,GOOG-H
2000-02-08,60.56,60.84,59.62,60.56,38600.0,60.56,GOOG-H
2000-02-10,62.15,63.0,61.22,62.15,50700.0,62.15,GOOG-H
2000-02-11,63.0,63.75,62.25,63.0,36500.0,63.0,GOOG-H
2000-02-14,62.43,63.75,62.25,63.0,36500.0,63.0,GOOG-H
2000-02-15,60.37,62.62,60.37,62.43,19200.0,62.43,GOOG-H
2000-02-18,59.25,60.0,58.97,59.06,61000.0,59.06,GOOG-H
2000-02-22,59.25,60.09,59.06,59.25,16100.0,59.25,GOOG-H
2000-02-23,67.31,67.5,66.0,66.56,129200.0,66.56,GOOG-H
2000-02-24,67.31,67.87,66.75,67.31,9600.0,67.31,GOOG-H
2000-02-25,65.34,65.43,64.68,65.25,35300.0,65.25,GOOG-H
2000-02-28,65.34,65.9,64.96,65.34,21000.0,65.34,GOOG-H
2000-02-29,63.18,64.5,63.0,64.5,76400.0,64.5,GOOG-H
2000-03-01,63.0,63.75,63.0,63.18,29400.0,63.18,GOOG-H
2000-03-02,63.0,63.37,61.68,63.0,108700.0,63.0,GOOG-H
2000-03-03,63.56,63.93,62.34,63.75,23900.0,63.75,GOOG-H
2000-03-06,62.43,64.4,62.43,63.56,41400.0,63.56,GOOG-H
2000-03-07,62.43,63.75,62.25,62.43,12400.0,62.43,GOOG-H
2000-03-08,66.75,68.62,65.81,68.62,20000.0,68.62,GOOG-H
2000-03-09,66.75,67.12,65.06,66.75,13700.0,66.75,GOOG-H
2000-03-10,58.78,60.75,58.31,58.78,50900.0,58.78,GOOG-H
2000-03-13,54.75,55.78,53.34,54.75,23800.0,54.75,GOOG-H
2000-03-14,53.25,59.43,51.75,52.31,58900.0,52.31,GOOG-H
2000-03-15,53.62,54.37,52.4,53.25,416900.0,53.25,GOOG-H
