DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,21.81,21.91,21.28,21.44,1249500.0,21.44,GOOG-H
2000-01-04,21.25,21.5,21.22,21.41,1623300.0,21.41,GOOG-H
2000-01-05,21.47,22.22,21.22,22.0,2865400.0,22.0,GOOG-H
2000-01-06,22.31,23.44,22.22,23.03,2682100.0,23.03,GOOG-H
2000-01-07,22.84,23.69,22.84,23.0,1883900.0,23.0,GOOG-H
2000-01-10,23.0,23.72,22.91,23.47,1395400.0,23.47,GOOG-H
2000-01-11,23.22,23.69,23.19,23.47,1396700.0,23.47,GOOG-H
2000-01-12,23.22,23.28,22.94,23.09,1403100.0,23.09,GOOG-H
2000-01-13,23.16,23.53,22.91,23.13,875200.0,23.13,GOOG-H
2000-01-14,23.5,24.16,23.41,24.13,1364300.0,24.13,GOOG-H
2000-01-18,23.84,23.84,22.72,23.56,1343200.0,23.56,GOOG-H
2000-01-19,23.5,23.88,22.69,23.19,897900.0,23.19,GOOG-H
2000-01-20,23.31,23.38,22.59,22.78,1000900.0,22.78,GOOG-H
2000-01-21,22.78,22.78,21.91,22.09,1223100.0,22.09,GOOG-H
2000-01-24,22.44,22.44,21.91,22.44,762400.0,22.44,GOOG-H
2000-01-25,22.44,22.66,21.44,22.25,1423600.0,22.25,GOOG-H
2000-01-26,22.31,23.0,22.31,22.81,1089500.0,22.81,GOOG-H
2000-01-27,22.88,22.94,22.66,22.91,677900.0,22.91,GOOG-H
2000-01-28,22.69,22.69,22.0,22.38,1247700.0,22.38,GOOG-H
2000-01-31,22.31,22.31,21.75,21.84,845400.0,21.84,GOOG-H
2000-02-01,21.81,21.81,21.16,21.38,1464500.0,21.38,GOOG-H
2000-02-02,21.81,22.25,21.28,21.31,1503900.0,21.31,GOOG-H
2000-02-03,21.34,21.5,20.19,20.53,1776900.0,20.53,GOOG-H
2000-02-04,20.25,20.56,19.91,20.44,1338200.0,20.44,GOOG-H
2000-02-07,20.44,20.78,20.03,20.66,881700.0,20.66,GOOG-H
2000-02-08,20.88,20.88,18.13,20.03,4792300.0,20.03,GOOG-H
2000-02-09,20.09,20.5,19.81,20.0,1848100.0,20.0,GOOG-H
2000-02-10,20.0,20.06,18.56,18.75,1109800.0,18.75,GOOG-H
2000-02-11,18.94,18.94,17.97,18.09,1399400.0,18.09,GOOG-H
2000-02-14,18.94,19.56,17.84,19.44,1445300.0,19.44,GOOG-H
2000-02-15,20.0,20.56,19.81,20.22,1162300.0,20.22,GOOG-H
2000-02-16,20.34,20.75,19.5,19.66,1209000.0,19.66,GOOG-H
2000-02-17,20.0,20.31,19.75,19.91,908400.0,19.91,GOOG-H
2000-02-18,19.78,20.19,18.97,19.25,514300.0,19.25,GOOG-H
2000-02-22,19.13,20.25,19.0,20.0,878200.0,20.0,GOOG-H
2000-02-23,19.75,19.94,19.13,19.25,540600.0,19.25,GOOG-H
2000-02-24,19.13,19.13,18.09,18.5,630700.0,18.5,GOOG-H
2000-02-25,18.38,19.53,18.31,18.47,1000600.0,18.47,GOOG-H
2000-02-28,18.34,18.72,18.28,18.47,842100.0,18.47,GOOG-H
2000-02-29,18.5,18.5,17.78,17.88,2030400.0,17.88,GOOG-H
2000-03-01,17.94,18.63,17.41,18.5,1683500.0,18.5,GOOG-H
2000-03-02,17.5,17.53,17.0,17.28,1587400.0,17.28,GOOG-H
2000-03-03,17.22,17.69,17.0,17.41,2060700.0,17.41,GOOG-H
2000-03-06,17.41,17.88,17.03,17.09,1110900.0,17.09,GOOG-H
2000-03-07,17.09,17.09,15.19,15.19,2730600.0,15.19,GOOG-H
2000-03-08,15.5,17.5,15.5,17.5,2553400.0,17.5,GOOG-H
2000-03-09,17.75,17.84,17.63,17.84,1736400.0,17.84,GOOG-H
2000-03-10,17.97,18.19,17.53,17.75,444300.0,17.75,GOOG-H
2000-03-13,17.78,17.84,17.16,17.66,592200.0,17.66,GOOG-H
2000-03-14,17.97,18.06,17.25,17.38,721900.0,17.38,GOOG-H
2000-03-15,17.97,20.0,17.09,18.75,1953000.0,18.75,GOOG-H
2000-03-16,19.0,20.75,19.0,19.72,1744800.0,19.72,GOOG-H
2000-03-17,19.75,19.94,18.94,19.09,1293900.0,19.09,GOOG-H
2000-03-20,19.09,19.5,18.91,19.16,617000.0,19.16,GOOG-H
2000-03-21,18.63,20.0,18.63,19.28,830800.0,19.28,GOOG-H
2000-03-22,19.25,19.38,18.69,19.09,625500.0,19.09,GOOG-H
2000-03-23,19.25,19.75,18.91,19.41,711700.0,19.41,GOOG-H
2000-03-24,19.41,19.5,18.75,19.19,786200.0,19.19,GOOG-H
2000-03-27,18.81,19.19,18.78,18.81,494500.0,18.81,GOOG-H
2000-03-28,18.56,19.03,18.19,18.44,782700.0,18.44,GOOG-H
2000-03-29,18.56,18.94,18.06,18.63,721400.0,18.63,GOOG-H
2000-03-30,18.56,19.94,18.25,19.53,904600.0,19.53,GOOG-H
2000-03-31,19.0,19.94,19.0,19.0,965900.0,19.0,GOOG-H
2000-04-03,18.56,19.53,18.34,19.44,1659300.0,19.44,GOOG-H
2000-04-04,19.09,21.13,19.09,20.09,1898100.0,20.09,GOOG-H
2000-04-05,19.75,21.0,19.75,20.16,1718100.0,20.16,GOOG-H
2000-04-06,19.91,21.0,19.91,20.0,1018500.0,20.0,GOOG-H
2000-04-07,19.75,21.0,19.31,19.5,491400.0,19.5,GOOG-H
2000-04-10,19.75,20.41,19.56,19.63,719000.0,19.63,GOOG-H
2000-04-11,20.31,20.94,20.09,20.16,793300.0,20.16,GOOG-H
2000-04-12,20.44,21.44,20.44,21.22,993300.0,21.22,GOOG-H
2000-04-13,21.5,22.31,20.5,20.75,1440000.0,20.75,GOOG-H
2000-04-14,20.38,20.5,19.88,20.13,958700.0,20.13,GOOG-H
2000-04-17,20.31,20.31,19.31,19.66,774700.0,19.66,GOOG-H
2000-04-18,19.88,19.94,19.03,19.94,734900.0,19.94,GOOG-H
2000-04-19,19.81,19.97,18.94,19.28,513300.0,19.28,GOOG-H
2000-04-20,19.0,19.56,19.0,19.44,481800.0,19.44,GOOG-H
2000-04-24,18.94,19.69,18.94,19.41,637100.0,19.41,GOOG-H
2000-04-25,19.47,20.63,19.41,20.47,868100.0,20.47,GOOG-H
2000-04-26,20.44,20.44,20.03,20.06,377700.0,20.06,GOOG-H
2000-04-27,20.0,20.66,20.0,20.44,830700.0,20.44,GOOG-H
2000-04-28,20.19,20.28,19.97,20.19,633700.0,20.19,GOOG-H
2000-05-01,19.75,20.22,19.63,20.22,805500.0,20.22,GOOG-H
2000-05-02,20.25,21.0,20.25,20.44,817600.0,20.44,GOOG-H
2000-05-03,19.97,20.41,19.97,20.28,527300.0,20.28,GOOG-H
2000-05-04,19.75,20.41,19.75,19.97,936900.0,19.97,GOOG-H
2000-05-05,19.88,19.88,19.44,19.69,793800.0,19.69,GOOG-H
2000-05-08,19.75,20.47,19.59,20.13,651800.0,20.13,GOOG-H
2000-05-09,20.19,20.75,20.0,20.03,764500.0,20.03,GOOG-H
2000-05-10,20.0,20.88,19.97,20.88,857800.0,20.88,GOOG-H
2000-05-11,21.38,21.44,20.44,20.75,2855600.0,20.75,GOOG-H
2000-05-12,21.28,22.19,21.19,22.03,2129300.0,22.03,GOOG-H
2000-05-15,21.28,22.47,21.19,22.47,1209700.0,22.47,GOOG-H
2000-05-16,23.81,24.06,23.19,23.34,3438000.0,23.34,GOOG-H
2000-05-17,23.06,23.59,22.81,23.28,2173800.0,23.28,GOOG-H
2000-05-18,23.5,23.75,22.97,23.16,1914900.0,23.16,GOOG-H
2000-05-19,22.56,23.66,22.56,23.41,1108600.0,23.41,GOOG-H
2000-05-22,23.44,24.81,23.31,24.78,2537400.0,24.78,GOOG-H
2000-05-23,24.5,24.59,23.16,23.66,2492700.0,23.66,GOOG-H
2000-05-24,23.66,23.72,23.28,23.72,1171000.0,23.72,GOOG-H
2000-05-25,23.94,24.25,23.75,23.97,1278600.0,23.97,GOOG-H
2000-05-26,22.75,23.44,21.94,22.34,1905600.0,22.34,GOOG-H
2000-05-30,22.75,22.91,22.41,22.63,1064400.0,22.63,GOOG-H
2000-05-31,21.81,21.88,20.78,20.78,1762600.0,20.78,GOOG-H
2000-06-01,21.63,21.63,20.88,21.44,1369900.0,21.44,GOOG-H
2000-06-02,21.44,21.44,21.0,21.0,1018500.0,21.0,GOOG-H
2000-06-05,21.19,21.19,20.88,20.97,599000.0,20.97,GOOG-H
2000-06-06,21.81,21.91,21.28,21.91,1364300.0,21.91,GOOG-H
2000-06-07,21.91,21.97,21.34,21.53,649500.0,21.53,GOOG-H
2000-06-08,21.69,21.75,21.03,21.13,685000.0,21.13,GOOG-H
2000-06-09,21.28,21.28,20.5,20.75,399400.0,20.75,GOOG-H
2000-06-12,21.06,21.06,20.69,20.88,467900.0,20.88,GOOG-H
2000-06-13,20.59,20.59,20.03,20.16,894700.0,20.16,GOOG-H
2000-06-14,20.19,21.69,20.09,21.47,1524600.0,21.47,GOOG-H
2000-06-15,21.94,21.94,20.97,21.06,1216800.0,21.06,GOOG-H
2000-06-16,21.94,21.94,20.41,20.69,1155400.0,20.69,GOOG-H
2000-06-19,20.56,20.56,19.53,20.09,1344400.0,20.09,GOOG-H
2000-06-20,20.09,20.09,19.38,19.59,1248600.0,19.59,GOOG-H
2000-06-21,19.31,19.69,18.94,19.63,1233500.0,19.63,GOOG-H
2000-06-22,19.56,19.66,18.47,18.53,1484100.0,18.53,GOOG-H
2000-06-23,18.81,18.94,18.63,18.84,955700.0,18.84,GOOG-H
2000-06-26,18.81,19.13,18.69,18.75,762200.0,18.75,GOOG-H
2000-06-27,18.81,19.56,18.75,19.56,1713600.0,19.56,GOOG-H
2000-06-28,19.44,19.88,18.94,19.38,1712200.0,19.38,GOOG-H
2000-06-29,19.19,19.19,18.25,18.44,1621900.0,18.44,GOOG-H
2000-06-30,18.66,18.84,18.16,18.5,1339400.0,18.5,GOOG-H
