DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,9.09,9.17,8.72,8.81,265900.0,8.81,GOOG-H
2000-01-04,8.86,8.87,8.43,8.49,415400.0,8.49,GOOG-H
2000-01-05,8.57,8.76,8.41,8.59,523900.0,8.59,GOOG-H
2000-01-06,8.49,8.88,8.29,8.68,236500.0,8.68,GOOG-H
2000-01-07,8.72,8.8,8.67,8.75,325700.0,8.75,GOOG-H
2000-01-10,8.79,8.93,8.79,8.93,467500.0,8.93,GOOG-H
2000-01-11,8.91,8.95,8.68,8.7,332700.0,8.7,GOOG-H
2000-01-12,8.67,8.68,8.42,8.47,223700.0,8.47,GOOG-H
2000-01-13,8.67,8.67,8.42,8.6,562900.0,8.6,GOOG-H
2000-01-14,8.57,8.62,8.4,8.6,315200.0,8.6,GOOG-H
2000-01-18,8.5,8.5,8.31,8.36,346500.0,8.36,GOOG-H
2000-01-19,8.31,8.38,8.19,8.27,350800.0,8.27,GOOG-H
2000-01-20,8.25,8.27,8.02,8.09,195300.0,8.09,GOOG-H
2000-01-21,8.09,8.09,7.67,7.8,724700.0,7.8,GOOG-H
2000-01-24,7.63,7.66,7.19,7.2,623100.0,7.2,GOOG-H
2000-01-25,7.25,7.67,7.25,7.64,671000.0,7.64,GOOG-H
2000-01-26,7.64,7.93,7.61,7.86,416000.0,7.86,GOOG-H
2000-01-27,7.65,8.06,7.64,7.88,727400.0,7.88,GOOG-H
2000-01-28,7.83,8.04,7.83,8.01,723500.0,8.01,GOOG-H
2000-01-31,7.99,8.47,7.99,8.17,792800.0,8.17,GOOG-H
2000-02-01,8.16,8.22,8.11,8.19,510900.0,8.19,GOOG-H
2000-02-02,8.17,8.34,8.15,8.18,398700.0,8.18,GOOG-H
2000-02-03,8.21,8.33,8.18,8.25,166200.0,8.25,GOOG-H
2000-02-04,8.31,8.31,8.15,8.19,184600.0,8.19,GOOG-H
2000-02-07,8.19,8.3,8.03,8.17,386200.0,8.17,GOOG-H
2000-02-08,8.17,8.38,8.17,8.3,426900.0,8.3,GOOG-H
2000-02-09,8.33,8.33,8.23,8.27,540100.0,8.27,GOOG-H
2000-02-10,8.24,8.28,7.86,7.9,227200.0,7.9,GOOG-H
2000-02-11,7.96,8.01,7.69,7.78,422200.0,7.78,GOOG-H
2000-02-14,7.79,7.79,7.65,7.76,242000.0,7.76,GOOG-H
2000-02-15,7.72,7.86,7.71,7.8,465500.0,7.8,GOOG-H
2000-02-16,7.73,7.83,7.73,7.76,357100.0,7.76,GOOG-H
2000-02-17,7.76,7.88,7.74,7.76,251300.0,7.76,GOOG-H
2000-02-18,7.76,7.79,7.45,7.56,449800.0,7.56,GOOG-H
2000-02-22,7.56,7.67,7.44,7.53,403900.0,7.53,GOOG-H
2000-02-23,7.51,7.57,7.39,7.45,491500.0,7.45,GOOG-H
