DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,43.67,43.67,41.97,42.14,815000.0,42.14,GOOG-H
2000-01-04,42.08,43.23,41.75,42.79,721800.0,42.79,GOOG-H
2000-01-05,43.12,45.14,43.12,44.92,1438700.0,44.92,GOOG-H
2000-01-06,45.08,45.96,45.08,45.74,859800.0,45.74,GOOG-H
2000-01-07,46.18,47.05,46.07,46.94,1241800.0,46.94,GOOG-H
2000-01-10,46.67,47.05,46.67,46.89,657900.0,46.89,GOOG-H
2000-01-11,46.29,46.78,45.96,46.29,740100.0,46.29,GOOG-H
2000-01-12,46.29,47.16,45.96,46.83,573700.0,46.83,GOOG-H
2000-01-13,46.89,47.6,46.56,47.21,709200.0,47.21,GOOG-H
2000-01-14,47.21,47.81,46.99,47.6,1000100.0,47.6,GOOG-H
2000-01-18,46.94,47.16,46.34,46.78,562800.0,46.78,GOOG-H
2000-01-19,47.16,48.09,46.94,48.09,862400.0,48.09,GOOG-H
2000-01-20,47.92,48.8,47.92,48.74,819600.0,48.74,GOOG-H
2000-01-21,48.91,49.72,48.91,49.34,916400.0,49.34,GOOG-H
2000-01-24,49.51,50.32,49.45,50.0,743500.0,50.0,GOOG-H
2000-01-25,50.22,50.6,49.18,49.83,926900.0,49.83,GOOG-H
2000-01-26,49.89,50.6,49.67,49.94,675600.0,49.94,GOOG-H
2000-01-27,50.0,50.54,49.51,50.54,868700.0,50.54,GOOG-H
2000-01-28,50.0,50.54,49.07,49.78,698300.0,49.78,GOOG-H
2000-01-31,49.78,50.6,49.34,50.43,663900.0,50.43,GOOG-H
2000-02-01,49.78,50.54,49.61,50.27,463600.0,50.27,GOOG-H
2000-02-02,50.27,50.27,49.18,49.4,763000.0,49.4,GOOG-H
2000-02-03,49.4,50.11,48.52,49.01,1445100.0,49.01,GOOG-H
2000-02-04,48.58,48.58,46.83,46.99,793000.0,46.99,GOOG-H
2000-02-07,46.94,47.92,46.07,46.34,705200.0,46.34,GOOG-H
2000-02-08,46.94,47.87,46.07,46.78,1202600.0,46.78,GOOG-H
2000-02-09,46.12,46.12,45.25,45.36,1090100.0,45.36,GOOG-H
2000-02-10,45.68,45.68,44.54,44.65,1184500.0,44.65,GOOG-H
2000-02-11,44.98,45.19,44.37,44.7,699900.0,44.7,GOOG-H
2000-02-14,45.36,45.36,44.65,44.98,743800.0,44.98,GOOG-H
2000-02-15,44.76,45.25,44.32,44.37,600000.0,44.37,GOOG-H
2000-02-16,44.48,44.65,44.1,44.65,638100.0,44.65,GOOG-H
2000-02-17,45.19,45.3,44.65,45.08,1007200.0,45.08,GOOG-H
2000-02-18,45.47,45.47,44.92,45.14,1334600.0,45.14,GOOG-H
2000-02-22,44.98,45.25,44.16,44.16,1099000.0,44.16,GOOG-H
2000-02-23,43.88,43.88,42.96,43.23,915500.0,43.23,GOOG-H
2000-02-24,43.23,43.23,41.7,42.25,860000.0,42.25,GOOG-H
2000-02-25,42.46,42.46,41.15,41.37,720900.0,41.37,GOOG-H
2000-02-28,41.43,42.63,41.21,42.3,769900.0,42.3,GOOG-H
2000-02-29,42.36,42.57,41.97,42.36,791800.0,42.36,GOOG-H
2000-03-01,42.9,42.9,41.26,41.97,740800.0,41.97,GOOG-H
2000-03-02,42.36,42.36,41.7,42.08,432800.0,42.08,GOOG-H
2000-03-03,42.9,43.39,41.7,43.12,614700.0,43.12,GOOG-H
2000-03-06,42.9,43.39,41.75,42.9,1408400.0,42.9,GOOG-H
2000-03-07,42.9,43.83,41.54,41.75,1338900.0,41.75,GOOG-H
2000-03-08,41.92,42.85,41.48,41.59,1002000.0,41.59,GOOG-H
2000-03-09,41.59,41.86,40.77,41.43,850800.0,41.43,GOOG-H
2000-03-10,41.05,41.1,39.95,40.5,1136300.0,40.5,GOOG-H
2000-03-13,40.06,41.05,40.06,40.61,1215600.0,40.61,GOOG-H
2000-03-14,40.66,41.21,40.66,40.83,1043800.0,40.83,GOOG-H
2000-03-15,40.94,43.23,40.94,43.17,1100200.0,43.17,GOOG-H
2000-03-16,43.39,46.29,43.39,45.14,1030500.0,45.14,GOOG-H
2000-03-17,45.19,45.25,43.72,43.99,1251000.0,43.99,GOOG-H
2000-03-20,43.56,43.67,42.79,43.01,704100.0,43.01,GOOG-H
2000-03-21,43.01,43.39,42.14,42.63,1101600.0,42.63,GOOG-H
2000-03-22,42.57,42.57,41.43,42.46,980400.0,42.46,GOOG-H
2000-03-23,42.36,44.05,42.19,43.28,3548700.0,43.28,GOOG-H
2000-03-24,43.56,44.1,43.01,43.67,1245200.0,43.67,GOOG-H
2000-03-27,43.56,45.03,43.01,44.48,1000800.0,44.48,GOOG-H
2000-03-28,43.88,44.7,43.88,43.94,1073700.0,43.94,GOOG-H
2000-03-29,43.99,45.41,43.99,44.87,1280300.0,44.87,GOOG-H
2000-03-30,44.87,45.36,44.87,45.19,1868300.0,45.19,GOOG-H
2000-03-31,45.08,46.18,44.81,45.85,1119800.0,45.85,GOOG-H
2000-04-03,45.08,47.16,44.81,47.16,1063800.0,47.16,GOOG-H
2000-04-04,47.1,49.34,47.1,49.12,2156200.0,49.12,GOOG-H
2000-04-05,46.89,49.51,46.89,47.05,1009300.0,47.05,GOOG-H
2000-04-06,45.96,47.43,45.96,46.12,1039800.0,46.12,GOOG-H
2000-04-07,45.9,46.61,45.3,45.68,876900.0,45.68,GOOG-H
2000-04-10,45.47,47.27,45.41,47.16,895900.0,47.16,GOOG-H
2000-04-11,45.47,48.52,45.41,48.2,1001800.0,48.2,GOOG-H
2000-04-12,45.47,49.72,45.41,49.29,1424600.0,49.29,GOOG-H
2000-04-13,49.07,50.54,48.74,49.94,1332600.0,49.94,GOOG-H
2000-04-14,50.0,50.71,47.54,47.87,1162000.0,47.87,GOOG-H
2000-04-17,47.92,49.23,47.65,48.52,1130000.0,48.52,GOOG-H
2000-04-18,47.92,48.96,46.83,47.43,907900.0,47.43,GOOG-H
2000-04-19,47.49,47.98,46.45,47.81,868000.0,47.81,GOOG-H
