DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,16.56,16.69,16.03,16.22,341500.0,16.22,GOOG-H
2000-01-04,16.34,16.34,15.72,15.84,644300.0,15.84,GOOG-H
2000-01-05,15.94,16.13,15.94,16.13,388000.0,16.13,GOOG-H
2000-01-06,15.94,17.25,15.88,16.94,250900.0,16.94,GOOG-H
2000-01-07,17.0,17.63,16.88,17.03,235600.0,17.03,GOOG-H
2000-01-10,17.06,17.06,16.47,16.81,155800.0,16.81,GOOG-H
2000-01-11,16.81,17.09,16.69,17.06,199800.0,17.06,GOOG-H
2000-01-12,16.81,17.09,16.75,16.81,181700.0,16.81,GOOG-H
2000-01-13,16.91,17.28,16.88,17.19,392800.0,17.19,GOOG-H
2000-01-14,17.19,17.38,16.75,17.28,343500.0,17.28,GOOG-H
2000-01-18,17.28,18.69,17.28,18.69,364700.0,18.69,GOOG-H
2000-01-19,18.69,19.25,18.69,19.19,520000.0,19.19,GOOG-H
2000-01-20,19.06,19.88,19.06,19.47,514900.0,19.47,GOOG-H
2000-01-21,19.75,20.84,19.75,20.69,535100.0,20.69,GOOG-H
2000-01-24,20.84,21.03,19.63,20.13,947200.0,20.13,GOOG-H
2000-01-25,20.0,20.03,19.56,19.63,277300.0,19.63,GOOG-H
2000-01-26,19.66,20.16,19.13,19.13,323100.0,19.13,GOOG-H
2000-01-27,19.66,19.75,18.47,18.78,355100.0,18.78,GOOG-H
2000-01-28,18.75,19.06,18.5,18.78,281000.0,18.78,GOOG-H
2000-01-31,18.75,18.75,17.56,17.56,413500.0,17.56,GOOG-H
2000-02-01,17.56,18.22,17.56,18.03,431400.0,18.03,GOOG-H
2000-02-02,18.16,18.38,17.81,17.81,265900.0,17.81,GOOG-H
2000-02-03,18.13,18.16,17.81,17.97,195000.0,17.97,GOOG-H
2000-02-04,18.13,18.38,17.81,18.0,218000.0,18.0,GOOG-H
2000-02-07,17.88,18.5,17.88,18.0,251800.0,18.0,GOOG-H
2000-02-08,18.0,18.06,17.56,18.0,121900.0,18.0,GOOG-H
2000-02-09,18.0,18.31,17.66,17.66,442700.0,17.66,GOOG-H
2000-02-10,17.75,18.97,17.75,18.56,286600.0,18.56,GOOG-H
2000-02-11,18.75,18.75,18.0,18.0,169600.0,18.0,GOOG-H
2000-02-14,18.19,18.81,18.0,18.59,235100.0,18.59,GOOG-H
2000-02-15,18.59,19.19,18.56,19.03,443000.0,19.03,GOOG-H
2000-02-16,18.84,19.47,18.81,19.19,166000.0,19.19,GOOG-H
2000-02-17,19.5,19.5,19.13,19.31,277300.0,19.31,GOOG-H
2000-02-18,19.19,19.44,18.97,19.06,401600.0,19.06,GOOG-H
2000-02-22,19.22,19.22,18.53,19.16,275600.0,19.16,GOOG-H
2000-02-23,19.03,19.06,18.0,18.44,179700.0,18.44,GOOG-H
2000-02-24,18.56,18.56,17.88,18.22,354500.0,18.22,GOOG-H
2000-02-25,18.44,18.44,17.88,17.97,445900.0,17.97,GOOG-H
2000-02-28,17.63,18.44,17.63,18.34,218100.0,18.34,GOOG-H
2000-02-29,18.31,18.75,18.06,18.63,400800.0,18.63,GOOG-H
2000-03-01,18.75,19.5,18.63,19.44,291000.0,19.44,GOOG-H
2000-03-02,19.88,20.63,19.81,20.44,576000.0,20.44,GOOG-H
2000-03-03,19.88,20.47,19.63,19.97,362800.0,19.97,GOOG-H
2000-03-06,19.88,20.38,19.75,20.31,142900.0,20.31,GOOG-H
2000-03-07,20.19,22.63,20.13,22.63,564500.0,22.63,GOOG-H
2000-03-08,22.31,22.56,21.44,22.13,699200.0,22.13,GOOG-H
2000-03-09,22.0,22.16,21.38,22.16,266900.0,22.16,GOOG-H
2000-03-10,22.09,22.41,21.63,22.03,436700.0,22.03,GOOG-H
2000-03-13,21.38,22.16,21.38,22.13,186400.0,22.13,GOOG-H
2000-03-14,22.0,22.41,21.78,22.19,372900.0,22.19,GOOG-H
2000-03-15,22.0,22.19,21.28,21.47,294800.0,21.47,GOOG-H
2000-03-16,22.0,22.13,21.19,22.03,269500.0,22.03,GOOG-H
2000-03-17,21.5,21.94,21.28,21.69,212200.0,21.69,GOOG-H
2000-03-20,21.5,21.5,20.88,21.13,113800.0,21.13,GOOG-H
2000-03-21,21.0,21.88,20.94,21.59,198600.0,21.59,GOOG-H
2000-03-22,21.5,21.69,21.34,21.47,241500.0,21.47,GOOG-H
2000-03-23,21.53,21.53,21.03,21.31,149600.0,21.31,GOOG-H
2000-03-24,21.25,21.72,20.81,21.25,177200.0,21.25,GOOG-H
2000-03-27,21.25,21.47,20.88,20.91,229300.0,20.91,GOOG-H
2000-03-28,21.25,22.0,20.75,21.25,292300.0,21.25,GOOG-H
2000-03-29,21.38,22.5,21.38,22.31,466800.0,22.31,GOOG-H
2000-03-30,21.38,23.75,21.38,23.63,1099400.0,23.63,GOOG-H
2000-03-31,23.88,24.28,23.5,24.28,498000.0,24.28,GOOG-H
2000-04-03,24.19,24.91,24.13,24.53,383200.0,24.53,GOOG-H
2000-04-04,24.5,24.5,22.88,23.75,527000.0,23.75,GOOG-H
2000-04-05,23.88,23.88,23.38,23.63,268200.0,23.63,GOOG-H
2000-04-06,24.13,24.13,23.06,24.13,392700.0,24.13,GOOG-H
2000-04-07,24.31,24.34,23.53,23.69,242600.0,23.69,GOOG-H
2000-04-10,24.31,24.34,22.69,22.81,365800.0,22.81,GOOG-H
2000-04-11,23.13,23.38,22.78,22.84,599500.0,22.84,GOOG-H
2000-04-12,22.84,23.44,22.81,23.13,463700.0,23.13,GOOG-H
2000-04-13,23.31,24.0,23.25,23.88,303000.0,23.88,GOOG-H
2000-04-14,23.31,23.84,23.31,23.44,321900.0,23.44,GOOG-H
2000-04-17,23.06,23.06,21.94,22.16,424400.0,22.16,GOOG-H
2000-04-18,22.22,22.34,21.88,22.22,260000.0,22.22,GOOG-H
2000-04-19,23.03,23.03,21.88,22.97,810900.0,22.97,GOOG-H
2000-04-20,22.88,22.88,22.44,22.75,477700.0,22.75,GOOG-H
2000-04-24,22.88,22.88,22.34,22.53,202000.0,22.53,GOOG-H
2000-04-25,22.88,23.16,22.63,23.13,363400.0,23.13,GOOG-H
2000-04-26,23.13,23.5,23.06,23.44,282000.0,23.44,GOOG-H
2000-04-27,23.44,24.16,23.22,23.91,279100.0,23.91,GOOG-H
2000-04-28,23.81,24.13,23.25,24.09,424800.0,24.09,GOOG-H
2000-05-01,23.88,24.41,23.75,23.94,682200.0,23.94,GOOG-H
2000-05-02,23.81,24.0,23.56,23.56,335500.0,23.56,GOOG-H
2000-05-03,23.81,23.88,23.19,23.31,210300.0,23.31,GOOG-H
2000-05-04,23.13,24.81,23.13,24.5,867000.0,24.5,GOOG-H
2000-05-05,24.84,25.0,24.25,24.84,632600.0,24.84,GOOG-H
2000-05-08,24.97,26.13,24.53,25.47,512600.0,25.47,GOOG-H
2000-05-09,25.47,25.72,24.75,25.06,279100.0,25.06,GOOG-H
2000-05-10,24.97,24.97,24.44,24.53,273900.0,24.53,GOOG-H
2000-05-11,25.47,25.75,24.44,25.75,540700.0,25.75,GOOG-H
2000-05-12,25.75,26.59,25.5,26.34,817600.0,26.34,GOOG-H
2000-05-15,25.75,28.25,25.5,28.13,890900.0,28.13,GOOG-H
2000-05-16,27.94,28.25,26.88,27.94,862400.0,27.94,GOOG-H
2000-05-17,27.75,28.97,27.5,28.5,407500.0,28.5,GOOG-H
2000-05-18,28.5,29.5,28.5,29.25,454100.0,29.25,GOOG-H
2000-05-19,28.88,29.47,28.88,28.94,270700.0,28.94,GOOG-H
2000-05-22,28.75,29.06,28.75,28.94,343200.0,28.94,GOOG-H
2000-05-23,28.69,29.19,28.69,28.91,504700.0,28.91,GOOG-H
2000-05-24,29.0,29.69,28.69,29.69,589600.0,29.69,GOOG-H
2000-05-25,29.0,29.34,28.59,29.34,598700.0,29.34,GOOG-H
2000-05-26,28.75,28.75,27.59,27.81,1842500.0,27.81,GOOG-H
2000-05-30,28.5,28.5,27.88,28.44,1056500.0,28.44,GOOG-H
2000-05-31,28.44,30.19,28.31,29.91,992000.0,29.91,GOOG-H
2000-06-01,29.94,30.25,29.69,30.0,720100.0,30.0,GOOG-H
2000-06-02,29.81,29.97,29.19,29.31,537900.0,29.31,GOOG-H
2000-06-05,29.47,29.47,28.63,28.78,397500.0,28.78,GOOG-H
2000-06-06,28.75,29.31,28.69,29.06,515900.0,29.06,GOOG-H
2000-06-07,29.13,29.63,28.72,29.25,618300.0,29.25,GOOG-H
2000-06-08,29.13,29.81,28.81,29.5,458200.0,29.5,GOOG-H
2000-06-09,29.69,29.69,29.19,29.31,358900.0,29.31,GOOG-H
2000-06-12,29.69,30.03,29.19,29.59,466200.0,29.59,GOOG-H
2000-06-13,29.63,29.97,29.63,29.88,257400.0,29.88,GOOG-H
2000-06-14,29.97,30.47,29.91,30.03,554400.0,30.03,GOOG-H
2000-06-15,30.16,30.25,29.5,29.75,543600.0,29.75,GOOG-H
2000-06-16,29.84,30.16,29.78,30.0,351300.0,30.0,GOOG-H
2000-06-19,29.94,29.94,29.34,29.56,518300.0,29.56,GOOG-H
2000-06-20,29.5,29.5,29.0,29.16,665300.0,29.16,GOOG-H
2000-06-21,29.28,29.56,28.56,28.78,1858300.0,28.78,GOOG-H
2000-06-22,29.0,29.25,28.88,29.13,464400.0,29.13,GOOG-H
2000-06-23,29.19,29.5,29.19,29.34,682600.0,29.34,GOOG-H
2000-06-26,29.47,29.47,28.19,28.56,484900.0,28.56,GOOG-H
2000-06-27,28.53,28.53,27.63,28.16,343400.0,28.16,GOOG-H
2000-06-28,28.53,28.53,27.38,27.53,603100.0,27.53,GOOG-H
2000-06-29,27.53,27.75,27.41,27.72,620000.0,27.72,GOOG-H
2000-06-30,27.75,28.09,27.16,28.09,968900.0,28.09,GOOG-H
2000-07-03,27.88,27.88,27.59,27.81,106000.0,27.81,GOOG-H
2000-07-05,27.5,27.5,24.06,24.09,1195200.0,24.09,GOOG-H
2000-07-06,25.25,25.25,24.44,24.88,1526600.0,24.88,GOOG-H
2000-07-07,24.56,25.06,24.31,24.81,387300.0,24.81,GOOG-H
2000-07-10,24.69,24.91,24.0,24.06,523700.0,24.06,GOOG-H
2000-07-11,24.06,26.47,24.0,26.16,646400.0,26.16,GOOG-H
2000-07-12,26.16,26.47,25.69,25.88,438200.0,25.88,GOOG-H
2000-07-13,25.94,25.94,24.06,24.56,781600.0,24.56,GOOG-H
2000-07-14,25.94,25.94,24.25,24.66,194100.0,24.66,GOOG-H
2000-07-17,24.94,25.0,24.22,24.25,167200.0,24.25,GOOG-H
2000-07-18,24.69,24.69,23.78,23.81,409700.0,23.81,GOOG-H
2000-07-19,24.31,24.31,23.06,23.13,650500.0,23.13,GOOG-H
2000-07-20,23.25,24.0,23.25,23.53,419800.0,23.53,GOOG-H
2000-07-21,23.25,24.0,22.47,23.0,602700.0,23.0,GOOG-H
2000-07-24,22.5,22.75,21.88,22.0,1088800.0,22.0,GOOG-H
