DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,44.62,44.92,44.02,44.21,547700.0,44.21,GOOG-H
2000-01-04,43.33,43.83,43.0,43.06,745600.0,43.06,GOOG-H
2000-01-05,43.06,44.4,42.9,44.4,1500401.0,44.4,GOOG-H
2000-01-06,44.33,47.17,44.17,45.65,1877102.0,45.65,GOOG-H
2000-01-07,46.33,46.98,46.0,46.67,1437201.0,46.67,GOOG-H
2000-01-10,46.42,46.65,45.42,45.48,676300.0,45.48,GOOG-H
2000-01-11,45.31,45.31,45.02,45.02,553900.0,45.02,GOOG-H
2000-01-12,45.04,46.17,44.83,45.92,1336801.0,45.92,GOOG-H
2000-01-13,45.5,46.44,45.5,46.0,973701.0,46.0,GOOG-H
2000-01-14,46.0,46.65,45.69,46.33,1000501.0,46.33,GOOG-H
2000-01-18,46.0,46.08,43.31,43.44,1059201.0,43.44,GOOG-H
2000-01-19,43.75,44.4,42.75,43.06,1218401.0,43.06,GOOG-H
2000-01-20,43.15,43.15,41.0,41.58,1175901.0,41.58,GOOG-H
2000-01-21,41.48,41.48,39.83,40.71,1587601.0,40.71,GOOG-H
2000-01-24,40.46,42.17,40.27,42.1,1175501.0,42.1,GOOG-H
2000-01-25,42.1,42.21,39.92,40.69,1295701.0,40.69,GOOG-H
2000-01-26,40.67,41.46,39.83,40.42,1023801.0,40.42,GOOG-H
2000-01-27,41.0,41.42,39.33,39.69,1368701.0,39.69,GOOG-H
2000-01-28,39.75,39.81,38.1,38.25,1391501.0,38.25,GOOG-H
2000-01-31,38.33,38.83,37.79,38.83,996601.0,38.83,GOOG-H
2000-02-01,38.75,40.23,38.75,39.96,964901.0,39.96,GOOG-H
2000-02-02,39.67,39.83,37.77,38.37,1129501.0,38.37,GOOG-H
2000-02-03,38.54,38.62,37.77,38.48,958101.0,38.48,GOOG-H
2000-02-04,38.67,38.71,37.17,37.4,752400.0,37.4,GOOG-H
2000-02-07,37.67,37.75,36.96,37.17,1027701.0,37.17,GOOG-H
2000-02-08,37.83,37.83,36.92,37.19,738500.0,37.19,GOOG-H
2000-02-09,37.33,37.65,36.0,36.1,1093701.0,36.1,GOOG-H
2000-02-10,36.19,36.25,35.21,35.31,1036001.0,35.31,GOOG-H
2000-02-11,35.27,35.92,34.67,35.25,914200.0,35.25,GOOG-H
2000-02-14,35.27,36.0,34.5,35.27,1402301.0,35.27,GOOG-H
2000-02-15,35.31,36.65,35.17,36.31,1821801.0,36.31,GOOG-H
2000-02-16,36.29,36.5,35.54,35.69,791400.0,35.69,GOOG-H
2000-02-17,36.0,36.25,35.25,35.9,739100.0,35.9,GOOG-H
2000-02-18,35.9,35.9,34.33,34.92,928501.0,34.92,GOOG-H
2000-02-22,34.92,38.35,34.92,38.04,959801.0,38.04,GOOG-H
2000-02-23,37.71,37.98,36.67,36.92,977801.0,36.92,GOOG-H
2000-02-24,36.67,36.67,34.52,35.9,776300.0,35.9,GOOG-H
2000-02-25,35.9,35.9,35.0,35.27,677700.0,35.27,GOOG-H
2000-02-28,34.71,36.79,34.5,35.85,1107501.0,35.85,GOOG-H
2000-02-29,35.85,36.5,34.96,36.17,928801.0,36.17,GOOG-H
2000-03-01,36.21,36.21,34.12,34.46,899700.0,34.46,GOOG-H
2000-03-02,34.0,34.17,32.87,32.98,1136801.0,32.98,GOOG-H
2000-03-03,34.33,37.56,34.0,36.58,1825001.0,36.58,GOOG-H
2000-03-06,36.92,37.12,34.17,34.73,1177301.0,34.73,GOOG-H
2000-03-07,34.17,34.17,31.79,31.83,1790501.0,31.83,GOOG-H
