DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,28.44,28.78,28.16,28.78,1038300.0,28.78,GOOG-H
2000-01-04,28.75,28.78,28.41,28.44,784300.0,28.44,GOOG-H
2000-01-05,28.44,29.13,28.44,28.97,988200.0,28.97,GOOG-H
2000-01-06,28.75,30.0,28.69,29.78,1160000.0,29.78,GOOG-H
2000-01-07,30.25,31.34,29.88,31.13,1209100.0,31.13,GOOG-H
2000-01-10,31.0,31.0,29.31,29.5,1135000.0,29.5,GOOG-H
2000-01-11,29.38,30.0,29.31,29.44,837800.0,29.44,GOOG-H
2000-01-12,29.53,30.19,29.5,29.84,629500.0,29.84,GOOG-H
2000-01-13,29.97,31.09,29.88,30.75,967000.0,30.75,GOOG-H
2000-01-14,30.69,30.88,30.44,30.47,1159500.0,30.47,GOOG-H
2000-01-18,30.34,30.34,29.69,30.09,947600.0,30.09,GOOG-H
2000-01-19,30.22,31.19,30.22,30.84,1023800.0,30.84,GOOG-H
2000-01-20,30.94,31.16,30.16,30.22,992100.0,30.22,GOOG-H
2000-01-21,29.88,30.28,29.81,30.03,1135400.0,30.03,GOOG-H
2000-01-24,30.0,30.13,28.88,29.19,1014800.0,29.19,GOOG-H
2000-01-25,28.81,29.0,28.56,28.59,837700.0,28.59,GOOG-H
2000-01-26,28.75,28.75,27.91,28.25,947600.0,28.25,GOOG-H
2000-01-27,28.75,28.75,27.63,27.84,1197200.0,27.84,GOOG-H
2000-01-28,27.81,28.5,27.63,28.0,1535200.0,28.0,GOOG-H
2000-01-31,27.75,28.03,27.53,27.53,855600.0,27.53,GOOG-H
2000-02-01,27.56,27.66,27.19,27.31,1010100.0,27.31,GOOG-H
2000-02-02,27.44,27.47,26.75,26.75,1430400.0,26.75,GOOG-H
2000-02-03,26.31,27.72,26.31,27.13,1344600.0,27.13,GOOG-H
2000-02-04,26.31,26.66,25.75,25.78,2072500.0,25.78,GOOG-H
2000-02-07,25.13,25.53,24.66,24.97,1932000.0,24.97,GOOG-H
2000-02-08,25.0,25.38,24.78,24.94,1913300.0,24.94,GOOG-H
2000-02-09,24.81,24.81,24.0,24.0,1308900.0,24.0,GOOG-H
2000-02-10,24.03,24.22,23.03,23.34,1825400.0,23.34,GOOG-H
2000-02-11,23.47,23.72,23.13,23.19,1580100.0,23.19,GOOG-H
2000-02-14,23.31,23.38,22.84,23.19,1085200.0,23.19,GOOG-H
2000-02-15,23.06,24.22,22.94,24.03,2089800.0,24.03,GOOG-H
2000-02-16,23.84,24.66,23.63,24.47,1237000.0,24.47,GOOG-H
2000-02-17,24.75,24.78,24.25,24.69,1777000.0,24.69,GOOG-H
2000-02-18,24.72,25.56,24.53,25.0,1812900.0,25.0,GOOG-H
2000-02-22,24.63,25.31,24.53,24.88,1314300.0,24.88,GOOG-H
2000-02-23,24.75,24.84,24.19,24.28,1335500.0,24.28,GOOG-H
2000-02-24,24.25,24.63,23.75,24.22,1163300.0,24.22,GOOG-H
2000-02-25,24.25,24.63,23.78,23.81,1226600.0,23.81,GOOG-H
2000-02-28,23.81,23.97,23.25,23.25,1086100.0,23.25,GOOG-H
2000-02-29,23.25,23.44,22.66,22.78,1924400.0,22.78,GOOG-H
2000-03-01,22.5,22.72,22.09,22.31,2162600.0,22.31,GOOG-H
2000-03-02,22.06,22.28,21.81,22.03,1154000.0,22.03,GOOG-H
2000-03-03,22.03,22.47,21.53,21.81,1621000.0,21.81,GOOG-H
2000-03-06,21.78,21.81,20.75,21.0,1634600.0,21.0,GOOG-H
2000-03-07,21.13,21.38,20.84,20.94,1301900.0,20.94,GOOG-H
2000-03-08,21.06,21.38,20.66,21.0,1650600.0,21.0,GOOG-H
2000-03-09,21.03,21.06,20.5,20.75,1239500.0,20.75,GOOG-H
2000-03-10,20.81,21.28,20.47,20.56,1327000.0,20.56,GOOG-H
2000-03-13,20.81,21.34,20.25,21.34,1053700.0,21.34,GOOG-H
2000-03-14,21.28,21.47,20.78,20.94,1051900.0,20.94,GOOG-H
2000-03-15,21.03,21.78,20.59,21.69,2176200.0,21.69,GOOG-H
2000-03-16,21.63,23.0,21.63,22.97,2827200.0,22.97,GOOG-H
2000-03-17,22.75,24.0,22.5,22.5,2477000.0,22.5,GOOG-H
2000-03-20,23.0,23.88,22.88,23.47,2278800.0,23.47,GOOG-H
2000-03-21,23.25,23.5,22.53,23.06,1657800.0,23.06,GOOG-H
2000-03-22,22.88,22.94,22.34,22.56,1644000.0,22.56,GOOG-H
2000-03-23,22.44,23.5,22.13,23.41,1584900.0,23.41,GOOG-H
2000-03-24,23.38,24.5,23.31,23.72,1784300.0,23.72,GOOG-H
2000-03-27,23.38,23.84,23.13,23.47,1082600.0,23.47,GOOG-H
2000-03-28,23.41,23.81,23.41,23.59,1058600.0,23.59,GOOG-H
2000-03-29,23.41,24.56,23.41,24.34,1188300.0,24.34,GOOG-H
2000-03-30,25.0,27.13,24.94,26.63,2387200.0,26.63,GOOG-H
2000-03-31,26.44,27.13,26.44,26.44,2124400.0,26.44,GOOG-H
2000-04-03,26.5,26.66,25.66,26.59,1158100.0,26.59,GOOG-H
2000-04-04,27.38,28.38,27.06,27.69,2652500.0,27.69,GOOG-H
2000-04-05,27.5,27.53,27.03,27.31,1434400.0,27.31,GOOG-H
2000-04-06,27.03,27.75,27.03,27.59,918900.0,27.59,GOOG-H
2000-04-07,27.31,27.75,27.31,27.41,694700.0,27.41,GOOG-H
2000-04-10,27.03,27.59,27.0,27.44,909300.0,27.44,GOOG-H
2000-04-11,27.5,28.84,27.38,28.59,1443100.0,28.59,GOOG-H
2000-04-12,28.56,29.06,27.94,28.25,1388200.0,28.25,GOOG-H
2000-04-13,28.56,28.94,28.06,28.5,1115700.0,28.5,GOOG-H
2000-04-14,28.13,28.5,26.88,27.16,894200.0,27.16,GOOG-H
2000-04-17,27.28,27.56,26.13,27.53,1637700.0,27.53,GOOG-H
2000-04-18,27.44,27.5,26.25,27.06,980000.0,27.06,GOOG-H
2000-04-19,26.69,26.69,25.56,26.16,1294700.0,26.16,GOOG-H
2000-04-20,26.19,26.41,25.78,26.28,1300000.0,26.28,GOOG-H
2000-04-24,25.94,27.09,25.91,26.94,1731900.0,26.94,GOOG-H
2000-04-25,27.13,28.41,26.78,28.09,1000700.0,28.09,GOOG-H
2000-04-26,27.69,27.72,27.0,27.22,644800.0,27.22,GOOG-H
2000-04-27,26.72,27.69,26.72,27.31,954800.0,27.31,GOOG-H
2000-04-28,27.31,27.72,27.13,27.44,1327700.0,27.44,GOOG-H
2000-05-01,27.31,28.03,27.28,27.88,889200.0,27.88,GOOG-H
