DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,30.18,30.43,29.82,29.96,1224200.0,29.96,GOOG-H
2000-01-04,29.64,29.89,28.82,29.0,2348533.0,29.0,GOOG-H
2000-01-05,29.18,29.46,29.03,29.07,1493800.0,29.07,GOOG-H
2000-01-06,29.18,29.64,28.82,29.1,1458266.0,29.1,GOOG-H
2000-01-07,30.03,31.46,29.89,31.29,2747000.0,31.29,GOOG-H
2000-01-10,31.32,31.57,30.32,30.68,1476666.0,30.68,GOOG-H
2000-01-11,30.03,30.61,29.61,29.86,1265866.0,29.86,GOOG-H
2000-01-12,30.0,31.18,30.0,30.71,1539533.0,30.71,GOOG-H
2000-01-13,31.11,31.11,30.25,30.36,1244733.0,30.36,GOOG-H
2000-01-14,30.07,30.28,29.25,29.61,2321933.0,29.61,GOOG-H
2000-01-18,30.75,31.46,30.39,31.07,2227733.0,31.07,GOOG-H
2000-01-19,31.18,31.39,30.21,30.57,1387866.0,30.57,GOOG-H
2000-01-20,30.61,30.71,29.46,29.68,2096733.0,29.68,GOOG-H
2000-01-21,29.71,29.71,28.82,28.85,2667200.0,28.85,GOOG-H
2000-01-24,29.71,29.71,28.82,29.25,1821800.0,29.25,GOOG-H
2000-01-25,29.28,29.28,28.1,28.68,1676800.0,28.68,GOOG-H
2000-01-26,28.1,28.18,27.07,27.46,4075133.0,27.46,GOOG-H
2000-01-27,28.1,28.6,27.89,28.6,3117400.0,28.6,GOOG-H
2000-01-28,28.1,28.53,27.92,27.92,1913533.0,27.92,GOOG-H
2000-01-31,28.5,28.68,28.1,28.46,1506933.0,28.46,GOOG-H
2000-02-01,28.39,28.6,27.75,28.5,2222466.0,28.5,GOOG-H
2000-02-02,28.57,28.93,27.42,27.71,3058066.0,27.71,GOOG-H
2000-02-03,27.39,27.96,27.35,27.89,1830333.0,27.89,GOOG-H
2000-02-04,27.96,28.0,27.46,27.5,1198400.0,27.5,GOOG-H
2000-02-07,27.96,28.0,27.0,27.32,935400.0,27.32,GOOG-H
2000-02-08,27.67,27.96,27.46,27.5,1283000.0,27.5,GOOG-H
2000-02-09,27.25,27.32,27.0,27.0,1219800.0,27.0,GOOG-H
2000-02-10,26.96,26.96,26.35,26.89,1563666.0,26.89,GOOG-H
2000-02-11,26.96,26.96,25.85,26.28,1352266.0,26.28,GOOG-H
2000-02-14,26.32,26.96,25.74,26.96,1632200.0,26.96,GOOG-H
2000-02-15,26.82,26.82,25.99,26.39,1349733.0,26.39,GOOG-H
2000-02-16,26.14,26.57,25.89,26.39,1725933.0,26.39,GOOG-H
2000-02-17,26.21,26.67,25.89,26.24,1906733.0,26.24,GOOG-H
2000-02-18,25.85,25.99,24.81,24.81,2600533.0,24.81,GOOG-H
2000-02-22,25.39,25.67,24.89,25.21,2137600.0,25.21,GOOG-H
2000-02-23,25.28,25.31,24.6,24.6,1031066.0,24.6,GOOG-H
2000-02-24,24.6,24.74,23.56,23.99,2526666.0,23.99,GOOG-H
2000-02-25,24.6,25.31,24.17,24.56,2425533.0,24.56,GOOG-H
2000-02-28,25.31,25.31,24.35,24.42,2832200.0,24.42,GOOG-H
2000-02-29,24.74,24.78,23.56,23.81,2798866.0,23.81,GOOG-H
2000-03-01,23.96,24.13,23.53,24.03,2842133.0,24.03,GOOG-H
2000-03-02,23.74,23.92,23.53,23.6,1426133.0,23.6,GOOG-H
2000-03-03,23.67,24.67,23.63,24.42,2428266.0,24.42,GOOG-H
2000-03-06,24.53,24.92,23.74,23.99,1963466.0,23.99,GOOG-H
2000-03-07,24.03,24.24,23.24,23.53,2028066.0,23.53,GOOG-H
2000-03-08,23.53,24.35,23.17,24.35,2403933.0,24.35,GOOG-H
2000-03-09,24.06,24.13,23.35,23.81,1649333.0,23.81,GOOG-H
2000-03-10,23.35,23.92,23.24,23.49,1744733.0,23.49,GOOG-H
2000-03-13,23.21,24.39,23.17,24.35,1641600.0,24.35,GOOG-H
2000-03-14,23.21,23.99,23.13,23.21,1701466.0,23.21,GOOG-H
2000-03-15,23.46,25.17,23.38,25.14,4350866.0,25.14,GOOG-H
2000-03-16,25.17,25.39,24.49,25.06,4621133.0,25.06,GOOG-H
2000-03-17,25.42,26.32,25.31,25.49,3602666.0,25.49,GOOG-H
2000-03-20,25.21,25.31,24.67,24.92,2378266.0,24.92,GOOG-H
2000-03-21,24.64,26.28,24.49,26.21,2750466.0,26.21,GOOG-H
2000-03-22,25.6,25.89,24.74,25.14,2799466.0,25.14,GOOG-H
2000-03-23,25.06,25.89,24.99,25.46,3943733.0,25.46,GOOG-H
2000-03-24,25.17,25.89,25.17,25.56,1848733.0,25.56,GOOG-H
2000-03-27,25.28,25.78,25.14,25.28,1627800.0,25.28,GOOG-H
2000-03-28,25.1,25.6,24.99,25.46,1492666.0,25.46,GOOG-H
2000-03-29,25.56,26.17,25.56,25.64,1565733.0,25.64,GOOG-H
2000-03-30,26.17,26.64,25.85,26.57,2803466.0,26.57,GOOG-H
2000-03-31,26.17,26.71,26.17,26.28,1390000.0,26.28,GOOG-H
2000-04-03,26.74,27.46,26.74,26.89,2784266.0,26.89,GOOG-H
2000-04-04,27.89,28.5,26.71,28.07,3999200.0,28.07,GOOG-H
2000-04-05,27.85,28.39,27.46,28.21,2306000.0,28.21,GOOG-H
2000-04-06,28.39,28.78,28.39,28.6,2259400.0,28.6,GOOG-H
2000-04-07,27.85,28.78,27.6,27.67,1276400.0,27.67,GOOG-H
2000-04-10,28.46,29.75,28.32,29.32,2858400.0,29.32,GOOG-H
2000-04-11,29.0,30.18,29.0,29.71,2414733.0,29.71,GOOG-H
2000-04-12,30.28,31.25,30.21,30.71,2852000.0,30.71,GOOG-H
2000-04-13,30.75,31.43,30.25,31.11,2776000.0,31.11,GOOG-H
2000-04-14,31.46,32.04,28.75,29.32,5548533.0,29.32,GOOG-H
2000-04-17,30.82,32.72,30.75,32.61,6168266.0,32.61,GOOG-H
2000-04-18,32.04,32.07,31.11,31.46,2559266.0,31.46,GOOG-H
2000-04-19,31.43,31.71,31.14,31.43,1642400.0,31.43,GOOG-H
2000-04-20,31.43,31.54,31.14,31.5,2260533.0,31.5,GOOG-H
2000-04-24,31.29,31.82,31.18,31.64,1654200.0,31.64,GOOG-H
2000-04-25,31.68,31.71,31.29,31.43,1755400.0,31.43,GOOG-H
2000-04-26,31.68,31.75,30.96,31.46,2196000.0,31.46,GOOG-H
2000-04-27,31.36,31.46,30.68,31.46,2541400.0,31.46,GOOG-H
2000-04-28,31.46,31.46,31.07,31.29,1558533.0,31.29,GOOG-H
2000-05-01,31.43,31.43,30.61,30.93,1462000.0,30.93,GOOG-H
2000-05-02,30.61,30.86,30.25,30.46,1363866.0,30.46,GOOG-H
2000-05-03,30.43,30.43,29.86,30.21,1837933.0,30.21,GOOG-H
2000-05-04,30.18,30.46,29.96,30.11,1941933.0,30.11,GOOG-H
2000-05-05,30.03,30.89,30.03,30.25,1808466.0,30.25,GOOG-H
2000-05-08,30.18,30.82,30.14,30.64,1499000.0,30.64,GOOG-H
2000-05-09,30.64,30.86,30.28,30.28,2523333.0,30.28,GOOG-H
2000-05-10,30.46,30.71,29.5,29.86,2110933.0,29.86,GOOG-H
2000-05-11,30.46,30.68,29.5,30.28,969400.0,30.28,GOOG-H
2000-05-12,30.46,30.68,30.39,30.53,1287933.0,30.53,GOOG-H
