DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2012-05-18,42.0,45.0,38.0,38.23,580587712.0,38.23,GOOG-H
2012-05-21,36.66,36.66,33.0,34.03,168309824.0,34.03,GOOG-H
2012-05-22,32.59,33.59,30.94,31.0,102053824.0,31.0,GOOG-H
2012-05-23,31.38,32.5,31.36,32.0,73721136.0,32.0,GOOG-H
2012-05-24,32.98,33.21,31.77,33.03,50275880.0,33.03,GOOG-H
2012-05-25,32.91,32.95,31.11,31.91,37189632.0,31.91,GOOG-H
2012-05-29,31.48,31.69,28.65,28.84,78060800.0,28.84,GOOG-H
2012-05-30,28.7,29.55,27.86,28.19,57267868.0,28.19,GOOG-H
2012-05-31,28.54,29.67,26.83,29.6,111639200.0,29.6,GOOG-H
2012-06-01,28.93,29.15,27.39,27.72,41855500.0,27.72,GOOG-H
2012-06-04,27.2,27.65,26.44,26.9,35230288.0,26.9,GOOG-H
2012-06-05,26.7,27.76,25.75,25.87,42473264.0,25.87,GOOG-H
2012-06-06,26.07,27.17,25.52,26.81,61487020.0,26.81,GOOG-H
2012-06-07,27.0,27.35,26.15,26.31,26167756.0,26.31,GOOG-H
2012-06-08,26.58,27.76,26.44,27.1,38033420.0,27.1,GOOG-H
2012-06-11,27.16,28.07,26.84,27.01,28225888.0,27.01,GOOG-H
2012-06-12,27.48,27.77,26.96,27.4,15822414.0,27.4,GOOG-H
2012-06-13,27.66,28.1,27.1,27.27,17118672.0,27.27,GOOG-H
2012-06-14,27.69,28.32,27.38,28.29,16854124.0,28.29,GOOG-H
2012-06-15,28.5,30.1,28.35,30.01,43563740.0,30.01,GOOG-H
2012-06-18,29.96,32.08,29.41,31.41,42978208.0,31.41,GOOG-H
2012-06-19,31.5,32.18,30.7,31.91,30848912.0,31.91,GOOG-H
2012-06-20,31.92,31.93,31.15,31.6,15558921.0,31.6,GOOG-H
2012-06-21,31.67,32.5,31.51,31.84,21875228.0,31.84,GOOG-H
