DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,10.53,10.72,10.38,10.59,667700.0,10.59,GOOG-H
2000-01-04,10.53,10.72,9.97,10.0,714100.0,10.0,GOOG-H
2000-01-05,10.03,10.41,10.03,10.38,708300.0,10.38,GOOG-H
2000-01-06,10.38,10.41,9.91,10.06,1036500.0,10.06,GOOG-H
2000-01-07,9.94,10.25,9.66,10.06,1065300.0,10.06,GOOG-H
2000-01-10,9.94,10.25,9.84,9.88,444400.0,9.88,GOOG-H
2000-01-11,9.84,10.0,9.78,9.94,308200.0,9.94,GOOG-H
2000-01-12,9.88,9.91,9.56,9.78,857100.0,9.78,GOOG-H
2000-01-13,9.75,9.94,9.69,9.72,609200.0,9.72,GOOG-H
2000-01-14,9.66,9.72,9.38,9.5,824300.0,9.5,GOOG-H
2000-01-18,9.56,9.75,9.34,9.75,605100.0,9.75,GOOG-H
2000-01-19,9.75,10.0,9.69,10.0,498400.0,10.0,GOOG-H
2000-01-20,10.0,10.0,9.53,9.53,449900.0,9.53,GOOG-H
2000-01-21,9.63,9.63,9.19,9.19,536400.0,9.19,GOOG-H
2000-01-24,9.19,9.22,8.75,8.94,273300.0,8.94,GOOG-H
2000-01-25,8.88,8.88,8.5,8.81,227600.0,8.81,GOOG-H
2000-01-26,8.75,8.75,8.16,8.34,398700.0,8.34,GOOG-H
2000-01-27,8.41,8.91,8.38,8.91,494800.0,8.91,GOOG-H
2000-01-28,8.56,9.09,8.56,8.72,825000.0,8.72,GOOG-H
2000-01-31,8.66,8.84,8.66,8.72,415700.0,8.72,GOOG-H
2000-02-01,8.59,8.91,8.59,8.72,323400.0,8.72,GOOG-H
2000-02-02,8.72,8.84,8.69,8.72,703200.0,8.72,GOOG-H
2000-02-03,8.72,8.81,8.69,8.75,682700.0,8.75,GOOG-H
2000-02-04,8.72,9.38,8.69,9.28,687600.0,9.28,GOOG-H
2000-02-07,9.44,9.44,9.19,9.19,715000.0,9.19,GOOG-H
2000-02-08,9.19,9.22,8.97,9.0,427000.0,9.0,GOOG-H
2000-02-09,9.0,9.16,8.91,8.97,680900.0,8.97,GOOG-H
2000-02-10,9.0,9.03,8.91,8.91,720000.0,8.91,GOOG-H
2000-02-11,8.84,9.09,8.84,9.09,387600.0,9.09,GOOG-H
2000-02-14,9.03,9.25,9.03,9.19,305800.0,9.19,GOOG-H
2000-02-15,9.22,9.31,9.13,9.16,689900.0,9.16,GOOG-H
2000-02-16,9.13,9.19,8.97,9.0,281800.0,9.0,GOOG-H
2000-02-17,9.0,9.28,8.94,9.06,375700.0,9.06,GOOG-H
2000-02-18,9.03,9.19,8.97,9.0,541600.0,9.0,GOOG-H
2000-02-22,8.94,9.13,8.75,8.88,378900.0,8.88,GOOG-H
2000-02-23,8.94,9.13,8.31,8.34,326700.0,8.34,GOOG-H
2000-02-24,8.34,8.34,7.5,7.5,630100.0,7.5,GOOG-H
2000-02-25,7.44,7.44,7.0,7.03,666700.0,7.03,GOOG-H
2000-02-28,7.19,7.41,6.81,6.88,798000.0,6.88,GOOG-H
2000-02-29,6.91,7.13,6.81,6.88,443200.0,6.88,GOOG-H
2000-03-01,6.91,7.13,6.63,7.03,503900.0,7.03,GOOG-H
2000-03-02,7.03,7.03,6.5,6.66,406800.0,6.66,GOOG-H
2000-03-03,6.97,6.97,6.5,6.84,487700.0,6.84,GOOG-H
2000-03-06,6.81,6.94,6.63,6.66,398800.0,6.66,GOOG-H
2000-03-07,6.81,6.97,6.63,6.97,429800.0,6.97,GOOG-H
2000-03-08,6.81,6.91,6.66,6.78,529400.0,6.78,GOOG-H
2000-03-09,6.72,6.84,6.53,6.63,276400.0,6.63,GOOG-H
2000-03-10,6.78,6.78,6.53,6.53,208800.0,6.53,GOOG-H
2000-03-13,6.59,6.66,6.44,6.47,189400.0,6.47,GOOG-H
2000-03-14,6.41,6.5,6.28,6.34,199600.0,6.34,GOOG-H
2000-03-15,6.31,6.69,6.31,6.66,539100.0,6.66,GOOG-H
2000-03-16,6.63,7.0,6.63,6.97,996000.0,6.97,GOOG-H
2000-03-17,6.91,6.91,6.53,6.59,581400.0,6.59,GOOG-H
2000-03-20,6.78,6.94,6.72,6.88,299300.0,6.88,GOOG-H
2000-03-21,6.94,7.0,6.75,6.94,396600.0,6.94,GOOG-H
2000-03-22,6.94,7.0,6.25,6.31,428700.0,6.31,GOOG-H
2000-03-23,6.34,6.88,6.34,6.88,506000.0,6.88,GOOG-H
2000-03-24,6.81,6.97,6.72,6.78,460800.0,6.78,GOOG-H
2000-03-27,6.75,6.78,6.53,6.75,250900.0,6.75,GOOG-H
2000-03-28,6.75,6.88,6.75,6.84,339100.0,6.84,GOOG-H
2000-03-29,6.78,6.78,6.13,6.19,754600.0,6.19,GOOG-H
2000-03-30,6.31,6.41,6.03,6.09,501800.0,6.09,GOOG-H
2000-03-31,6.03,6.34,6.03,6.03,801600.0,6.03,GOOG-H
2000-04-03,6.0,6.19,5.97,6.06,347700.0,6.06,GOOG-H
2000-04-04,6.03,6.38,5.81,6.0,648400.0,6.0,GOOG-H
2000-04-05,5.94,6.13,5.88,6.13,386500.0,6.13,GOOG-H
2000-04-06,6.0,6.28,6.0,6.09,254800.0,6.09,GOOG-H
2000-04-07,6.0,6.0,5.25,5.47,576100.0,5.47,GOOG-H
2000-04-10,5.78,5.78,5.25,5.78,526700.0,5.78,GOOG-H
2000-04-11,5.81,5.81,5.22,5.34,634300.0,5.34,GOOG-H
2000-04-12,5.72,5.72,5.22,5.56,631800.0,5.56,GOOG-H
2000-04-13,5.56,5.78,5.56,5.69,441000.0,5.69,GOOG-H
2000-04-14,5.69,5.75,5.41,5.47,343400.0,5.47,GOOG-H
2000-04-17,5.47,5.47,5.19,5.28,640300.0,5.28,GOOG-H
2000-04-18,5.03,5.19,5.0,5.03,380500.0,5.03,GOOG-H
2000-04-19,5.19,5.19,4.91,5.19,831000.0,5.19,GOOG-H
2000-04-20,5.16,5.28,5.0,5.0,534900.0,5.0,GOOG-H
2000-04-24,5.06,5.16,4.97,5.0,373400.0,5.0,GOOG-H
2000-04-25,5.06,5.16,4.97,5.03,209100.0,5.03,GOOG-H
2000-04-26,5.06,5.09,4.88,4.91,244000.0,4.91,GOOG-H
2000-04-27,4.97,4.97,4.88,4.97,197700.0,4.97,GOOG-H
2000-04-28,4.97,4.97,4.78,4.81,473000.0,4.81,GOOG-H
2000-05-01,4.75,4.97,4.69,4.97,308100.0,4.97,GOOG-H
2000-05-02,4.91,5.41,4.91,5.34,771000.0,5.34,GOOG-H
2000-05-03,5.34,5.34,5.06,5.22,612000.0,5.22,GOOG-H
2000-05-04,5.31,6.25,5.25,6.19,1498400.0,6.19,GOOG-H
2000-05-05,6.06,6.09,5.72,5.72,1116100.0,5.72,GOOG-H
2000-05-08,5.72,5.75,5.56,5.63,573600.0,5.63,GOOG-H
2000-05-09,5.63,5.72,5.5,5.53,533500.0,5.53,GOOG-H
2000-05-10,5.56,5.56,5.28,5.41,498600.0,5.41,GOOG-H
2000-05-11,5.38,5.41,5.09,5.19,893200.0,5.19,GOOG-H
2000-05-12,5.25,5.47,5.19,5.31,760500.0,5.31,GOOG-H
2000-05-15,5.28,5.5,5.28,5.44,473400.0,5.44,GOOG-H
2000-05-16,5.44,6.0,5.44,5.75,1062300.0,5.75,GOOG-H
2000-05-17,5.75,5.75,5.59,5.66,555000.0,5.66,GOOG-H
2000-05-18,5.59,5.59,5.47,5.5,471100.0,5.5,GOOG-H
2000-05-19,5.59,5.59,5.31,5.31,332200.0,5.31,GOOG-H
2000-05-22,5.38,5.41,5.06,5.09,405800.0,5.09,GOOG-H
2000-05-23,5.38,5.41,5.0,5.03,431200.0,5.03,GOOG-H
2000-05-24,5.38,5.41,4.97,4.97,258600.0,4.97,GOOG-H
2000-05-25,4.94,5.09,4.94,4.94,292100.0,4.94,GOOG-H
2000-05-26,4.97,4.97,4.63,4.69,386100.0,4.69,GOOG-H
2000-05-30,4.84,4.84,4.63,4.78,399100.0,4.78,GOOG-H
2000-05-31,4.59,4.81,4.53,4.59,457300.0,4.59,GOOG-H
2000-06-01,4.56,4.66,4.47,4.5,414900.0,4.5,GOOG-H
2000-06-02,4.59,4.75,4.59,4.69,595500.0,4.69,GOOG-H
2000-06-05,4.56,4.78,4.56,4.75,423300.0,4.75,GOOG-H
2000-06-06,4.69,4.88,4.69,4.69,422800.0,4.69,GOOG-H
2000-06-07,4.69,4.72,4.56,4.59,318300.0,4.59,GOOG-H
2000-06-08,4.56,4.56,4.47,4.53,364100.0,4.53,GOOG-H
2000-06-09,4.53,4.53,4.44,4.44,239300.0,4.44,GOOG-H
2000-06-12,4.53,4.53,4.41,4.41,298500.0,4.41,GOOG-H
2000-06-13,4.53,4.66,4.47,4.47,363700.0,4.47,GOOG-H
2000-06-14,4.53,4.72,4.47,4.69,582400.0,4.69,GOOG-H
2000-06-15,4.53,4.81,4.53,4.69,773800.0,4.69,GOOG-H
2000-06-16,4.53,4.94,4.53,4.84,2018400.0,4.84,GOOG-H
2000-06-19,4.84,4.91,4.78,4.84,820400.0,4.84,GOOG-H
2000-06-20,4.53,4.91,4.53,4.53,668900.0,4.53,GOOG-H
2000-06-21,4.59,4.72,4.5,4.72,530000.0,4.72,GOOG-H
2000-06-22,4.69,4.91,4.69,4.81,500700.0,4.81,GOOG-H
2000-06-23,4.84,4.91,4.81,4.84,361300.0,4.84,GOOG-H
2000-06-26,4.84,4.88,4.72,4.81,529500.0,4.81,GOOG-H
2000-06-27,4.81,4.91,4.78,4.81,777600.0,4.81,GOOG-H
2000-06-28,4.75,4.94,4.66,4.66,858100.0,4.66,GOOG-H
