DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,26.06,26.06,24.5,24.53,962800.0,24.53,GOOG-H
2000-01-04,25.5,25.91,25.19,25.56,1324800.0,25.56,GOOG-H
2000-01-05,26.0,28.19,25.94,27.31,1737400.0,27.31,GOOG-H
2000-01-06,27.32,27.78,27.0,27.41,1448500.0,27.41,GOOG-H
2000-01-07,27.63,28.78,27.59,28.13,1136700.0,28.13,GOOG-H
2000-01-10,28.32,28.63,27.63,27.88,1218800.0,27.88,GOOG-H
2000-01-11,27.75,27.78,27.31,27.5,399200.0,27.5,GOOG-H
2000-01-12,27.19,27.28,26.38,26.5,1352400.0,26.5,GOOG-H
2000-01-13,27.0,27.19,26.06,26.5,616500.0,26.5,GOOG-H
2000-01-14,26.75,27.19,26.03,26.69,635100.0,26.69,GOOG-H
2000-01-18,25.82,26.59,25.75,25.91,923000.0,25.91,GOOG-H
2000-01-19,25.63,25.81,25.06,25.38,674400.0,25.38,GOOG-H
2000-01-20,25.25,25.28,24.34,24.59,913100.0,24.59,GOOG-H
2000-01-21,24.82,24.88,24.63,24.69,870200.0,24.69,GOOG-H
2000-01-24,24.82,25.0,22.88,23.22,840800.0,23.22,GOOG-H
2000-01-25,23.22,23.69,22.69,23.53,1225000.0,23.53,GOOG-H
2000-01-26,23.66,23.91,22.84,23.47,1419300.0,23.47,GOOG-H
2000-01-27,24.47,24.5,23.41,23.5,1052700.0,23.5,GOOG-H
2000-01-28,23.63,24.0,23.31,23.63,1147300.0,23.63,GOOG-H
2000-01-31,23.57,23.66,23.0,23.56,399100.0,23.56,GOOG-H
2000-02-01,23.63,24.22,23.22,24.16,566800.0,24.16,GOOG-H
2000-02-02,24.57,24.72,23.66,23.75,759900.0,23.75,GOOG-H
2000-02-03,24.13,24.19,22.94,23.13,885500.0,23.13,GOOG-H
2000-02-04,23.32,23.63,22.75,22.78,1124000.0,22.78,GOOG-H
2000-02-07,23.03,23.06,21.13,22.25,2692900.0,22.25,GOOG-H
2000-02-08,22.07,22.31,21.34,21.5,2071700.0,21.5,GOOG-H
2000-02-09,21.25,21.25,20.47,20.88,1656900.0,20.88,GOOG-H
2000-02-10,20.91,21.63,20.84,21.09,603600.0,21.09,GOOG-H
2000-02-11,21.07,21.09,20.72,20.72,777000.0,20.72,GOOG-H
2000-02-14,21.0,21.03,20.5,20.78,571500.0,20.78,GOOG-H
2000-02-15,20.78,21.0,20.44,20.66,1165000.0,20.66,GOOG-H
2000-02-16,21.0,21.16,20.63,20.78,650100.0,20.78,GOOG-H
