DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,51.0,51.23,49.73,50.0,5526905.0,50.0,GOOG-H
2000-01-04,49.08,49.29,48.04,48.06,5695906.0,48.06,GOOG-H
2000-01-05,47.92,49.0,47.52,47.81,7301607.0,47.81,GOOG-H
2000-01-06,47.71,48.98,47.54,48.46,5597006.0,48.46,GOOG-H
2000-01-07,49.33,50.6,49.04,50.44,5594706.0,50.44,GOOG-H
2000-01-10,50.9,51.35,50.37,50.37,4074604.0,50.37,GOOG-H
2000-01-11,50.33,50.9,50.23,50.54,4137304.0,50.54,GOOG-H
2000-01-12,50.35,51.08,50.19,50.81,5307405.0,50.81,GOOG-H
2000-01-13,51.04,51.65,51.0,51.25,4225104.0,51.25,GOOG-H
2000-01-14,51.12,51.54,49.85,50.27,5216805.0,50.27,GOOG-H
2000-01-18,49.79,49.81,49.0,49.23,4880505.0,49.23,GOOG-H
2000-01-19,48.83,50.31,48.75,49.42,4223104.0,49.42,GOOG-H
2000-01-20,49.69,49.9,47.56,48.65,8392009.0,48.65,GOOG-H
2000-01-21,49.31,49.42,47.98,48.06,7049907.0,48.06,GOOG-H
2000-01-24,48.23,48.23,45.48,46.02,5759206.0,46.02,GOOG-H
2000-01-25,46.02,46.79,45.67,46.17,6839807.0,46.17,GOOG-H
2000-01-26,46.83,47.4,46.29,47.19,4341204.0,47.19,GOOG-H
2000-01-27,47.19,47.25,45.69,47.23,5351705.0,47.23,GOOG-H
2000-01-28,46.77,46.83,44.54,44.67,7722608.0,44.67,GOOG-H
2000-01-31,44.67,45.29,44.35,44.46,5850106.0,44.46,GOOG-H
2000-02-01,44.77,45.65,44.73,45.33,7656608.0,45.33,GOOG-H
2000-02-02,45.71,45.87,44.69,44.69,5827806.0,44.69,GOOG-H
2000-02-03,45.31,46.6,45.1,46.44,5281305.0,46.44,GOOG-H
2000-02-04,47.0,47.71,46.83,47.19,4966405.0,47.19,GOOG-H
2000-02-07,47.23,47.25,45.29,45.29,4936405.0,45.29,GOOG-H
