DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,17.69,17.75,17.03,17.22,946100.0,17.22,GOOG-H
2000-01-04,17.22,17.22,16.78,16.91,736300.0,16.91,GOOG-H
2000-01-05,16.59,17.09,16.59,16.81,917700.0,16.81,GOOG-H
2000-01-06,16.59,17.0,16.47,16.78,1487500.0,16.78,GOOG-H
2000-01-07,17.22,17.28,16.75,16.81,844400.0,16.81,GOOG-H
2000-01-10,16.81,16.91,16.44,16.47,639300.0,16.47,GOOG-H
2000-01-11,16.5,16.75,16.47,16.69,733500.0,16.69,GOOG-H
2000-01-12,16.63,16.97,16.59,16.66,488500.0,16.66,GOOG-H
2000-01-13,16.5,16.94,16.44,16.72,612000.0,16.72,GOOG-H
2000-01-14,16.47,16.69,16.22,16.34,684500.0,16.34,GOOG-H
2000-01-18,16.0,16.63,15.91,16.5,738100.0,16.5,GOOG-H
2000-01-19,16.44,16.66,16.16,16.34,1218900.0,16.34,GOOG-H
2000-01-20,16.19,16.28,15.94,16.06,862600.0,16.06,GOOG-H
2000-01-21,16.09,16.09,15.66,15.75,1054600.0,15.75,GOOG-H
2000-01-24,16.0,16.0,15.5,15.59,822500.0,15.59,GOOG-H
2000-01-25,15.38,15.66,15.09,15.09,532900.0,15.09,GOOG-H
2000-01-26,15.72,15.78,15.28,15.5,576200.0,15.5,GOOG-H
2000-01-27,15.63,15.78,15.16,15.38,553100.0,15.38,GOOG-H
2000-01-28,15.44,15.47,15.0,15.06,688200.0,15.06,GOOG-H
2000-01-31,15.06,15.66,15.06,15.59,567700.0,15.59,GOOG-H
2000-02-01,15.78,15.81,15.0,15.13,1158100.0,15.13,GOOG-H
2000-02-02,15.13,15.41,14.75,15.06,1202600.0,15.06,GOOG-H
2000-02-03,15.06,15.34,14.69,15.31,840300.0,15.31,GOOG-H
2000-02-04,15.25,15.28,15.0,15.19,577200.0,15.19,GOOG-H
2000-02-07,15.25,15.56,14.75,15.28,1120900.0,15.28,GOOG-H
2000-02-08,15.47,15.5,15.28,15.41,1095300.0,15.41,GOOG-H
2000-02-09,15.41,15.47,15.22,15.25,1442200.0,15.25,GOOG-H
2000-02-10,15.19,15.25,14.88,15.03,1758500.0,15.03,GOOG-H
2000-02-11,15.22,15.34,15.06,15.22,872900.0,15.22,GOOG-H
2000-02-14,15.25,15.5,15.25,15.5,975300.0,15.5,GOOG-H
2000-02-15,15.63,16.22,15.63,16.22,1161100.0,16.22,GOOG-H
2000-02-16,16.03,16.13,15.78,16.03,813600.0,16.03,GOOG-H
2000-02-17,16.06,16.28,15.88,16.19,937900.0,16.19,GOOG-H
2000-02-18,16.06,16.19,15.84,16.03,682300.0,16.03,GOOG-H
2000-02-22,16.03,16.78,16.03,16.72,1048800.0,16.72,GOOG-H
2000-02-23,16.5,16.91,16.5,16.72,1286000.0,16.72,GOOG-H
2000-02-24,16.69,16.69,16.34,16.56,1403800.0,16.56,GOOG-H
2000-02-25,16.47,16.56,16.34,16.5,1545600.0,16.5,GOOG-H
2000-02-28,16.47,16.56,16.41,16.47,1001800.0,16.47,GOOG-H
2000-02-29,16.47,16.63,16.38,16.47,1214900.0,16.47,GOOG-H
2000-03-01,16.53,16.91,16.47,16.59,1196400.0,16.59,GOOG-H
2000-03-02,16.44,16.44,15.75,16.09,1403800.0,16.09,GOOG-H
2000-03-03,16.09,16.38,15.94,16.19,723200.0,16.19,GOOG-H
2000-03-06,16.38,16.38,15.78,15.97,1093000.0,15.97,GOOG-H
2000-03-07,16.0,16.0,15.28,15.5,1799800.0,15.5,GOOG-H
2000-03-08,15.38,15.84,15.19,15.69,1687700.0,15.69,GOOG-H
2000-03-09,15.63,15.94,15.53,15.78,1392100.0,15.78,GOOG-H
