DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,43.04,43.31,39.62,40.6,1328301.0,40.6,GOOG-H
2000-01-04,39.83,39.83,36.35,36.71,1661201.0,36.71,GOOG-H
2000-01-05,36.67,36.87,34.42,35.83,2780002.0,35.83,GOOG-H
2000-01-06,35.58,36.08,34.83,35.69,2253102.0,35.69,GOOG-H
2000-01-07,35.58,38.79,35.29,38.54,3462603.0,38.54,GOOG-H
2000-01-10,40.25,40.29,38.71,39.33,1636301.0,39.33,GOOG-H
2000-01-11,38.0,38.1,35.71,35.81,1773101.0,35.81,GOOG-H
2000-01-12,36.17,36.21,34.35,34.58,1781601.0,34.58,GOOG-H
2000-01-13,35.0,39.17,34.5,38.92,2429302.0,38.92,GOOG-H
2000-01-14,39.33,39.42,37.12,37.4,1754901.0,37.4,GOOG-H
2000-01-18,37.4,43.04,37.37,41.87,3197503.0,41.87,GOOG-H
2000-01-19,41.9,46.67,41.54,44.5,3832904.0,44.5,GOOG-H
2000-01-20,46.33,52.62,46.19,51.92,5402605.0,51.92,GOOG-H
2000-01-21,52.31,54.42,50.0,53.98,4028004.0,53.98,GOOG-H
2000-01-24,52.31,58.5,51.33,51.67,3797904.0,51.67,GOOG-H
2000-01-25,51.67,51.67,49.17,50.46,3460603.0,50.46,GOOG-H
2000-01-26,51.5,53.17,51.17,52.0,6026506.0,52.0,GOOG-H
2000-01-27,52.92,58.83,52.83,53.94,4373604.0,53.94,GOOG-H
2000-01-28,53.83,55.5,48.5,49.0,3501903.0,49.0,GOOG-H
2000-01-31,49.02,52.83,48.25,51.42,2709602.0,51.42,GOOG-H
2000-02-01,50.0,50.58,48.35,49.08,2869903.0,49.08,GOOG-H
2000-02-02,49.12,49.92,48.75,49.42,2064202.0,49.42,GOOG-H
2000-02-03,50.0,51.42,48.42,51.42,2725902.0,51.42,GOOG-H
2000-02-04,52.67,55.92,52.33,55.0,2760502.0,55.0,GOOG-H
2000-02-07,54.87,54.87,52.67,54.87,1778101.0,54.87,GOOG-H
2000-02-08,56.0,56.75,53.58,56.6,1935102.0,56.6,GOOG-H
2000-02-09,56.54,56.54,54.4,54.67,1367101.0,54.67,GOOG-H
2000-02-10,54.67,59.92,53.5,57.17,2485902.0,57.17,GOOG-H
2000-02-11,57.29,57.62,54.58,55.19,1358601.0,55.19,GOOG-H
2000-02-14,55.33,60.0,54.21,59.33,3432703.0,59.33,GOOG-H
2000-02-15,59.62,60.29,58.33,58.58,2981303.0,58.58,GOOG-H
2000-02-16,58.58,59.75,57.77,59.08,1894902.0,59.08,GOOG-H
2000-02-17,59.75,64.17,59.54,63.69,2931903.0,63.69,GOOG-H
2000-02-18,63.69,64.98,63.33,64.44,2290902.0,64.44,GOOG-H
2000-02-22,65.33,65.83,61.58,63.33,2017902.0,63.33,GOOG-H
2000-02-23,63.67,63.75,62.12,62.75,1675801.0,62.75,GOOG-H
2000-02-24,63.21,64.42,62.25,64.15,1752501.0,64.15,GOOG-H
2000-02-25,64.42,64.5,61.58,62.62,1263601.0,62.62,GOOG-H
2000-02-28,62.37,62.54,56.17,60.08,3024203.0,60.08,GOOG-H
2000-02-29,60.5,62.83,56.25,62.67,2650802.0,62.67,GOOG-H
2000-03-01,63.33,67.67,63.31,67.67,2758202.0,67.67,GOOG-H
2000-03-02,66.67,69.08,64.0,68.6,2537802.0,68.6,GOOG-H
2000-03-03,66.75,69.31,66.75,68.42,2635002.0,68.42,GOOG-H
2000-03-06,69.08,70.81,67.29,69.87,2041502.0,69.87,GOOG-H
2000-03-07,69.08,72.25,64.83,65.6,2821403.0,65.6,GOOG-H
2000-03-08,66.96,68.04,60.75,62.96,3404303.0,62.96,GOOG-H
2000-03-09,66.29,66.29,61.48,64.96,2160202.0,64.96,GOOG-H
2000-03-10,65.25,67.0,62.33,63.83,1835501.0,63.83,GOOG-H
2000-03-13,61.0,62.5,60.33,61.71,2120602.0,61.71,GOOG-H
2000-03-14,62.0,62.52,59.58,59.92,1623001.0,59.92,GOOG-H
2000-03-15,58.77,58.77,56.0,56.75,3385703.0,56.75,GOOG-H
2000-03-16,60.33,60.33,55.67,58.12,4374904.0,58.12,GOOG-H
2000-03-17,59.92,65.17,59.52,63.04,4287504.0,63.04,GOOG-H
