DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2004-08-19,50.0,52.03,47.98,50.16,22353092.0,50.16,GOOG-H
2004-08-20,50.74,54.54,50.25,54.15,11429498.0,54.15,GOOG-H
2004-08-23,55.42,56.74,54.52,54.7,9140244.0,54.7,GOOG-H
2004-08-24,55.65,55.8,51.78,52.43,7632224.0,52.43,GOOG-H
2004-08-25,52.48,54.0,51.94,53.0,4599110.0,53.0,GOOG-H
2004-08-26,52.55,53.97,52.33,53.95,3551168.0,53.95,GOOG-H
2004-08-27,54.05,54.31,52.84,53.07,3108977.0,53.07,GOOG-H
2004-08-30,52.74,52.74,51.0,51.0,2601620.0,51.0,GOOG-H
2004-08-31,51.85,51.85,51.08,51.18,2463427.0,51.18,GOOG-H
2004-09-01,51.37,51.48,49.83,50.12,4574578.0,50.12,GOOG-H
2004-09-02,49.51,51.18,49.47,50.75,7567013.0,50.75,GOOG-H
2004-09-03,50.13,50.87,49.66,50.0,2578705.0,50.0,GOOG-H
2004-09-07,50.4,51.0,49.8,50.79,2927073.0,50.79,GOOG-H
2004-09-08,50.73,51.51,50.25,51.15,2495226.0,51.15,GOOG-H
2004-09-09,51.02,51.35,50.5,51.15,2032853.0,51.15,GOOG-H
2004-09-10,50.8,53.28,50.65,52.66,4353885.0,52.66,GOOG-H
2004-09-13,53.44,54.2,53.23,53.75,3927322.0,53.75,GOOG-H
2004-09-14,53.84,56.0,53.39,55.74,5488357.0,55.74,GOOG-H
2004-09-15,55.5,57.11,55.1,56.0,5362452.0,56.0,GOOG-H
2004-09-16,56.05,57.9,55.82,56.98,4637786.0,56.98,GOOG-H
2004-09-17,57.0,58.74,56.77,58.74,4748627.0,58.74,GOOG-H
2004-09-20,58.46,60.8,58.38,59.68,5332562.0,59.68,GOOG-H
2004-09-21,59.5,60.21,58.75,58.92,3617903.0,58.92,GOOG-H
2004-09-22,58.4,59.83,58.4,59.19,3794393.0,59.19,GOOG-H
2004-09-23,59.08,61.31,58.51,60.41,4273082.0,60.41,GOOG-H
2004-09-24,61.34,62.05,59.88,59.91,4566707.0,59.91,GOOG-H
