DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,20.22,20.22,18.91,19.16,1481300.0,19.16,GOOG-H
2000-01-04,18.78,19.47,18.78,19.25,2297300.0,19.25,GOOG-H
2000-01-05,18.78,18.84,18.28,18.41,3126200.0,18.41,GOOG-H
2000-01-06,18.41,19.25,18.41,19.22,4071700.0,19.22,GOOG-H
2000-01-07,19.28,20.44,19.28,20.44,3893400.0,20.44,GOOG-H
2000-01-10,20.66,20.66,19.16,19.53,2407700.0,19.53,GOOG-H
2000-01-11,20.25,20.25,19.44,20.25,2497700.0,20.25,GOOG-H
2000-01-12,20.0,20.25,18.84,18.88,2603400.0,18.88,GOOG-H
2000-01-13,19.16,19.63,19.0,19.13,3519300.0,19.13,GOOG-H
2000-01-14,19.25,19.59,18.75,19.22,3200600.0,19.22,GOOG-H
2000-01-18,19.16,21.13,19.13,20.84,5638100.0,20.84,GOOG-H
2000-01-19,20.84,21.25,20.53,21.09,3411500.0,21.09,GOOG-H
2000-01-20,21.09,21.09,20.41,20.41,4486600.0,20.41,GOOG-H
2000-01-21,20.75,21.72,20.66,21.19,2877400.0,21.19,GOOG-H
2000-01-24,21.19,21.25,19.66,19.94,1835100.0,19.94,GOOG-H
2000-01-25,19.97,20.72,19.59,20.0,2480500.0,20.0,GOOG-H
2000-01-26,19.97,20.94,19.25,19.34,3621600.0,19.34,GOOG-H
2000-01-27,19.5,19.97,18.34,18.66,2954800.0,18.66,GOOG-H
2000-01-28,18.38,18.81,17.66,17.91,3138900.0,17.91,GOOG-H
2000-01-31,18.22,18.22,17.75,18.0,2705000.0,18.0,GOOG-H
2000-02-01,18.16,18.44,17.78,18.19,2745500.0,18.19,GOOG-H
2000-02-02,18.63,18.69,18.13,18.56,2772000.0,18.56,GOOG-H
2000-02-03,18.63,18.75,18.28,18.69,1928300.0,18.69,GOOG-H
2000-02-04,18.44,18.66,18.16,18.41,1906000.0,18.41,GOOG-H
2000-02-07,18.41,19.13,18.31,18.69,1721000.0,18.69,GOOG-H
2000-02-08,19.19,19.19,18.22,18.47,1945600.0,18.47,GOOG-H
2000-02-09,18.69,18.69,17.34,17.34,2588600.0,17.34,GOOG-H
2000-02-10,18.0,18.0,17.47,17.72,3354500.0,17.72,GOOG-H
2000-02-11,17.94,17.94,17.0,17.22,2581500.0,17.22,GOOG-H
2000-02-14,17.31,18.13,16.84,17.97,2661700.0,17.97,GOOG-H
2000-02-15,18.0,19.28,18.0,19.25,3396900.0,19.25,GOOG-H
2000-02-16,19.5,19.88,19.31,19.53,3378100.0,19.53,GOOG-H
2000-02-17,19.25,19.69,18.59,19.16,2485700.0,19.16,GOOG-H
2000-02-18,19.0,19.19,18.28,18.34,1590800.0,18.34,GOOG-H
2000-02-22,18.31,18.38,17.63,17.78,1608000.0,17.78,GOOG-H
2000-02-23,17.63,17.84,17.16,17.16,1498400.0,17.16,GOOG-H
2000-02-24,17.25,18.28,17.19,17.72,2787400.0,17.72,GOOG-H
2000-02-25,17.72,17.78,16.72,16.84,3192500.0,16.84,GOOG-H
2000-02-28,17.66,17.66,16.78,17.5,2302900.0,17.5,GOOG-H
2000-02-29,17.69,19.22,17.59,19.09,3912100.0,19.09,GOOG-H
2000-03-01,19.09,20.59,18.78,20.47,4222800.0,20.47,GOOG-H
2000-03-02,20.41,21.31,20.22,21.09,4226600.0,21.09,GOOG-H
2000-03-03,21.09,21.09,19.63,20.59,3483200.0,20.59,GOOG-H
2000-03-06,21.06,21.06,20.56,20.63,2549700.0,20.63,GOOG-H
2000-03-07,20.66,22.75,20.66,22.25,5498000.0,22.25,GOOG-H
2000-03-08,21.25,21.25,19.88,19.91,5449900.0,19.91,GOOG-H
2000-03-09,20.44,20.44,19.44,20.06,2704400.0,20.06,GOOG-H
2000-03-10,19.75,20.91,19.66,19.78,1982400.0,19.78,GOOG-H
2000-03-13,19.19,20.72,19.13,19.44,2307500.0,19.44,GOOG-H
2000-03-14,19.28,19.38,18.56,18.84,1889000.0,18.84,GOOG-H
2000-03-15,19.22,19.5,18.5,18.94,1520700.0,18.94,GOOG-H
2000-03-16,19.22,20.0,18.38,19.69,2758600.0,19.69,GOOG-H
2000-03-17,19.28,19.47,18.91,19.19,3124500.0,19.19,GOOG-H
2000-03-20,18.78,18.78,17.94,18.09,3334100.0,18.09,GOOG-H
2000-03-21,18.44,18.91,18.31,18.63,4531700.0,18.63,GOOG-H
2000-03-22,18.91,19.69,18.91,19.34,5503500.0,19.34,GOOG-H
2000-03-23,19.19,19.38,18.63,18.94,3867100.0,18.94,GOOG-H
2000-03-24,19.47,20.06,19.13,19.44,3146400.0,19.44,GOOG-H
2000-03-27,19.0,19.84,18.63,19.06,3058300.0,19.06,GOOG-H
2000-03-28,18.78,19.66,18.5,18.84,4676800.0,18.84,GOOG-H
2000-03-29,18.63,20.22,18.38,20.13,4179600.0,20.13,GOOG-H
2000-03-30,20.06,20.81,19.78,20.28,3886700.0,20.28,GOOG-H
2000-03-31,20.06,20.72,19.84,20.5,2162100.0,20.5,GOOG-H
2000-04-03,20.31,21.25,20.31,21.25,2144500.0,21.25,GOOG-H
2000-04-04,20.06,21.63,19.56,20.0,3738900.0,20.0,GOOG-H
2000-04-05,20.09,20.13,18.88,19.0,2343100.0,19.0,GOOG-H
2000-04-06,19.88,19.88,18.88,19.59,2913400.0,19.59,GOOG-H
2000-04-07,20.09,20.66,19.66,19.81,4222100.0,19.81,GOOG-H
2000-04-10,20.09,20.66,19.09,19.16,2886500.0,19.16,GOOG-H
2000-04-11,20.09,20.19,19.16,20.09,2158800.0,20.09,GOOG-H
2000-04-12,20.09,20.63,19.94,20.41,1916500.0,20.41,GOOG-H
2000-04-13,20.28,20.72,19.63,19.66,2053800.0,19.66,GOOG-H
2000-04-14,19.78,20.5,19.22,19.44,2272200.0,19.44,GOOG-H
2000-04-17,19.44,19.44,18.75,19.22,2581100.0,19.22,GOOG-H
2000-04-18,19.78,21.0,19.19,20.84,3308100.0,20.84,GOOG-H
2000-04-19,20.03,21.25,20.03,20.72,2340400.0,20.72,GOOG-H
2000-04-20,21.19,21.25,20.56,21.19,2232800.0,21.19,GOOG-H
