DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,68.63,69.19,63.81,65.19,8686800.0,65.19,GOOG-H
2000-01-04,61.75,64.31,61.25,61.75,6355300.0,61.75,GOOG-H
2000-01-05,61.75,63.0,61.0,61.44,4865900.0,61.44,GOOG-H
2000-01-06,61.63,62.0,60.13,60.13,5095700.0,60.13,GOOG-H
2000-01-07,61.75,62.81,60.75,62.81,4785800.0,62.81,GOOG-H
2000-01-10,62.0,63.56,62.0,63.19,4095800.0,63.19,GOOG-H
2000-01-11,63.44,63.56,61.25,61.56,3250800.0,61.56,GOOG-H
2000-01-12,61.56,61.94,60.69,61.06,3618600.0,61.06,GOOG-H
2000-01-13,62.13,62.44,61.5,62.13,3119400.0,62.13,GOOG-H
2000-01-14,62.38,62.38,61.25,61.94,3685800.0,61.94,GOOG-H
2000-01-18,62.38,62.38,60.31,60.31,3999700.0,60.31,GOOG-H
2000-01-19,60.31,62.44,60.31,61.69,4005900.0,61.69,GOOG-H
2000-01-20,61.56,61.75,59.88,60.81,5553400.0,60.81,GOOG-H
2000-01-21,61.5,61.5,59.44,59.75,5471200.0,59.75,GOOG-H
2000-01-24,59.75,59.88,56.69,57.13,4090100.0,57.13,GOOG-H
2000-01-25,57.0,57.13,54.88,55.88,7664700.0,55.88,GOOG-H
2000-01-26,55.94,57.69,55.13,57.38,6697400.0,57.38,GOOG-H
2000-01-27,57.88,57.88,56.19,57.88,5676600.0,57.88,GOOG-H
2000-01-28,57.0,57.44,55.5,55.63,6335000.0,55.63,GOOG-H
2000-01-31,56.5,56.63,55.06,56.63,4850400.0,56.63,GOOG-H
2000-02-01,56.94,61.31,56.94,60.88,8744500.0,60.88,GOOG-H
2000-02-02,61.0,61.0,59.63,60.0,4811800.0,60.0,GOOG-H
2000-02-03,60.5,60.63,59.0,60.13,3077400.0,60.13,GOOG-H
2000-02-04,61.0,61.5,60.31,60.88,3041700.0,60.88,GOOG-H
2000-02-07,61.0,61.0,59.13,59.5,3118800.0,59.5,GOOG-H
2000-02-08,59.75,61.44,59.69,61.38,3447800.0,61.38,GOOG-H
2000-02-09,61.31,61.31,58.88,59.0,3804300.0,59.0,GOOG-H
2000-02-10,59.0,59.94,58.38,59.56,2676300.0,59.56,GOOG-H
2000-02-11,59.5,60.5,59.19,59.94,3711200.0,59.94,GOOG-H
2000-02-14,59.5,60.44,59.44,60.31,2498800.0,60.31,GOOG-H
2000-02-15,60.06,60.19,59.06,59.56,2825700.0,59.56,GOOG-H
2000-02-16,58.75,59.25,55.75,56.44,5079800.0,56.44,GOOG-H
2000-02-17,57.44,57.44,53.56,54.63,7784400.0,54.63,GOOG-H
2000-02-18,54.56,55.81,52.88,54.06,8094500.0,54.06,GOOG-H
2000-02-22,54.13,55.56,53.13,53.81,6069700.0,53.81,GOOG-H
2000-02-23,54.19,54.88,52.88,54.81,4935600.0,54.81,GOOG-H
2000-02-24,54.19,55.06,52.63,53.06,6078900.0,53.06,GOOG-H
2000-02-25,53.5,54.19,52.75,53.06,4916800.0,53.06,GOOG-H
2000-02-28,53.75,56.88,52.94,56.44,6141600.0,56.44,GOOG-H
2000-02-29,57.44,58.44,56.81,58.0,7119300.0,58.0,GOOG-H
2000-03-01,57.44,58.25,54.31,55.63,4783400.0,55.63,GOOG-H
