DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,57.36,58.17,56.18,56.37,1928000.0,56.37,GOOG-H
2000-01-04,56.06,56.12,53.82,55.37,2490400.0,55.37,GOOG-H
2000-01-05,55.43,55.87,54.38,54.81,2733800.0,54.81,GOOG-H
2000-01-06,55.19,55.81,54.19,55.68,2269200.0,55.68,GOOG-H
2000-01-07,56.43,59.04,56.12,58.67,3560200.0,58.67,GOOG-H
2000-01-10,59.1,59.54,58.17,58.98,1269400.0,58.98,GOOG-H
2000-01-11,59.6,59.85,58.42,58.54,2411500.0,58.54,GOOG-H
2000-01-12,59.04,59.41,58.73,59.1,1920000.0,59.1,GOOG-H
2000-01-13,59.6,59.66,59.47,59.54,1326500.0,59.54,GOOG-H
2000-01-14,59.66,60.1,58.91,59.54,2214000.0,59.54,GOOG-H
2000-01-18,59.41,60.03,57.36,59.16,2492100.0,59.16,GOOG-H
2000-01-19,58.67,58.67,52.2,53.45,10727900.0,53.45,GOOG-H
2000-01-20,54.19,54.94,52.26,52.58,4692700.0,52.58,GOOG-H
2000-01-21,52.7,52.82,49.72,50.34,4622500.0,50.34,GOOG-H
2000-01-24,52.7,52.82,46.73,47.29,4846900.0,47.29,GOOG-H
2000-01-25,45.99,47.67,44.75,47.42,4541600.0,47.42,GOOG-H
2000-01-26,47.67,48.23,45.86,47.36,4365500.0,47.36,GOOG-H
2000-01-27,46.86,47.91,44.37,45.99,4414000.0,45.99,GOOG-H
2000-01-28,44.87,46.36,44.56,44.93,2387800.0,44.93,GOOG-H
2000-01-31,44.93,47.73,44.93,47.73,3051800.0,47.73,GOOG-H
2000-02-01,47.73,48.1,46.86,47.29,2559700.0,47.29,GOOG-H
2000-02-02,47.73,48.72,47.48,47.98,2322300.0,47.98,GOOG-H
2000-02-03,47.98,48.66,46.49,47.23,1959400.0,47.23,GOOG-H
2000-02-04,47.36,47.36,45.99,46.92,3237200.0,46.92,GOOG-H
2000-02-07,46.73,46.73,44.25,44.75,2143700.0,44.75,GOOG-H
2000-02-08,45.74,46.67,44.68,44.99,3885100.0,44.99,GOOG-H
2000-02-09,44.25,44.43,42.26,43.5,3170500.0,43.5,GOOG-H
2000-02-10,44.19,44.19,42.14,43.01,2777800.0,43.01,GOOG-H
2000-02-11,44.19,44.19,42.01,42.01,2925400.0,42.01,GOOG-H
2000-02-14,43.01,44.62,42.45,43.25,2818900.0,43.25,GOOG-H
2000-02-15,42.63,46.36,42.51,46.05,3074000.0,46.05,GOOG-H
2000-02-16,45.86,45.86,44.37,44.75,2492100.0,44.75,GOOG-H
2000-02-17,45.99,46.61,45.24,46.17,2166700.0,46.17,GOOG-H
2000-02-18,45.93,46.11,43.69,43.75,2224800.0,43.75,GOOG-H
2000-02-22,43.81,46.98,42.76,46.98,2234300.0,46.98,GOOG-H
2000-02-23,46.98,46.98,43.69,44.93,1857500.0,44.93,GOOG-H
2000-02-24,44.93,45.8,42.32,45.49,2771700.0,45.49,GOOG-H
2000-02-25,45.49,46.49,44.12,46.3,2228500.0,46.3,GOOG-H
2000-02-28,46.36,48.47,45.24,47.73,2644300.0,47.73,GOOG-H
2000-02-29,48.72,49.59,47.54,47.85,2664000.0,47.85,GOOG-H
2000-03-01,48.72,49.41,46.3,47.85,2009500.0,47.85,GOOG-H
2000-03-02,47.85,47.85,44.75,45.62,1933400.0,45.62,GOOG-H
2000-03-03,45.86,48.1,44.5,45.24,2650000.0,45.24,GOOG-H
2000-03-06,45.49,45.49,43.75,44.06,1958900.0,44.06,GOOG-H
2000-03-07,43.25,43.25,41.58,41.58,2664400.0,41.58,GOOG-H
2000-03-08,41.45,42.88,40.08,42.45,3738200.0,42.45,GOOG-H
2000-03-09,44.12,44.75,42.57,43.94,3837000.0,43.94,GOOG-H
2000-03-10,45.24,45.37,43.75,45.12,2935700.0,45.12,GOOG-H
2000-03-13,44.62,45.18,43.63,44.37,1844000.0,44.37,GOOG-H
