DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,25.86,26.96,25.72,26.66,6744800.0,26.66,GOOG-H
2000-01-04,25.88,26.22,24.47,24.64,6268800.0,24.64,GOOG-H
2000-01-05,24.33,25.08,23.67,24.49,8529400.0,24.49,GOOG-H
2000-01-06,24.26,24.47,23.28,23.82,5705000.0,23.82,GOOG-H
2000-01-07,23.82,24.06,22.94,23.69,6353600.0,23.69,GOOG-H
2000-01-10,23.82,25.37,22.94,25.2,5896000.0,25.2,GOOG-H
2000-01-11,24.43,25.37,24.43,24.6,3812800.0,24.6,GOOG-H
2000-01-12,24.43,25.68,24.1,25.51,5505600.0,25.51,GOOG-H
2000-01-13,25.65,25.71,24.91,25.59,4578400.0,25.59,GOOG-H
2000-01-14,26.09,26.09,25.2,25.54,4641200.0,25.54,GOOG-H
2000-01-18,25.2,26.45,25.2,25.72,5213000.0,25.72,GOOG-H
2000-01-19,25.91,26.32,25.28,26.32,5648000.0,26.32,GOOG-H
2000-01-20,26.62,26.7,25.64,26.36,5387600.0,26.36,GOOG-H
2000-01-21,26.45,26.45,25.64,25.75,5246400.0,25.75,GOOG-H
2000-01-24,25.94,26.03,25.37,25.88,3571000.0,25.88,GOOG-H
2000-01-25,25.59,25.71,24.49,25.64,6205000.0,25.64,GOOG-H
2000-01-26,25.2,25.25,24.29,24.69,5672800.0,24.69,GOOG-H
2000-01-27,25.41,25.86,24.29,24.63,8060800.0,24.63,GOOG-H
2000-01-28,24.57,25.4,24.35,24.73,5326800.0,24.73,GOOG-H
2000-01-31,24.73,24.93,23.58,24.57,4854000.0,24.57,GOOG-H
2000-02-01,24.83,24.83,23.61,24.02,5925800.0,24.02,GOOG-H
2000-02-02,24.33,25.58,24.16,25.1,6083600.0,25.1,GOOG-H
2000-02-03,24.33,26.45,24.16,25.78,6806200.0,25.78,GOOG-H
2000-02-04,25.99,27.16,25.99,26.79,7410200.0,26.79,GOOG-H
2000-02-07,27.0,29.28,26.6,29.17,10257400.0,29.17,GOOG-H
2000-02-08,28.89,28.89,27.81,28.19,7659600.0,28.19,GOOG-H
2000-02-09,27.92,28.83,27.77,28.38,7370200.0,28.38,GOOG-H
2000-02-10,28.38,28.6,27.95,28.57,4221600.0,28.57,GOOG-H
2000-02-11,28.6,28.6,27.24,27.52,4878600.0,27.52,GOOG-H
2000-02-14,27.52,28.21,27.37,28.21,5682400.0,28.21,GOOG-H
2000-02-15,28.23,28.67,27.68,28.4,6889000.0,28.4,GOOG-H
2000-02-16,28.66,29.55,28.55,29.3,8124800.0,29.3,GOOG-H
2000-02-17,28.72,28.87,28.72,28.87,8890600.0,28.87,GOOG-H
2000-02-18,29.06,29.6,29.06,29.34,9830600.0,29.34,GOOG-H
2000-02-22,29.06,29.6,28.39,29.23,6802000.0,29.23,GOOG-H
2000-02-23,28.83,29.74,28.46,29.55,6014000.0,29.55,GOOG-H
2000-02-24,29.31,29.54,28.83,29.4,6788600.0,29.4,GOOG-H
2000-02-25,29.28,29.34,28.28,28.29,6715400.0,28.29,GOOG-H
2000-02-28,28.94,29.34,27.79,29.21,8683400.0,29.21,GOOG-H
2000-02-29,28.99,31.38,28.99,30.53,10776400.0,30.53,GOOG-H
2000-03-01,30.02,31.27,30.02,30.33,6888600.0,30.33,GOOG-H
2000-03-02,30.65,30.65,30.02,30.38,4390400.0,30.38,GOOG-H
2000-03-03,30.53,31.75,30.43,31.43,7563600.0,31.43,GOOG-H
2000-03-06,31.1,34.5,31.06,33.04,10540600.0,33.04,GOOG-H
2000-03-07,34.28,34.28,32.35,32.55,10613600.0,32.55,GOOG-H
2000-03-08,31.98,32.73,31.71,31.98,7227000.0,31.98,GOOG-H
2000-03-09,34.28,34.92,32.09,34.48,8032200.0,34.48,GOOG-H
2000-03-10,33.31,35.3,33.14,33.31,5617400.0,33.31,GOOG-H
2000-03-13,32.23,33.91,32.23,33.26,5780200.0,33.26,GOOG-H
2000-03-14,33.48,34.05,32.42,32.63,3977000.0,32.63,GOOG-H
2000-03-15,31.89,31.98,29.51,29.71,9110200.0,29.71,GOOG-H
2000-03-16,29.62,30.13,28.26,30.13,11937000.0,30.13,GOOG-H
2000-03-17,29.62,32.46,28.26,31.33,12219400.0,31.33,GOOG-H
2000-03-20,29.62,33.31,28.26,32.69,6325200.0,32.69,GOOG-H
2000-03-21,32.35,32.62,31.51,32.21,6356800.0,32.21,GOOG-H
2000-03-22,32.49,33.33,32.23,33.18,4439800.0,33.18,GOOG-H
2000-03-23,32.57,33.94,32.38,33.43,4836400.0,33.43,GOOG-H
2000-03-24,33.16,33.97,31.79,32.32,4573000.0,32.32,GOOG-H
