DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,71.44,71.5,70.31,70.69,56200.0,70.69,GOOG-H
2000-01-04,67.06,67.94,66.0,66.38,73400.0,66.38,GOOG-H
2000-01-05,64.75,66.31,63.75,66.0,103300.0,66.0,GOOG-H
2000-01-06,64.0,64.38,63.19,64.13,94000.0,64.13,GOOG-H
2000-01-07,63.75,65.94,63.5,65.94,104600.0,65.94,GOOG-H
2000-01-10,63.75,66.0,63.75,66.0,55600.0,66.0,GOOG-H
2000-01-11,62.75,63.5,62.5,62.63,92400.0,62.63,GOOG-H
2000-01-12,63.0,63.38,62.75,63.38,42300.0,63.38,GOOG-H
2000-01-13,63.0,64.63,62.94,64.25,42800.0,64.25,GOOG-H
2000-01-14,63.0,64.0,62.75,64.0,58300.0,64.0,GOOG-H
2000-01-18,63.0,63.31,61.63,63.19,108500.0,63.19,GOOG-H
2000-01-19,59.38,61.88,59.25,61.06,203900.0,61.06,GOOG-H
2000-01-20,59.25,59.25,57.81,57.88,203600.0,57.88,GOOG-H
2000-01-21,60.19,60.75,59.13,59.13,126000.0,59.13,GOOG-H
2000-01-24,60.63,60.69,59.13,59.63,64900.0,59.63,GOOG-H
2000-01-25,59.0,59.0,58.56,59.0,59300.0,59.0,GOOG-H
2000-01-26,59.0,60.13,59.0,60.13,50700.0,60.13,GOOG-H
2000-01-27,62.06,62.56,61.56,61.63,72600.0,61.63,GOOG-H
2000-01-28,59.81,60.75,59.81,60.0,53300.0,60.0,GOOG-H
2000-01-31,59.25,61.13,58.75,61.13,47600.0,61.13,GOOG-H
2000-02-01,59.0,59.75,58.56,59.75,60900.0,59.75,GOOG-H
2000-02-02,58.5,59.19,58.25,59.0,66300.0,59.0,GOOG-H
2000-02-03,59.75,60.0,59.38,59.81,28000.0,59.81,GOOG-H
2000-02-04,57.25,57.69,56.5,57.5,204600.0,57.5,GOOG-H
2000-02-07,56.88,57.5,56.13,57.13,99200.0,57.13,GOOG-H
2000-02-08,57.56,59.19,57.56,58.94,92300.0,58.94,GOOG-H
2000-02-09,59.0,59.0,58.13,58.5,86500.0,58.5,GOOG-H
2000-02-10,58.63,58.69,57.5,58.0,84600.0,58.0,GOOG-H
2000-02-11,56.25,56.25,55.88,55.88,146800.0,55.88,GOOG-H
2000-02-14,56.0,56.0,55.81,55.88,76600.0,55.88,GOOG-H
2000-02-15,56.38,57.25,56.38,57.25,115500.0,57.25,GOOG-H
2000-02-16,56.38,60.81,56.38,60.31,97700.0,60.31,GOOG-H
2000-02-17,62.0,62.0,60.63,60.69,39400.0,60.69,GOOG-H
2000-02-18,62.0,62.0,57.94,58.0,50700.0,58.0,GOOG-H
2000-02-22,57.0,57.38,55.88,57.38,119200.0,57.38,GOOG-H
2000-02-23,57.0,58.25,56.75,58.0,48100.0,58.0,GOOG-H
2000-02-24,58.38,59.0,57.75,57.88,52800.0,57.88,GOOG-H
2000-02-25,57.63,58.38,57.5,57.75,49200.0,57.75,GOOG-H
2000-02-28,57.63,58.94,56.69,58.81,74500.0,58.81,GOOG-H
2000-02-29,58.56,59.75,58.44,59.5,87000.0,59.5,GOOG-H
2000-03-01,57.19,58.31,57.19,58.19,72000.0,58.19,GOOG-H
2000-03-02,56.75,58.38,56.75,58.38,103200.0,58.38,GOOG-H
2000-03-03,56.13,57.38,56.13,57.0,88500.0,57.0,GOOG-H
2000-03-06,55.38,56.25,55.38,55.88,246800.0,55.88,GOOG-H
2000-03-07,55.88,55.88,55.38,55.38,173300.0,55.38,GOOG-H
2000-03-08,56.75,57.38,56.44,57.38,120500.0,57.38,GOOG-H
2000-03-09,56.75,57.5,55.75,57.38,58800.0,57.38,GOOG-H
2000-03-10,56.75,60.0,56.5,60.0,154600.0,60.0,GOOG-H
2000-03-13,56.0,57.63,55.75,57.38,118400.0,57.38,GOOG-H
2000-03-14,57.0,57.38,56.13,56.56,130900.0,56.56,GOOG-H
2000-03-15,55.13,57.88,55.06,57.5,97500.0,57.5,GOOG-H
2000-03-16,57.19,58.88,57.19,58.63,177900.0,58.63,GOOG-H
2000-03-17,57.19,59.0,56.5,56.5,88200.0,56.5,GOOG-H
2000-03-20,57.19,58.81,56.5,57.88,138100.0,57.88,GOOG-H
2000-03-21,57.63,58.69,57.63,58.69,106300.0,58.69,GOOG-H
2000-03-22,58.81,59.44,58.81,59.31,55300.0,59.31,GOOG-H
2000-03-23,59.0,59.69,58.88,59.69,98800.0,59.69,GOOG-H
2000-03-24,61.0,62.38,61.0,61.0,121000.0,61.0,GOOG-H
2000-03-27,60.63,61.88,60.63,61.38,41700.0,61.38,GOOG-H
2000-03-28,60.0,61.5,60.0,60.69,24500.0,60.69,GOOG-H
2000-03-29,60.0,61.5,59.44,60.69,59700.0,60.69,GOOG-H
2000-03-30,59.88,59.88,58.63,58.94,42500.0,58.94,GOOG-H
2000-03-31,58.69,60.94,58.69,60.94,71200.0,60.94,GOOG-H
2000-04-03,57.88,57.88,56.31,57.44,266400.0,57.44,GOOG-H
2000-04-04,57.56,57.56,56.0,56.88,225300.0,56.88,GOOG-H
2000-04-05,57.75,57.75,56.06,57.5,63500.0,57.5,GOOG-H
2000-04-06,57.25,58.0,56.88,58.0,81700.0,58.0,GOOG-H
2000-04-07,56.88,57.88,56.5,57.5,64600.0,57.5,GOOG-H
2000-04-10,56.88,58.0,56.56,56.88,129100.0,56.88,GOOG-H
