DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,21.05,21.42,20.95,21.17,0.0,21.17,GOOG-Q
2018-09-26,21.14,21.29,21.02,21.02,0.0,21.02,GOOG-Q
2018-10-01,21.1,21.13,20.91,20.97,0.0,20.97,GOOG-Q
2018-10-02,20.92,20.98,20.71,20.71,0.0,20.71,GOOG-Q
2018-10-03,20.73,20.92,20.59,20.79,5471410.0,20.79,GOOG-Q
2018-10-04,20.78,20.78,20.16,20.26,0.0,20.26,GOOG-Q
2018-10-05,20.18,20.26,20.04,20.1,0.0,20.1,GOOG-Q
2018-10-08,20.17,20.49,20.08,20.45,4698616.0,20.45,GOOG-Q
2018-10-09,20.43,20.45,20.11,20.15,0.0,20.15,GOOG-Q
2018-10-10,20.12,20.22,19.77,19.79,0.0,19.79,GOOG-Q
2018-10-11,19.81,19.81,19.12,19.24,0.0,19.24,GOOG-Q
2018-10-12,19.39,19.54,19.04,19.18,0.0,19.18,GOOG-Q
2018-10-15,19.13,19.38,19.11,19.18,6661039.0,19.18,GOOG-Q
2018-10-16,19.27,19.51,19.16,19.43,4960301.0,19.43,GOOG-Q
2018-10-17,19.44,19.49,19.16,19.33,3645687.0,19.33,GOOG-Q
2018-10-18,19.3,19.33,19.0,19.07,0.0,19.07,GOOG-Q
2018-10-19,19.08,19.24,19.0,19.1,0.0,19.1,GOOG-Q
2018-10-22,19.15,19.15,18.79,18.87,0.0,18.87,GOOG-Q
2018-10-23,18.62,18.75,18.3,18.71,0.0,18.71,GOOG-Q
2018-10-26,18.55,18.66,18.11,18.43,8467760.0,18.43,GOOG-Q
2018-10-29,18.61,18.93,18.52,18.68,0.0,18.68,GOOG-Q
2018-10-31,19.05,19.42,18.77,19.11,9905355.0,19.11,GOOG-Q
2018-11-01,19.12,19.42,18.89,19.33,8604967.0,19.33,GOOG-Q
2018-11-02,19.72,19.89,18.6,18.68,7605693.0,18.68,GOOG-Q
