DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-05-04,33.01,34.25,31.03,31.3,23519208.0,31.3,GOOG-H
2007-05-07,31.5,31.56,29.3,29.75,4713413.0,29.75,GOOG-H
2007-05-08,29.41,30.0,28.29,28.5,2873945.0,28.5,GOOG-H
2007-05-09,28.21,29.28,27.76,28.32,2220638.0,28.32,GOOG-H
2007-05-10,28.46,28.55,27.45,27.69,1391553.0,27.69,GOOG-H
2007-05-11,27.85,28.4,27.21,27.23,1310720.0,27.23,GOOG-H
2007-05-14,27.18,28.6,27.18,27.65,2094830.0,27.65,GOOG-H
2007-05-15,27.75,28.38,27.42,27.98,1572986.0,27.98,GOOG-H
2007-05-16,28.01,28.44,27.7,28.27,1044392.0,28.27,GOOG-H
2007-05-17,28.54,28.55,27.2,27.32,714171.0,27.32,GOOG-H
2007-05-18,27.51,27.55,26.15,26.62,1645372.0,26.62,GOOG-H
2007-05-21,26.65,27.41,26.0,27.09,1071405.0,27.09,GOOG-H
2007-05-22,27.38,27.96,27.16,27.55,780017.0,27.55,GOOG-H
2007-05-23,27.79,27.99,26.95,27.12,531006.0,27.12,GOOG-H
2007-05-24,27.12,27.33,26.92,27.0,461772.0,27.0,GOOG-H
2007-05-25,27.15,27.44,27.12,27.29,271941.0,27.29,GOOG-H
2007-05-29,27.29,27.8,27.1,27.55,452213.0,27.55,GOOG-H
2007-05-30,26.13,26.13,24.54,25.91,3813781.0,25.91,GOOG-H
2007-05-31,25.8,26.25,25.25,25.5,842625.0,25.5,GOOG-H
2007-06-01,25.75,26.6,25.52,26.54,562998.0,26.54,GOOG-H
2007-06-04,26.58,26.6,25.96,26.1,596012.0,26.1,GOOG-H
2007-06-05,26.09,26.36,25.85,26.27,631020.0,26.27,GOOG-H
2007-06-06,26.29,27.0,26.0,26.96,498060.0,26.96,GOOG-H
2007-06-07,26.95,27.1,26.52,26.8,416564.0,26.8,GOOG-H
2007-06-08,26.6,27.78,26.6,27.74,944346.0,27.74,GOOG-H
2007-06-11,27.69,28.48,27.25,28.24,629721.0,28.24,GOOG-H
2007-06-12,28.13,28.7,28.0,28.7,686934.0,28.7,GOOG-H
2007-06-13,28.79,29.05,27.65,27.91,1499759.0,27.91,GOOG-H
2007-06-14,27.95,28.15,27.36,27.46,485453.0,27.46,GOOG-H
2007-06-15,27.35,27.95,27.25,27.95,690402.0,27.95,GOOG-H
2007-06-18,27.98,28.03,27.5,27.6,275308.0,27.6,GOOG-H
2007-06-19,27.48,27.69,27.02,27.32,534621.0,27.32,GOOG-H
2007-06-20,27.45,27.72,27.0,27.06,344261.0,27.06,GOOG-H
2007-06-21,27.0,27.0,26.38,26.85,453414.0,26.85,GOOG-H
2007-06-22,26.79,26.79,26.0,26.41,5875921.0,26.41,GOOG-H
2007-06-25,26.33,26.33,25.61,26.13,725981.0,26.13,GOOG-H
2007-06-26,26.2,26.96,25.92,26.88,809122.0,26.88,GOOG-H
2007-06-27,26.8,27.48,26.4,27.23,385547.0,27.23,GOOG-H
2007-06-28,27.16,27.32,26.82,27.22,269060.0,27.22,GOOG-H
2007-06-29,27.26,27.35,26.88,27.13,347511.0,27.13,GOOG-H
2007-07-02,27.21,27.3,26.96,27.26,434650.0,27.26,GOOG-H
2007-07-03,27.0,27.4,26.95,27.23,130050.0,27.23,GOOG-H
2007-07-05,27.06,27.18,26.27,27.11,581935.0,27.11,GOOG-H
2007-07-06,24.99,25.75,24.25,24.97,3168767.0,24.97,GOOG-H
2007-07-09,25.1,25.12,24.29,24.35,1196642.0,24.35,GOOG-H
2007-07-10,24.3,24.32,23.49,23.49,807911.0,23.49,GOOG-H
2007-07-11,23.55,24.07,23.35,23.71,472039.0,23.71,GOOG-H
2007-07-12,24.0,24.48,23.7,24.24,802606.0,24.24,GOOG-H
2007-07-13,24.14,24.33,23.75,23.98,243344.0,23.98,GOOG-H
2007-07-16,23.98,23.98,23.51,23.54,280508.0,23.54,GOOG-H
2007-07-17,23.5,23.74,23.3,23.41,223650.0,23.41,GOOG-H
2007-07-18,23.35,23.47,22.5,23.01,677326.0,23.01,GOOG-H
2007-07-19,23.02,23.44,22.35,22.81,692605.0,22.81,GOOG-H
2007-07-20,22.82,23.6,22.36,23.12,955122.0,23.12,GOOG-H
2007-07-23,23.25,23.46,22.89,23.07,308813.0,23.07,GOOG-H
2007-07-24,22.95,22.99,21.91,21.99,804058.0,21.99,GOOG-H
2007-07-25,22.08,22.33,21.56,21.8,822709.0,21.8,GOOG-H
2007-07-26,22.55,22.55,21.0,21.98,943752.0,21.98,GOOG-H
2007-07-27,21.62,23.5,21.5,22.93,670351.0,22.93,GOOG-H
2007-07-30,24.0,24.82,23.73,24.69,1102537.0,24.69,GOOG-H
