DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,112.44,115.81,112.0,115.56,7933600.0,115.56,GOOG-H
2000-01-04,112.44,114.44,110.88,112.06,6481000.0,112.06,GOOG-H
2000-01-05,112.94,119.63,112.19,118.25,9967000.0,118.25,GOOG-H
2000-01-06,118.0,118.94,114.81,117.25,6539200.0,117.25,GOOG-H
2000-01-07,117.25,117.94,110.63,113.5,9876300.0,113.5,GOOG-H
2000-01-10,117.25,119.38,115.5,118.44,6790900.0,118.44,GOOG-H
2000-01-11,117.88,121.06,116.63,118.88,6062800.0,118.88,GOOG-H
2000-01-12,119.63,122.0,118.5,119.88,5368100.0,119.88,GOOG-H
2000-01-13,119.94,121.0,116.06,118.25,7133800.0,118.25,GOOG-H
2000-01-14,119.94,123.31,117.56,119.69,8659900.0,119.69,GOOG-H
2000-01-18,119.69,119.75,115.56,115.56,5581600.0,115.56,GOOG-H
2000-01-19,115.56,116.63,112.69,115.5,6580400.0,115.5,GOOG-H
2000-01-20,121.88,124.75,120.31,121.88,14442700.0,121.88,GOOG-H
2000-01-21,121.25,123.0,119.94,121.25,6686800.0,121.25,GOOG-H
2000-01-24,122.38,122.44,116.56,118.06,5048800.0,118.06,GOOG-H
2000-01-25,116.75,119.5,116.0,119.5,5713300.0,119.5,GOOG-H
2000-01-26,119.06,119.88,116.63,116.88,3997600.0,116.88,GOOG-H
2000-01-27,118.0,118.44,111.69,113.56,7112600.0,113.56,GOOG-H
2000-01-28,112.75,114.19,110.06,111.56,5504300.0,111.56,GOOG-H
2000-01-31,111.38,112.81,109.63,112.19,4974500.0,112.19,GOOG-H
2000-02-01,112.38,113.44,109.13,109.63,5807800.0,109.63,GOOG-H
2000-02-02,112.0,115.81,110.38,113.56,6323700.0,113.56,GOOG-H
2000-02-03,115.0,117.5,114.06,117.25,5111400.0,117.25,GOOG-H
2000-02-04,118.19,118.44,114.88,115.63,4420700.0,115.63,GOOG-H
2000-02-07,116.0,116.88,113.19,114.13,4651300.0,114.13,GOOG-H
2000-02-08,116.94,119.0,116.19,119.0,4365100.0,119.0,GOOG-H
2000-02-09,119.0,119.75,117.13,117.13,4405500.0,117.13,GOOG-H
2000-02-10,117.69,119.13,117.0,119.13,3634900.0,119.13,GOOG-H
2000-02-11,119.06,119.44,114.56,115.31,4954500.0,115.31,GOOG-H
2000-02-14,116.0,116.25,114.5,116.0,3805400.0,116.0,GOOG-H
2000-02-15,115.88,117.44,113.88,116.88,4413500.0,116.88,GOOG-H
2000-02-16,116.5,117.31,115.25,115.63,3337300.0,115.63,GOOG-H
2000-02-17,116.5,118.88,115.88,117.0,4355900.0,117.0,GOOG-H
2000-02-18,115.25,115.94,112.31,112.63,6550300.0,112.63,GOOG-H
2000-02-22,112.0,113.44,109.25,111.06,6454200.0,111.06,GOOG-H
2000-02-23,110.5,110.5,108.5,108.75,6069000.0,108.75,GOOG-H
2000-02-24,108.81,111.0,108.19,110.88,7814800.0,110.88,GOOG-H
2000-02-25,109.88,109.88,105.0,105.63,8151300.0,105.63,GOOG-H
2000-02-28,104.63,106.38,103.94,104.44,6653600.0,104.44,GOOG-H
2000-02-29,105.56,105.56,100.94,102.25,10378200.0,102.25,GOOG-H
2000-03-01,102.0,105.25,100.06,100.44,8647600.0,100.44,GOOG-H
2000-03-02,100.5,105.44,99.56,103.38,8591000.0,103.38,GOOG-H
2000-03-03,107.25,110.0,106.13,109.0,8239300.0,109.0,GOOG-H
2000-03-06,109.94,110.88,101.0,103.06,8415000.0,103.06,GOOG-H
2000-03-07,106.0,107.0,101.69,102.75,8310500.0,102.75,GOOG-H
2000-03-08,106.0,106.88,102.75,105.88,6813600.0,105.88,GOOG-H
2000-03-09,106.5,107.63,105.06,107.63,5234800.0,107.63,GOOG-H
2000-03-10,107.63,109.0,105.06,105.06,5684600.0,105.06,GOOG-H
2000-03-13,104.0,109.0,102.75,107.69,6411500.0,107.69,GOOG-H
2000-03-14,107.75,109.94,107.5,109.63,4788600.0,109.63,GOOG-H
2000-03-15,107.75,108.13,106.13,106.5,4713700.0,106.5,GOOG-H
2000-03-16,109.0,109.81,107.88,109.06,5377000.0,109.06,GOOG-H
2000-03-17,109.0,111.69,107.69,109.94,7497800.0,109.94,GOOG-H
2000-03-20,110.0,113.38,110.0,112.81,5089900.0,112.81,GOOG-H
2000-03-21,112.81,114.69,111.94,113.44,5757000.0,113.44,GOOG-H
2000-03-22,114.5,115.38,114.0,114.38,4935800.0,114.38,GOOG-H
2000-03-23,115.88,115.88,111.63,114.94,5213700.0,114.94,GOOG-H
2000-03-24,115.38,122.0,115.06,121.0,9095700.0,121.0,GOOG-H
2000-03-27,125.0,127.5,124.63,126.56,8752300.0,126.56,GOOG-H
2000-03-28,125.0,127.0,122.25,122.25,6204100.0,122.25,GOOG-H
2000-03-29,122.44,122.44,118.56,119.25,5988200.0,119.25,GOOG-H
2000-03-30,118.88,123.0,118.75,122.5,7799500.0,122.5,GOOG-H
2000-03-31,122.63,123.75,117.06,118.0,6567700.0,118.0,GOOG-H
2000-04-03,122.38,122.38,119.44,121.88,6421500.0,121.88,GOOG-H
2000-04-04,122.63,126.75,115.13,121.0,13708200.0,121.0,GOOG-H
2000-04-05,120.5,125.88,119.75,123.44,7113700.0,123.44,GOOG-H
2000-04-06,123.5,128.0,122.63,123.13,7100900.0,123.13,GOOG-H
2000-04-07,123.5,125.69,121.5,123.06,4308700.0,123.06,GOOG-H
2000-04-10,123.5,125.31,121.56,122.19,4332600.0,122.19,GOOG-H
2000-04-11,121.63,121.63,117.81,119.0,6180900.0,119.0,GOOG-H
2000-04-12,121.63,121.63,111.88,112.44,7236700.0,112.44,GOOG-H
2000-04-13,112.5,113.94,110.0,110.5,6849900.0,110.5,GOOG-H
2000-04-14,109.81,112.63,102.88,104.0,9251400.0,104.0,GOOG-H
2000-04-17,103.88,112.25,103.5,112.25,7959400.0,112.25,GOOG-H
2000-04-18,115.13,115.13,110.06,115.13,6438700.0,115.13,GOOG-H
2000-04-19,109.75,109.75,103.0,104.5,11841200.0,104.5,GOOG-H
2000-04-20,105.0,105.25,102.06,104.0,8703000.0,104.0,GOOG-H
2000-04-24,102.0,107.13,101.25,106.0,6931300.0,106.0,GOOG-H
2000-04-25,102.0,112.75,101.25,112.13,8146900.0,112.13,GOOG-H
2000-04-26,112.5,113.75,109.25,110.81,5076900.0,110.81,GOOG-H
2000-04-27,109.5,113.13,108.81,110.44,5587700.0,110.44,GOOG-H
2000-04-28,112.0,112.38,110.13,111.63,4137400.0,111.63,GOOG-H
2000-05-01,112.5,113.19,110.5,111.94,3437700.0,111.94,GOOG-H
2000-05-02,112.5,113.63,110.75,111.38,3536500.0,111.38,GOOG-H
2000-05-03,111.13,111.13,106.63,108.0,4566100.0,108.0,GOOG-H
2000-05-04,109.13,109.13,107.25,107.63,3137500.0,107.63,GOOG-H
2000-05-05,106.63,109.56,106.63,107.94,4099900.0,107.94,GOOG-H
2000-05-08,108.06,110.0,107.63,110.0,4184100.0,110.0,GOOG-H
2000-05-09,110.5,110.63,108.25,109.0,4311500.0,109.0,GOOG-H
2000-05-10,105.5,105.69,102.13,103.81,8482400.0,103.81,GOOG-H
2000-05-11,104.0,107.5,103.19,104.06,6982100.0,104.06,GOOG-H
2000-05-12,104.0,105.75,103.25,104.5,4684800.0,104.5,GOOG-H
2000-05-15,104.0,104.88,102.0,104.19,5071100.0,104.19,GOOG-H
2000-05-16,105.13,109.13,105.0,109.0,6220900.0,109.0,GOOG-H
2000-05-17,107.5,108.88,106.13,107.5,4905100.0,107.5,GOOG-H
2000-05-18,106.13,107.31,104.75,106.06,3962600.0,106.06,GOOG-H
2000-05-19,106.06,107.44,105.0,106.81,4857800.0,106.81,GOOG-H
2000-05-22,106.0,109.25,103.5,109.0,5650100.0,109.0,GOOG-H
2000-05-23,109.0,110.0,107.19,107.38,5042800.0,107.38,GOOG-H
2000-05-24,106.5,110.0,104.19,109.63,7021500.0,109.63,GOOG-H
2000-05-25,110.75,111.44,106.38,106.56,3658400.0,106.56,GOOG-H
2000-05-26,105.5,107.19,104.56,106.94,3675500.0,106.94,GOOG-H
2000-05-30,107.75,110.94,107.69,110.94,2953700.0,110.94,GOOG-H
2000-05-31,110.5,110.75,107.19,107.31,3097700.0,107.31,GOOG-H
2000-06-01,107.56,108.88,105.56,106.0,4950200.0,106.0,GOOG-H
2000-06-02,109.0,109.75,107.75,108.44,4375700.0,108.44,GOOG-H
2000-06-05,108.44,114.19,108.44,112.44,5900600.0,112.44,GOOG-H
2000-06-06,112.25,114.63,111.25,112.38,4706600.0,112.38,GOOG-H
2000-06-07,112.5,121.75,111.5,120.31,9323500.0,120.31,GOOG-H
2000-06-08,119.38,122.31,117.5,119.75,7774300.0,119.75,GOOG-H
2000-06-09,119.88,120.75,118.88,119.38,3646200.0,119.38,GOOG-H
2000-06-12,119.13,120.44,118.88,118.88,3056100.0,118.88,GOOG-H
2000-06-13,118.88,119.94,116.75,119.69,3485800.0,119.69,GOOG-H
2000-06-14,118.88,120.0,115.5,116.0,4622800.0,116.0,GOOG-H
2000-06-15,118.88,119.0,115.88,116.81,4636600.0,116.81,GOOG-H
2000-06-16,116.31,117.69,113.25,113.25,7189300.0,113.25,GOOG-H
2000-06-19,113.5,120.0,113.25,120.0,5106700.0,120.0,GOOG-H
2000-06-20,115.38,120.69,115.38,116.31,5993900.0,116.31,GOOG-H
2000-06-21,115.56,115.94,113.5,114.5,5557300.0,114.5,GOOG-H
2000-06-22,114.13,114.31,111.25,111.44,4161100.0,111.44,GOOG-H
2000-06-23,113.63,113.63,110.81,111.75,2858300.0,111.75,GOOG-H
