DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1995-01-03,3831.41,3864.72,3805.5,3838.48,26302776.0,3838.48,GOOG-H
1995-01-04,3840.49,3876.83,3815.26,3857.65,32021336.0,3857.65,GOOG-H
1995-01-05,3849.91,3876.83,3825.35,3850.92,30982054.0,3850.92,GOOG-H
1995-01-06,3845.54,3902.4,3823.67,3867.41,30874818.0,3867.41,GOOG-H
1995-01-09,3853.62,3889.28,3834.44,3861.35,27932356.0,3861.35,GOOG-H
1995-01-10,3874.81,3912.49,3844.87,3866.74,35321588.0,3866.74,GOOG-H
1995-01-11,3881.2,3899.71,3824.68,3862.03,34707236.0,3862.03,GOOG-H
1995-01-12,3856.31,3886.59,3831.75,3857.65,31372912.0,3857.65,GOOG-H
1995-01-13,3880.87,3924.27,3852.61,3908.46,33748128.0,3908.46,GOOG-H
1995-01-16,3916.87,3955.56,3889.95,3932.34,31649520.0,3932.34,GOOG-H
1995-01-17,3924.94,3953.88,3895.33,3930.66,33161842.0,3930.66,GOOG-H
1995-01-18,3923.93,3950.85,3889.95,3928.98,34385532.0,3928.98,GOOG-H
1995-01-19,3905.76,3929.99,3866.74,3882.21,29787430.0,3882.21,GOOG-H
1995-01-20,3872.79,3895.33,3826.7,3863.71,37769964.0,3863.71,GOOG-H
1995-01-23,3872.79,3885.24,3841.17,3854.63,32652724.0,3854.63,GOOG-H
1995-01-24,3864.05,3898.36,3840.16,3862.7,31610434.0,3862.7,GOOG-H
1995-01-25,3852.94,3908.79,3832.08,3871.45,34299340.0,3871.45,GOOG-H
1995-01-26,3870.1,3903.41,3839.15,3870.44,30532066.0,3870.44,GOOG-H
1995-01-27,3888.94,3914.18,3827.37,3857.99,34023736.0,3857.99,GOOG-H
1995-01-30,3850.92,3881.2,3794.4,3832.08,31923122.0,3832.08,GOOG-H
1995-01-31,3841.84,3872.12,3809.54,3843.86,41247604.0,3843.86,GOOG-H
1995-02-01,3850.25,3886.25,3809.21,3847.56,39617020.0,3847.56,GOOG-H
1995-02-02,3847.56,3884.23,3828.38,3870.77,32273892.0,3870.77,GOOG-H
1995-02-03,3894.33,3958.59,3876.16,3927.63,44192072.0,3927.63,GOOG-H
1995-02-06,3923.93,3964.31,3900.04,3937.73,32637690.0,3937.73,GOOG-H
1995-02-07,3939.41,3960.27,3907.45,3937.39,31780808.0,3937.39,GOOG-H
1995-02-08,3931.67,3967.67,3909.13,3935.37,31860984.0,3935.37,GOOG-H
1995-02-09,3941.09,3967.33,3904.76,3932.68,32628670.0,3932.68,GOOG-H
1995-02-10,3936.04,3962.96,3908.46,3939.07,29620062.0,3939.07,GOOG-H
1995-02-13,3937.39,3974.74,3920.57,3954.21,25677402.0,3954.21,GOOG-H
1995-02-14,3962.29,3984.83,3930.32,3958.25,30138200.0,3958.25,GOOG-H
1995-02-15,3961.61,4016.45,3938.4,3992.23,37877200.0,3992.23,GOOG-H
1995-02-16,3984.83,4011.07,3948.16,3987.52,36178468.0,3987.52,GOOG-H
1995-02-17,3980.45,4001.99,3937.05,3953.54,35133172.0,3953.54,GOOG-H
1995-02-20,3953.54,3953.54,3953.54,3953.54,31562154.0,3953.54,GOOG-H
1995-02-21,3960.94,3989.88,3930.66,3963.97,30873816.0,3963.97,GOOG-H
1995-02-22,3964.31,4002.32,3944.46,3973.05,33988660.0,3973.05,GOOG-H
1995-02-23,4001.31,4034.62,3979.45,4003.33,39496756.0,4003.33,GOOG-H
1995-02-24,4004.01,4033.61,3974.06,4011.74,30351670.0,4011.74,GOOG-H
1995-02-27,4001.02,4033.19,3966.78,3988.57,28641914.0,3988.57,GOOG-H
1995-02-28,3983.04,4021.43,3967.48,4011.05,31781810.0,4011.05,GOOG-H
1995-03-01,3992.03,4033.19,3960.56,3994.8,36338820.0,3994.8,GOOG-H
1995-03-02,3986.5,4009.67,3947.07,3979.93,33015520.0,3979.93,GOOG-H
1995-03-03,3965.75,4004.83,3946.03,3989.61,33156832.0,3989.61,GOOG-H
1995-03-06,3970.93,4015.89,3944.31,3997.56,29950788.0,3997.56,GOOG-H
1995-03-07,3989.96,4009.67,3935.31,3962.63,35633272.0,3962.63,GOOG-H
1995-03-08,3971.97,4002.41,3944.65,3979.23,35046984.0,3979.23,GOOG-H
1995-03-09,3978.54,4011.4,3953.99,3983.39,31980246.0,3983.39,GOOG-H
1995-03-10,3994.45,4054.97,3978.2,4035.61,38384312.0,4035.61,GOOG-H
1995-03-13,4032.49,4060.85,3999.29,4025.23,27588600.0,4025.23,GOOG-H
1995-03-14,4041.83,4087.14,4014.86,4048.75,34690200.0,4048.75,GOOG-H
1995-03-15,4044.94,4070.19,4008.63,4038.37,31022142.0,4038.37,GOOG-H
1995-03-16,4038.03,4095.78,4021.77,4069.15,33707040.0,4069.15,GOOG-H
1995-03-17,4076.07,4101.66,4044.94,4073.65,41672536.0,4073.65,GOOG-H
1995-03-20,4080.57,4115.15,4051.17,4083.68,30238420.0,4083.68,GOOG-H
1995-03-21,4074.69,4122.41,4046.67,4072.61,36791816.0,4072.61,GOOG-H
1995-03-22,4071.92,4107.54,4039.07,4082.99,31380930.0,4082.99,GOOG-H
1995-03-23,4067.42,4107.89,4046.33,4087.83,31919112.0,4087.83,GOOG-H
1995-03-24,4099.59,4155.27,4087.14,4138.67,35915892.0,4138.67,GOOG-H
1995-03-27,4146.62,4177.4,4113.08,4157.34,29681196.0,4157.34,GOOG-H
1995-03-28,4149.73,4176.02,4120.68,4151.81,32106524.0,4151.81,GOOG-H
1995-03-29,4155.61,4213.71,4121.72,4160.8,38675956.0,4160.8,GOOG-H
1995-03-30,4178.44,4213.71,4128.29,4172.56,36281696.0,4172.56,GOOG-H
1995-03-31,4144.2,4194.0,4100.28,4157.69,35371696.0,4157.69,GOOG-H
1995-04-03,4159.42,4202.3,4129.68,4168.41,28801264.0,4168.41,GOOG-H
1995-04-04,4176.02,4220.98,4154.23,4201.61,33127768.0,4201.61,GOOG-H
1995-04-05,4196.08,4229.62,4166.33,4200.57,31586382.0,4200.57,GOOG-H
1995-04-06,4208.53,4239.31,4179.13,4205.41,32116546.0,4205.41,GOOG-H
1995-04-07,4203.69,4226.86,4154.23,4192.62,31544290.0,4192.62,GOOG-H
1995-04-10,4181.21,4219.94,4163.91,4198.15,26155452.0,4198.15,GOOG-H
1995-04-11,4209.91,4229.97,4168.06,4187.08,31039180.0,4187.08,GOOG-H
1995-04-12,4190.2,4221.67,4163.57,4197.81,32860180.0,4197.81,GOOG-H
1995-04-13,4200.57,4237.92,4173.94,4208.18,30217374.0,4208.18,GOOG-H
1995-04-14,4208.18,4208.18,4208.18,4208.18,29997324.0,4208.18,GOOG-H
1995-04-17,4231.7,4260.06,4174.63,4195.38,33466512.0,4195.38,GOOG-H
1995-04-18,4205.76,4221.67,4152.15,4179.13,34543876.0,4179.13,GOOG-H
1995-04-19,4187.43,4232.39,4143.51,4207.49,37835108.0,4207.49,GOOG-H
1995-04-20,4221.67,4263.86,4186.39,4230.66,36925108.0,4230.66,GOOG-H
1995-04-21,4250.72,4296.37,4214.41,4270.09,40409764.0,4270.09,GOOG-H
1995-04-24,4265.59,4328.88,4239.65,4303.98,32647712.0,4303.98,GOOG-H
1995-04-25,4298.1,4337.18,4267.32,4300.17,35256444.0,4300.17,GOOG-H
1995-04-26,4296.72,4324.73,4267.32,4299.83,35156224.0,4299.83,GOOG-H
1995-04-27,4295.68,4335.1,4269.05,4314.7,35162236.0,4314.7,GOOG-H
1995-04-28,4315.74,4348.94,4270.78,4321.27,32097504.0,4321.27,GOOG-H
1995-05-01,4316.43,4352.74,4278.73,4316.08,29748344.0,4316.08,GOOG-H
1995-05-02,4310.55,4348.25,4288.42,4328.88,30132188.0,4328.88,GOOG-H
1995-05-03,4331.65,4392.51,4312.28,4373.15,39315360.0,4373.15,GOOG-H
1995-05-04,4380.06,4426.41,4329.92,4359.66,43587744.0,4359.66,GOOG-H
1995-05-05,4373.15,4389.75,4310.55,4343.4,34313372.0,4343.4,GOOG-H
1995-05-08,4337.18,4407.04,4316.43,4383.87,29245240.0,4383.87,GOOG-H
1995-05-09,4397.01,4421.22,4360.0,4390.78,36222564.0,4390.78,GOOG-H
1995-05-10,4395.28,4440.59,4347.55,4404.62,38283092.0,4404.62,GOOG-H
1995-05-11,4399.43,4446.12,4365.54,4411.19,34064824.0,4411.19,GOOG-H
1995-05-12,4395.97,4459.61,4373.49,4422.6,36179472.0,4422.6,GOOG-H
1995-05-15,4423.29,4468.94,4398.74,4437.47,31693618.0,4437.47,GOOG-H
1995-05-16,4436.78,4464.1,4408.08,4435.05,36698612.0,4435.05,GOOG-H
1995-05-17,4431.94,4452.69,4384.56,4422.6,34869592.0,4422.6,GOOG-H
1995-05-18,4403.93,4426.06,4330.95,4340.29,35262456.0,4340.29,GOOG-H
1995-05-19,4314.01,4368.65,4287.38,4341.33,35478932.0,4341.33,GOOG-H
1995-05-22,4348.25,4416.03,4337.87,4395.63,28622872.0,4395.63,GOOG-H
1995-05-23,4401.85,4451.65,4372.46,4436.44,36348844.0,4436.44,GOOG-H
1995-05-24,4444.39,4480.7,4390.78,4438.16,39261240.0,4438.16,GOOG-H
1995-05-25,4427.79,4451.31,4375.91,4412.23,34257248.0,4412.23,GOOG-H
1995-05-26,4407.04,4423.64,4338.91,4369.0,29137002.0,4369.0,GOOG-H
1995-05-29,4369.0,4369.0,4369.0,4369.0,26456954.0,4369.0,GOOG-H
1995-05-30,4376.95,4412.92,4334.41,4378.68,28364304.0,4378.68,GOOG-H
1995-05-31,4378.33,4467.91,4360.7,4465.14,35894844.0,4465.14,GOOG-H
1995-06-01,4457.19,4499.72,4421.56,4472.75,34665144.0,4472.75,GOOG-H
1995-06-02,4447.5,4496.27,4406.35,4444.39,36680572.0,4444.39,GOOG-H
1995-06-05,4437.82,4510.45,4417.76,4476.55,33826300.0,4476.55,GOOG-H
1995-06-06,4475.52,4520.47,4446.46,4485.2,34121952.0,4485.2,GOOG-H
1995-06-07,4469.64,4497.65,4432.29,4462.03,32851160.0,4462.03,GOOG-H
1995-06-08,4465.14,4492.12,4431.59,4458.57,29051814.0,4458.57,GOOG-H
1995-06-09,4447.85,4466.87,4394.59,4423.99,32968418.0,4423.99,GOOG-H
1995-06-12,4436.44,4482.09,4415.69,4446.46,28846362.0,4446.46,GOOG-H
1995-06-13,4466.18,4504.91,4440.24,4484.51,34036764.0,4484.51,GOOG-H
1995-06-14,4477.94,4510.79,4449.23,4491.08,33147812.0,4491.08,GOOG-H
1995-06-15,4494.19,4527.74,4466.87,4496.27,33537668.0,4496.27,GOOG-H
1995-06-16,4506.99,4533.96,4482.43,4510.79,44371464.0,4510.79,GOOG-H
1995-06-19,4513.9,4577.19,4498.69,4553.68,32333022.0,4553.68,GOOG-H
1995-06-20,4545.38,4587.22,4497.99,4550.56,38313156.0,4550.56,GOOG-H
1995-06-21,4549.87,4583.07,4517.02,4547.1,39908660.0,4547.1,GOOG-H
1995-06-22,4557.83,4614.2,4535.35,4589.64,42187668.0,4589.64,GOOG-H
1995-06-23,4571.66,4609.7,4549.18,4585.84,32223782.0,4585.84,GOOG-H
1995-06-26,4578.23,4600.02,4538.8,4551.25,29737320.0,4551.25,GOOG-H
1995-06-27,4549.18,4592.41,4511.48,4542.61,34771376.0,4542.61,GOOG-H
1995-06-28,4540.53,4587.22,4508.02,4556.79,36887024.0,4556.79,GOOG-H
1995-06-29,4558.86,4592.76,4510.45,4550.56,31374918.0,4550.56,GOOG-H
1995-06-30,4563.01,4606.24,4513.9,4556.1,31200534.0,4556.1,GOOG-H
1995-07-03,4552.98,4594.83,4536.04,4585.15,11812948.0,4585.15,GOOG-H
1995-07-04,4556.1,4556.1,4556.1,4556.1,12852451.0,4556.1,GOOG-H
1995-07-05,4587.22,4651.89,4561.63,4615.23,35859768.0,4615.23,GOOG-H
1995-07-06,4624.23,4681.98,4587.91,4664.0,42139564.0,4664.0,GOOG-H
1995-07-07,4652.93,4740.77,4628.38,4702.73,46756704.0,4702.73,GOOG-H
1995-07-10,4710.34,4747.69,4670.91,4702.39,41060192.0,4702.39,GOOG-H
1995-07-11,4684.75,4724.52,4647.74,4680.6,37759944.0,4680.6,GOOG-H
1995-07-12,4680.6,4747.0,4654.66,4727.29,41691580.0,4727.29,GOOG-H
1995-07-13,4722.91,4766.58,4676.06,4727.48,38832296.0,4727.48,GOOG-H
1995-07-14,4695.79,4736.99,4664.79,4708.82,31361888.0,4708.82,GOOG-H
1995-07-17,4714.45,4767.63,4681.35,4736.29,32325004.0,4736.29,GOOG-H
1995-07-18,4712.34,4734.88,4648.24,4686.28,37304944.0,4686.28,GOOG-H
1995-07-19,4646.48,4698.6,4530.26,4628.87,49092836.0,4628.87,GOOG-H
1995-07-20,4634.86,4684.52,4578.51,4641.55,38422396.0,4641.55,GOOG-H
1995-07-21,4640.84,4676.06,4596.82,4641.55,42871168.0,4641.55,GOOG-H
1995-07-24,4647.18,4701.42,4620.42,4668.67,31586382.0,4668.67,GOOG-H
1995-07-25,4683.81,4743.69,4651.76,4714.45,37403160.0,4714.45,GOOG-H
1995-07-26,4710.23,4750.73,4665.15,4707.06,39432616.0,4707.06,GOOG-H
1995-07-27,4723.26,4767.99,4691.56,4732.77,35735496.0,4732.77,GOOG-H
