DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1990-01-02,452.9,459.3,452.7,459.3,0.0,459.3,GOOG-H
1990-01-03,461.1,461.6,460.0,460.9,0.0,460.9,GOOG-H
1990-01-04,460.4,460.8,456.9,459.4,0.0,459.4,GOOG-H
1990-01-05,457.9,459.4,457.8,458.2,0.0,458.2,GOOG-H
1990-01-08,457.1,458.7,456.5,458.7,0.0,458.7,GOOG-H
1990-01-09,459.2,459.6,456.6,456.8,0.0,456.8,GOOG-H
1990-01-10,455.1,456.3,450.6,450.7,0.0,450.7,GOOG-H
1990-01-11,451.7,452.5,448.8,448.9,0.0,448.9,GOOG-H
1990-01-12,442.7,446.6,439.3,439.7,0.0,439.7,GOOG-H
1990-01-15,438.2,439.4,436.4,436.6,0.0,436.6,GOOG-H
1990-01-16,432.9,440.2,432.1,440.2,0.0,440.2,GOOG-H
1990-01-17,440.5,442.5,438.5,438.7,0.0,438.7,GOOG-H
1990-01-18,436.2,437.8,435.6,437.5,0.0,437.5,GOOG-H
1990-01-19,440.5,441.2,439.2,440.9,0.0,440.9,GOOG-H
1990-01-22,439.7,440.7,431.7,431.9,0.0,431.9,GOOG-H
1990-01-23,432.5,433.8,428.9,430.4,0.0,430.4,GOOG-H
1990-01-24,419.9,427.2,419.8,425.7,0.0,425.7,GOOG-H
1990-01-25,428.3,429.0,425.1,425.2,0.0,425.2,GOOG-H
1990-01-26,424.2,425.9,419.5,421.3,0.0,421.3,GOOG-H
1990-01-29,422.8,422.9,416.5,418.1,0.0,418.1,GOOG-H
1990-01-30,416.2,417.5,410.0,410.7,0.0,410.7,GOOG-H
1990-01-31,412.2,415.9,411.3,415.8,0.0,415.8,GOOG-H
1990-02-01,416.8,417.9,416.2,417.8,0.0,417.8,GOOG-H
1990-02-02,418.8,423.3,417.6,422.2,0.0,422.2,GOOG-H
1990-02-05,422.9,424.8,422.4,424.7,0.0,424.7,GOOG-H
