DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
1991-01-04,24069.18,24069.18,24069.18,24069.18,0.0,24069.18,GOOG-H
1991-01-07,23736.57,23736.57,23736.57,23736.57,0.0,23736.57,GOOG-H
1991-01-08,22897.84,22897.84,22897.84,22897.84,0.0,22897.84,GOOG-H
1991-01-09,22969.27,22969.27,22969.27,22969.27,0.0,22969.27,GOOG-H
1991-01-10,23047.36,23047.36,23047.36,23047.36,0.0,23047.36,GOOG-H
1991-01-11,23241.02,23241.02,23241.02,23241.02,0.0,23241.02,GOOG-H
1991-01-14,23213.23,23213.23,23213.23,23213.23,0.0,23213.23,GOOG-H
1991-01-16,22442.7,22442.7,22442.7,22442.7,0.0,22442.7,GOOG-H
1991-01-17,23446.81,23446.81,23446.81,23446.81,0.0,23446.81,GOOG-H
1991-01-18,23808.3,23808.3,23808.3,23808.3,0.0,23808.3,GOOG-H
1991-01-21,23352.19,23352.19,23352.19,23352.19,0.0,23352.19,GOOG-H
1991-01-22,23253.65,23253.65,23253.65,23253.65,0.0,23253.65,GOOG-H
1991-01-23,23050.1,23050.1,23050.1,23050.1,0.0,23050.1,GOOG-H
1991-01-24,23269.01,23269.01,23269.01,23269.01,0.0,23269.01,GOOG-H
1991-01-25,23573.25,23573.25,23573.25,23573.25,0.0,23573.25,GOOG-H
1991-01-28,23569.44,23569.44,23569.44,23569.44,0.0,23569.44,GOOG-H
1991-01-29,23460.12,23460.12,23460.12,23460.12,0.0,23460.12,GOOG-H
1991-01-30,23409.61,23409.61,23409.61,23409.61,0.0,23409.61,GOOG-H
1991-01-31,23293.14,23293.14,23293.14,23293.14,0.0,23293.14,GOOG-H
1991-02-01,23156.7,23156.7,23156.7,23156.7,0.0,23156.7,GOOG-H
1991-02-04,23287.36,23287.36,23287.36,23287.36,0.0,23287.36,GOOG-H
1991-02-05,23821.57,23821.57,23821.57,23821.57,0.0,23821.57,GOOG-H
1991-02-06,23952.04,23952.04,23952.04,23952.04,0.0,23952.04,GOOG-H
1991-02-07,24104.43,24104.43,24104.43,24104.43,0.0,24104.43,GOOG-H
1991-02-08,24296.08,24296.08,24296.08,24296.08,0.0,24296.08,GOOG-H
1991-02-12,24935.01,24935.01,24935.01,24935.01,0.0,24935.01,GOOG-H
1991-02-13,25139.47,25139.47,25139.47,25139.47,0.0,25139.47,GOOG-H
