DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,41.63,43.69,41.63,43.63,28854000.0,43.63,GOOG-H
2000-01-04,42.5,43.94,41.13,41.47,25503800.0,41.47,GOOG-H
2000-01-05,41.47,42.94,40.25,41.31,26157100.0,41.31,GOOG-H
2000-01-06,41.44,41.69,37.5,37.78,27575200.0,37.78,GOOG-H
2000-01-07,39.06,41.13,38.69,41.0,20501500.0,41.0,GOOG-H
2000-01-10,42.25,43.63,42.06,43.0,26753700.0,43.0,GOOG-H
2000-01-11,44.14,46.19,44.14,44.88,52711400.0,44.88,GOOG-H
2000-01-12,45.31,47.38,44.63,45.59,48658200.0,45.59,GOOG-H
2000-01-13,46.13,48.5,44.66,48.44,37986300.0,48.44,GOOG-H
2000-01-14,51.53,53.31,49.13,51.53,92202600.0,51.53,GOOG-H
2000-01-18,51.0,52.88,50.13,51.28,51008600.0,51.28,GOOG-H
2000-01-19,51.06,51.06,49.75,50.38,22755500.0,50.38,GOOG-H
2000-01-20,50.13,50.41,47.59,49.97,34985100.0,49.97,GOOG-H
2000-01-21,47.81,49.13,47.81,49.0,27777500.0,49.0,GOOG-H
2000-01-24,49.38,52.44,49.0,49.13,37399000.0,49.13,GOOG-H
2000-01-25,49.31,51.03,48.72,50.75,25690300.0,50.75,GOOG-H
2000-01-26,50.39,50.59,47.63,47.63,24546000.0,47.63,GOOG-H
2000-01-27,48.0,50.56,47.75,49.19,30736800.0,49.19,GOOG-H
2000-01-28,49.06,49.38,46.53,47.0,26955300.0,47.0,GOOG-H
2000-01-31,47.98,49.53,46.44,49.25,34162200.0,49.25,GOOG-H
2000-02-01,49.59,50.75,48.31,50.44,24023400.0,50.44,GOOG-H
2000-02-02,50.25,51.47,49.84,50.19,26035700.0,50.19,GOOG-H
2000-02-03,50.38,52.31,50.38,52.13,28058500.0,52.13,GOOG-H
2000-02-04,51.88,54.13,51.69,52.56,27974400.0,52.56,GOOG-H
2000-02-07,52.25,54.06,52.06,53.94,21398000.0,53.94,GOOG-H
2000-02-08,54.19,55.03,54.0,54.69,18611500.0,54.69,GOOG-H
2000-02-09,54.44,54.44,52.22,52.31,19280300.0,52.31,GOOG-H
2000-02-10,52.25,54.06,51.59,53.63,21759600.0,53.63,GOOG-H
2000-02-11,53.81,54.38,52.63,52.94,18820400.0,52.94,GOOG-H
2000-02-14,53.13,55.81,52.82,55.81,17173900.0,55.81,GOOG-H
2000-02-15,55.47,56.44,52.63,56.03,31364800.0,56.03,GOOG-H
2000-02-16,56.0,56.44,53.5,53.78,23004300.0,53.78,GOOG-H
2000-02-17,54.25,56.19,53.94,54.5,24278000.0,54.5,GOOG-H
2000-02-18,54.98,55.25,52.5,52.56,25109500.0,52.56,GOOG-H
2000-02-22,52.63,53.41,50.78,53.13,22823500.0,53.13,GOOG-H
2000-02-23,53.5,55.56,52.16,54.5,20420200.0,54.5,GOOG-H
2000-02-24,54.69,58.25,54.5,57.13,42045200.0,57.13,GOOG-H
2000-02-25,57.11,57.69,56.41,56.45,22452800.0,56.45,GOOG-H
2000-02-28,56.06,57.28,54.13,56.06,23710700.0,56.06,GOOG-H
2000-02-29,56.59,57.81,55.66,56.5,22081900.0,56.5,GOOG-H
2000-03-01,56.66,58.44,56.25,58.19,20404700.0,58.19,GOOG-H
2000-03-02,57.94,58.53,57.06,57.88,18214900.0,57.88,GOOG-H
2000-03-03,58.0,59.88,57.81,59.63,17142500.0,59.63,GOOG-H
2000-03-06,59.44,59.44,58.34,58.88,14000100.0,58.88,GOOG-H
2000-03-07,58.63,60.0,57.59,57.88,19958700.0,57.88,GOOG-H
2000-03-08,57.88,59.0,56.13,57.06,23085400.0,57.06,GOOG-H
2000-03-09,57.75,59.25,56.0,59.25,19027000.0,59.25,GOOG-H
2000-03-10,58.88,60.31,58.69,60.09,21749400.0,60.09,GOOG-H
2000-03-13,59.88,62.75,59.38,61.25,33685900.0,61.25,GOOG-H
2000-03-14,61.08,62.81,58.91,59.06,28383400.0,59.06,GOOG-H
2000-03-15,59.69,61.56,59.34,60.09,24439200.0,60.09,GOOG-H
2000-03-16,60.31,62.69,59.81,62.53,27493400.0,62.53,GOOG-H
2000-03-17,62.52,65.05,62.0,64.97,30366800.0,64.97,GOOG-H
2000-03-20,64.97,68.69,64.97,67.69,32580700.0,67.69,GOOG-H
2000-03-21,67.63,69.94,67.06,69.0,25614900.0,69.0,GOOG-H
2000-03-22,69.75,72.69,69.75,71.41,26843700.0,71.41,GOOG-H
2000-03-23,71.84,71.84,69.72,70.88,22793800.0,70.88,GOOG-H
2000-03-24,71.3,72.25,70.06,70.13,23434600.0,70.13,GOOG-H
2000-03-27,69.53,71.88,69.53,70.93,17878000.0,70.93,GOOG-H
