DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,30.25,32.41,30.25,31.94,2987600.0,31.94,GOOG-H
2000-01-04,31.81,31.84,30.25,30.5,1314500.0,30.5,GOOG-H
2000-01-05,30.5,31.13,30.03,30.78,1091900.0,30.78,GOOG-H
2000-01-06,30.44,30.88,30.25,30.66,917000.0,30.66,GOOG-H
2000-01-07,31.19,32.69,31.13,32.63,1528300.0,32.63,GOOG-H
2000-01-10,32.69,33.31,32.66,33.25,882300.0,33.25,GOOG-H
2000-01-11,32.69,33.84,32.66,32.91,775100.0,32.91,GOOG-H
2000-01-12,32.91,33.19,32.41,32.5,639700.0,32.5,GOOG-H
2000-01-13,32.5,34.5,32.5,34.16,1271300.0,34.16,GOOG-H
2000-01-14,34.28,34.28,33.66,33.75,568200.0,33.75,GOOG-H
2000-01-18,33.16,33.16,32.25,32.28,640200.0,32.28,GOOG-H
2000-01-19,32.06,32.44,31.75,32.19,557200.0,32.19,GOOG-H
2000-01-20,32.5,32.5,31.25,31.47,369300.0,31.47,GOOG-H
2000-01-21,32.13,32.13,31.06,31.22,1106100.0,31.22,GOOG-H
2000-01-24,31.19,31.22,30.5,30.66,478900.0,30.66,GOOG-H
2000-01-25,30.66,30.69,29.28,29.81,1082700.0,29.81,GOOG-H
2000-01-26,29.94,30.19,29.31,30.16,813300.0,30.16,GOOG-H
2000-01-27,30.19,30.78,29.75,29.88,607100.0,29.88,GOOG-H
2000-01-28,29.75,29.81,28.75,28.75,425800.0,28.75,GOOG-H
2000-01-31,29.75,29.81,28.47,29.25,629400.0,29.25,GOOG-H
2000-02-01,29.75,29.84,29.16,29.66,485800.0,29.66,GOOG-H
2000-02-02,29.66,29.88,29.44,29.66,698200.0,29.66,GOOG-H
2000-02-03,29.84,30.88,29.84,30.13,696300.0,30.13,GOOG-H
2000-02-04,30.31,30.31,30.0,30.16,495000.0,30.16,GOOG-H
2000-02-07,30.09,30.44,30.03,30.28,455600.0,30.28,GOOG-H
2000-02-08,30.41,30.59,29.72,29.84,631300.0,29.84,GOOG-H
2000-02-09,29.94,29.94,29.59,29.63,629100.0,29.63,GOOG-H
2000-02-10,29.72,29.78,28.0,28.5,498200.0,28.5,GOOG-H
2000-02-11,29.72,29.78,27.38,27.84,579700.0,27.84,GOOG-H
2000-02-14,27.91,27.91,27.13,27.34,763200.0,27.34,GOOG-H
2000-02-15,27.31,29.84,27.31,29.25,810900.0,29.25,GOOG-H
2000-02-16,29.22,29.81,28.34,28.91,592700.0,28.91,GOOG-H
2000-02-17,28.91,29.16,28.69,28.78,561500.0,28.78,GOOG-H
2000-02-18,28.0,29.13,28.0,28.25,932400.0,28.25,GOOG-H
2000-02-22,28.69,29.16,28.03,28.94,391200.0,28.94,GOOG-H
2000-02-23,28.69,29.75,28.03,29.63,577000.0,29.63,GOOG-H
2000-02-24,28.69,29.75,27.34,28.28,920300.0,28.28,GOOG-H
2000-02-25,28.0,28.0,26.0,26.38,933300.0,26.38,GOOG-H
2000-02-28,25.56,26.41,25.56,26.13,1157300.0,26.13,GOOG-H
2000-02-29,26.13,26.38,25.53,25.84,1071000.0,25.84,GOOG-H
2000-03-01,25.97,26.75,25.81,26.5,653500.0,26.5,GOOG-H
2000-03-02,26.5,26.56,26.19,26.5,520200.0,26.5,GOOG-H
2000-03-03,26.5,28.0,26.5,27.47,458600.0,27.47,GOOG-H
2000-03-06,27.94,28.19,26.59,26.97,551500.0,26.97,GOOG-H
2000-03-07,26.97,27.22,26.06,26.25,726100.0,26.25,GOOG-H
2000-03-08,26.97,27.41,26.25,27.03,765800.0,27.03,GOOG-H
2000-03-09,26.91,27.47,26.75,27.44,641700.0,27.44,GOOG-H
2000-03-10,27.31,27.44,26.78,27.19,432100.0,27.19,GOOG-H
2000-03-13,26.5,27.25,26.0,27.09,675400.0,27.09,GOOG-H
2000-03-14,27.16,27.47,26.81,27.13,394000.0,27.13,GOOG-H
2000-03-15,27.13,29.63,27.0,29.25,1147200.0,29.25,GOOG-H
2000-03-16,29.34,32.38,29.16,32.19,1102900.0,32.19,GOOG-H
2000-03-17,31.5,32.81,31.5,32.41,1104000.0,32.41,GOOG-H
2000-03-20,32.28,32.28,31.09,31.13,804200.0,31.13,GOOG-H
2000-03-21,31.16,31.28,30.31,31.03,506200.0,31.03,GOOG-H
2000-03-22,31.0,31.09,30.38,30.59,498300.0,30.59,GOOG-H
2000-03-23,30.53,30.53,29.28,30.13,774700.0,30.13,GOOG-H
2000-03-24,30.13,30.38,29.31,29.78,961400.0,29.78,GOOG-H
2000-03-27,29.78,29.78,28.88,29.03,599900.0,29.03,GOOG-H
2000-03-28,29.03,29.66,28.38,28.5,820100.0,28.5,GOOG-H
2000-03-29,28.41,29.19,28.41,28.69,796800.0,28.69,GOOG-H
2000-03-30,28.41,29.69,27.91,29.03,1048800.0,29.03,GOOG-H
2000-03-31,28.41,30.16,27.63,27.63,868500.0,27.63,GOOG-H
2000-04-03,28.0,29.88,28.0,29.59,649700.0,29.59,GOOG-H
2000-04-04,29.5,30.69,28.88,30.0,803600.0,30.0,GOOG-H
2000-04-05,29.5,30.44,29.16,29.53,762200.0,29.53,GOOG-H
2000-04-06,29.5,30.41,29.19,29.38,456500.0,29.38,GOOG-H
2000-04-07,29.75,29.97,28.97,29.13,344500.0,29.13,GOOG-H
2000-04-10,29.09,30.06,28.94,29.66,403000.0,29.66,GOOG-H
2000-04-11,30.13,30.47,29.78,30.0,548500.0,30.0,GOOG-H
2000-04-12,30.25,32.25,30.25,32.0,958800.0,32.0,GOOG-H
2000-04-13,31.5,31.75,30.88,31.03,593900.0,31.03,GOOG-H
2000-04-14,31.06,31.31,29.53,29.56,819700.0,29.56,GOOG-H
2000-04-17,29.63,30.63,29.16,30.53,545500.0,30.53,GOOG-H
2000-04-18,30.5,30.5,29.56,29.56,960000.0,29.56,GOOG-H
2000-04-19,29.63,30.38,29.56,30.25,528500.0,30.25,GOOG-H
2000-04-20,30.25,30.59,30.0,30.22,436000.0,30.22,GOOG-H
2000-04-24,30.25,31.06,30.0,30.97,585600.0,30.97,GOOG-H
2000-04-25,30.97,32.5,30.53,31.84,670100.0,31.84,GOOG-H
2000-04-26,31.75,31.78,30.88,31.22,706600.0,31.22,GOOG-H
2000-04-27,31.28,31.66,31.06,31.38,410100.0,31.38,GOOG-H
2000-04-28,31.28,32.16,31.03,32.03,427900.0,32.03,GOOG-H
2000-05-01,31.91,32.41,31.84,31.88,652100.0,31.88,GOOG-H
2000-05-02,31.88,32.44,31.38,32.19,629600.0,32.19,GOOG-H
2000-05-03,31.88,32.38,30.16,31.44,726500.0,31.44,GOOG-H
2000-05-04,31.59,31.59,30.66,31.25,331900.0,31.25,GOOG-H
2000-05-05,31.88,32.22,31.09,31.78,194200.0,31.78,GOOG-H
2000-05-08,31.75,32.09,31.31,31.63,393500.0,31.63,GOOG-H
2000-05-09,31.44,32.03,31.09,31.34,293500.0,31.34,GOOG-H
2000-05-10,31.44,31.69,31.22,31.41,342700.0,31.41,GOOG-H
2000-05-11,31.44,32.28,31.22,31.91,400000.0,31.91,GOOG-H
2000-05-12,31.44,32.25,30.75,31.44,532000.0,31.44,GOOG-H
2000-05-15,31.44,31.63,31.19,31.41,324400.0,31.41,GOOG-H
2000-05-16,31.34,32.47,31.28,32.38,446900.0,32.38,GOOG-H
2000-05-17,31.97,32.38,31.97,32.31,208600.0,32.31,GOOG-H
2000-05-18,31.5,32.69,31.5,31.63,428400.0,31.63,GOOG-H
2000-05-19,31.38,31.75,31.06,31.44,296800.0,31.44,GOOG-H
2000-05-22,31.53,31.66,30.59,30.66,350000.0,30.66,GOOG-H
2000-05-23,31.0,31.0,30.59,30.72,224200.0,30.72,GOOG-H
2000-05-24,30.84,32.44,30.84,32.0,894100.0,32.0,GOOG-H
2000-05-25,31.56,31.56,30.31,30.5,673800.0,30.5,GOOG-H
2000-05-26,29.81,30.63,29.78,29.81,415000.0,29.81,GOOG-H
2000-05-30,30.03,30.09,29.09,29.47,810000.0,29.47,GOOG-H
2000-05-31,29.56,29.75,29.03,29.03,798800.0,29.03,GOOG-H
2000-06-01,29.03,29.5,28.56,29.41,336700.0,29.41,GOOG-H
2000-06-02,29.47,30.25,29.47,29.47,524000.0,29.47,GOOG-H
2000-06-05,29.31,29.75,29.31,29.47,314700.0,29.47,GOOG-H
2000-06-06,29.59,29.59,28.88,29.28,322800.0,29.28,GOOG-H
2000-06-07,29.41,29.44,28.5,28.5,328700.0,28.5,GOOG-H
2000-06-08,28.53,28.84,28.25,28.78,761500.0,28.78,GOOG-H
2000-06-09,28.84,29.38,28.72,29.25,521300.0,29.25,GOOG-H
2000-06-12,29.13,29.28,28.53,28.56,352000.0,28.56,GOOG-H
2000-06-13,28.44,28.5,28.25,28.41,438300.0,28.41,GOOG-H
