DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,28.66,28.81,28.06,28.13,4415300.0,28.13,GOOG-H
2000-01-04,27.88,28.41,27.88,27.88,2823100.0,27.88,GOOG-H
2000-01-05,28.22,28.72,28.03,28.47,3700900.0,28.47,GOOG-H
2000-01-06,28.53,28.84,28.28,28.5,3000900.0,28.5,GOOG-H
2000-01-07,29.25,30.34,28.94,30.31,4694200.0,30.31,GOOG-H
2000-01-10,30.25,30.47,29.38,29.41,3461100.0,29.41,GOOG-H
2000-01-11,30.47,30.63,30.06,30.41,3889300.0,30.41,GOOG-H
2000-01-12,30.41,30.91,30.22,30.78,3642200.0,30.78,GOOG-H
2000-01-13,30.72,30.72,30.25,30.28,2619200.0,30.28,GOOG-H
2000-01-14,30.97,30.97,30.34,30.53,3068900.0,30.53,GOOG-H
2000-01-18,30.66,32.5,30.53,32.5,7996500.0,32.5,GOOG-H
2000-01-19,32.5,32.59,31.88,32.59,5223000.0,32.59,GOOG-H
2000-01-20,32.5,32.97,31.88,32.94,4881700.0,32.94,GOOG-H
2000-01-21,32.91,33.44,32.91,33.44,4897200.0,33.44,GOOG-H
2000-01-24,33.19,33.19,31.78,32.5,3749100.0,32.5,GOOG-H
2000-01-25,32.0,33.03,31.44,32.94,4221700.0,32.94,GOOG-H
2000-01-26,32.13,32.72,31.38,31.53,10149200.0,31.53,GOOG-H
2000-01-27,31.31,31.34,29.22,29.72,7574900.0,29.72,GOOG-H
2000-01-28,29.72,29.75,28.53,28.53,4599500.0,28.53,GOOG-H
2000-01-31,28.53,29.38,28.28,28.72,4595400.0,28.72,GOOG-H
2000-02-01,28.88,29.19,28.16,29.09,3532300.0,29.09,GOOG-H
2000-02-02,28.78,28.94,28.03,28.28,2968600.0,28.28,GOOG-H
2000-02-03,28.25,28.38,27.53,27.63,3828200.0,27.63,GOOG-H
2000-02-04,27.63,28.88,27.56,28.19,4802000.0,28.19,GOOG-H
2000-02-07,28.03,28.81,27.81,28.41,3237200.0,28.41,GOOG-H
2000-02-08,28.72,28.94,28.38,28.59,3097300.0,28.59,GOOG-H
2000-02-09,28.5,28.88,28.38,28.56,3171100.0,28.56,GOOG-H
2000-02-10,28.63,28.66,28.13,28.34,3490900.0,28.34,GOOG-H
2000-02-11,27.88,27.97,27.44,27.66,3147100.0,27.66,GOOG-H
2000-02-14,27.53,27.63,26.91,27.06,2815100.0,27.06,GOOG-H
2000-02-15,26.69,27.88,26.63,27.84,3240900.0,27.84,GOOG-H
2000-02-16,27.53,27.72,26.63,26.88,2800300.0,26.88,GOOG-H
2000-02-17,26.75,26.78,25.59,26.16,4948700.0,26.16,GOOG-H
2000-02-18,25.75,26.16,25.38,25.66,4943500.0,25.66,GOOG-H
2000-02-22,25.41,26.31,25.25,25.88,4474500.0,25.88,GOOG-H
2000-02-23,25.69,25.69,25.0,25.44,4581400.0,25.44,GOOG-H
2000-02-24,25.19,25.22,24.16,24.91,6188100.0,24.91,GOOG-H
2000-02-25,24.88,25.34,24.03,24.41,4497000.0,24.41,GOOG-H
2000-02-28,24.03,24.84,23.78,24.66,4273100.0,24.66,GOOG-H
2000-02-29,24.06,24.41,23.81,24.22,4925100.0,24.22,GOOG-H
2000-03-01,24.59,25.69,24.59,25.66,6375300.0,25.66,GOOG-H
2000-03-02,25.59,25.88,24.69,24.94,4813200.0,24.94,GOOG-H
2000-03-03,25.06,25.19,24.53,24.97,3509500.0,24.97,GOOG-H
2000-03-06,24.59,24.75,24.16,24.44,2996900.0,24.44,GOOG-H
2000-03-07,24.19,24.19,22.41,23.34,8957200.0,23.34,GOOG-H
2000-03-08,23.0,24.03,22.94,23.75,5669900.0,23.75,GOOG-H
2000-03-09,23.78,23.78,22.97,23.38,5038200.0,23.38,GOOG-H
