DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,22.0,22.25,20.25,20.25,2308800.0,20.25,GOOG-H
2000-01-04,20.0,21.25,20.0,20.94,2986300.0,20.94,GOOG-H
2000-01-05,21.25,21.31,20.56,21.0,1334100.0,21.0,GOOG-H
2000-01-06,21.0,21.75,21.0,21.38,1164900.0,21.38,GOOG-H
2000-01-07,21.75,22.06,21.19,21.44,1812100.0,21.44,GOOG-H
2000-01-10,21.75,22.06,20.56,20.56,999900.0,20.56,GOOG-H
2000-01-11,20.5,20.75,19.75,19.88,1809500.0,19.88,GOOG-H
2000-01-12,20.0,21.25,20.0,21.25,2917400.0,21.25,GOOG-H
2000-01-13,21.44,21.44,20.56,20.56,2554200.0,20.56,GOOG-H
2000-01-14,20.75,20.94,20.5,20.5,1411200.0,20.5,GOOG-H
2000-01-18,21.0,21.06,19.75,20.06,3052900.0,20.06,GOOG-H
2000-01-19,20.06,20.75,20.06,20.69,1599600.0,20.69,GOOG-H
2000-01-20,20.5,20.69,20.44,20.56,2096500.0,20.56,GOOG-H
2000-01-21,20.75,21.19,20.63,21.0,2005500.0,21.0,GOOG-H
2000-01-24,20.75,20.81,19.56,19.56,1144300.0,19.56,GOOG-H
2000-01-25,19.56,19.94,19.19,19.25,1318600.0,19.25,GOOG-H
2000-01-26,19.44,20.06,19.25,20.06,1704300.0,20.06,GOOG-H
2000-01-27,19.94,20.0,19.0,19.44,1773100.0,19.44,GOOG-H
2000-01-28,19.75,19.75,18.31,18.94,1732000.0,18.94,GOOG-H
2000-01-31,18.31,18.88,18.19,18.75,1175000.0,18.75,GOOG-H
2000-02-01,18.38,18.81,18.38,18.69,545600.0,18.69,GOOG-H
2000-02-02,18.44,18.81,18.19,18.69,1375500.0,18.69,GOOG-H
2000-02-03,18.63,18.94,18.56,18.63,1638100.0,18.63,GOOG-H
2000-02-04,18.75,19.31,18.56,19.13,1733000.0,19.13,GOOG-H
2000-02-07,19.25,19.38,18.25,18.75,1386200.0,18.75,GOOG-H
2000-02-08,18.31,18.38,17.88,18.38,1573600.0,18.38,GOOG-H
2000-02-09,17.88,18.5,17.88,18.38,1582300.0,18.38,GOOG-H
2000-02-10,18.06,18.5,18.06,18.31,1542800.0,18.31,GOOG-H
