DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,51.0,51.0,49.0,50.0,1600.0,50.0,GOOG-H
2000-01-04,53.0,53.0,50.0,52.0,7400.0,52.0,GOOG-H
2000-01-05,54.0,54.0,52.0,54.0,3700.0,54.0,GOOG-H
2000-01-06,46.5,46.5,43.0,43.5,8100.0,43.5,GOOG-H
2000-01-11,45.0,45.0,43.0,45.0,7200.0,45.0,GOOG-H
2000-01-14,47.0,47.0,44.25,46.75,12800.0,46.75,GOOG-H
2000-01-18,50.0,50.0,47.0,49.0,9600.0,49.0,GOOG-H
2000-01-19,50.0,50.0,47.0,47.25,5700.0,47.25,GOOG-H
2000-01-20,50.0,50.0,47.5,49.25,6700.0,49.25,GOOG-H
2000-01-24,50.0,50.0,47.5,47.5,6000.0,47.5,GOOG-H
2000-01-25,50.0,50.0,47.75,47.75,7700.0,47.75,GOOG-H
2000-01-26,50.0,50.0,47.0,48.0,3300.0,48.0,GOOG-H
2000-01-27,57.0,57.0,53.0,53.0,19200.0,53.0,GOOG-H
2000-01-31,64.0,64.0,61.0,61.0,5300.0,61.0,GOOG-H
2000-02-01,62.0,62.0,58.0,60.12,12800.0,60.12,GOOG-H
2000-02-02,63.0,63.0,60.0,61.0,17400.0,61.0,GOOG-H
2000-02-03,68.0,68.0,61.0,61.0,22600.0,61.0,GOOG-H
2000-02-08,67.0,67.0,64.0,66.5,12400.0,66.5,GOOG-H
2000-02-10,95.0,95.0,89.0,89.0,9400.0,89.0,GOOG-H
2000-02-11,87.5,87.5,83.0,87.0,18100.0,87.0,GOOG-H
2000-02-14,87.0,87.0,83.0,83.5,4700.0,83.5,GOOG-H
2000-02-15,82.0,82.0,76.0,80.0,6100.0,80.0,GOOG-H
2000-02-18,78.5,78.5,75.0,77.0,29800.0,77.0,GOOG-H
2000-02-22,80.5,80.5,77.0,77.5,6300.0,77.5,GOOG-H
2000-02-23,87.0,87.0,74.0,87.0,33400.0,87.0,GOOG-H
2000-02-24,90.5,90.5,83.5,90.0,41000.0,90.0,GOOG-H
2000-02-25,91.0,91.0,84.0,86.75,30400.0,86.75,GOOG-H
2000-02-28,100.0,100.0,91.0,94.0,16600.0,94.0,GOOG-H
2000-02-29,90.0,90.0,83.0,88.0,31600.0,88.0,GOOG-H
2000-03-01,97.0,97.0,91.0,93.0,18000.0,93.0,GOOG-H
2000-03-02,95.0,95.0,90.0,93.0,22700.0,93.0,GOOG-H
2000-03-03,120.0,120.0,113.0,120.0,17900.0,120.0,GOOG-H
2000-03-06,138.0,138.0,127.0,137.0,22800.0,137.0,GOOG-H
2000-03-07,185.0,185.0,157.0,182.0,23600.0,182.0,GOOG-H
2000-03-08,160.0,160.0,145.0,155.0,18400.0,155.0,GOOG-H
2000-03-09,46.0,46.0,46.0,46.0,1400.0,46.0,GOOG-H
2000-03-10,55.0,55.0,41.0,52.0,160100.0,52.0,GOOG-H
2000-03-13,46.0,46.0,37.0,42.0,599300.0,42.0,GOOG-H
2000-03-14,44.0,44.0,30.0,34.0,206400.0,34.0,GOOG-H
2000-03-15,33.0,33.0,30.0,32.0,97700.0,32.0,GOOG-H
2000-03-20,33.0,33.0,26.84,30.4,211000.0,30.4,GOOG-H
2000-03-21,36.0,36.0,32.5,34.5,48600.0,34.5,GOOG-H
2000-03-22,38.0,38.0,32.0,36.0,46100.0,36.0,GOOG-H
2000-03-27,39.0,39.0,35.0,37.0,44000.0,37.0,GOOG-H
2000-03-28,39.0,39.0,36.0,38.0,76500.0,38.0,GOOG-H
2000-03-29,38.0,38.0,35.0,37.5,60500.0,37.5,GOOG-H
2000-03-30,36.0,36.0,33.75,33.75,69500.0,33.75,GOOG-H
2000-03-31,35.0,35.0,31.5,33.0,44000.0,33.0,GOOG-H
2000-04-04,30.0,30.0,26.0,26.75,101300.0,26.75,GOOG-H
2000-04-05,29.0,29.0,21.0,25.0,173400.0,25.0,GOOG-H
2000-04-06,26.0,26.0,21.5,26.0,86000.0,26.0,GOOG-H
2000-04-07,30.0,30.0,26.5,29.75,92300.0,29.75,GOOG-H
2000-04-10,34.75,34.75,31.75,34.0,36500.0,34.0,GOOG-H
2000-04-11,33.5,33.5,30.0,32.0,36500.0,32.0,GOOG-H
2000-04-12,32.0,32.0,28.5,28.5,90200.0,28.5,GOOG-H
2000-04-13,32.0,32.0,28.5,28.5,90200.0,28.5,GOOG-H
2000-04-14,29.5,29.5,22.0,23.5,107000.0,23.5,GOOG-H
2000-04-17,29.5,29.5,22.0,23.5,107000.0,23.5,GOOG-H
2000-04-18,26.0,26.0,21.0,24.0,125000.0,24.0,GOOG-H
2000-04-19,26.5,26.5,22.5,24.5,41600.0,24.5,GOOG-H
2000-04-20,25.5,25.5,22.5,25.0,49400.0,25.0,GOOG-H
2000-04-24,25.5,25.5,22.5,25.0,49400.0,25.0,GOOG-H
2000-04-25,24.0,24.0,21.5,22.5,52600.0,22.5,GOOG-H
2000-04-26,22.25,22.25,19.0,22.25,37600.0,22.25,GOOG-H
2000-04-27,22.5,22.5,20.0,20.0,37800.0,20.0,GOOG-H
2000-04-28,24.5,24.5,19.5,22.5,21300.0,22.5,GOOG-H
2000-05-01,24.5,24.5,19.5,22.5,21300.0,22.5,GOOG-H
2000-05-02,24.5,24.5,22.25,22.5,35100.0,22.5,GOOG-H
2000-05-03,26.25,26.25,24.0,24.0,14000.0,24.0,GOOG-H
2000-05-04,25.0,25.0,22.5,23.75,20400.0,23.75,GOOG-H
2000-05-05,25.0,25.0,22.0,24.5,19000.0,24.5,GOOG-H
2000-05-08,24.5,24.5,22.5,24.5,8300.0,24.5,GOOG-H
2000-05-09,23.0,23.0,20.75,23.0,17900.0,23.0,GOOG-H
2000-05-10,23.5,23.5,20.75,21.5,6500.0,21.5,GOOG-H
2000-05-11,22.5,22.5,18.5,18.5,21600.0,18.5,GOOG-H
2000-05-12,22.5,22.5,19.0,22.5,17500.0,22.5,GOOG-H
2000-05-15,23.75,23.75,21.25,22.0,26700.0,22.0,GOOG-H
2000-05-16,24.75,24.75,22.0,22.5,22600.0,22.5,GOOG-H
2000-05-17,24.75,24.75,22.0,22.5,22600.0,22.5,GOOG-H
2000-05-18,24.0,24.0,21.0,21.0,13200.0,21.0,GOOG-H
2000-05-19,23.25,23.25,21.0,23.0,6100.0,23.0,GOOG-H
2000-05-22,24.0,24.0,20.5,23.0,13000.0,23.0,GOOG-H
2000-05-23,23.0,23.0,19.5,19.5,22200.0,19.5,GOOG-H
2000-05-24,22.5,22.5,19.5,20.0,26900.0,20.0,GOOG-H
2000-05-25,22.5,22.5,20.0,21.0,24700.0,21.0,GOOG-H
2000-05-26,21.5,21.5,17.75,19.5,30100.0,19.5,GOOG-H
2000-05-30,21.0,21.0,18.0,20.0,12600.0,20.0,GOOG-H
2000-05-31,21.0,21.0,18.0,21.0,13000.0,21.0,GOOG-H
2000-06-01,21.75,21.75,19.0,21.0,6300.0,21.0,GOOG-H
2000-06-02,22.5,22.5,20.0,22.0,16700.0,22.0,GOOG-H
2000-06-05,23.0,23.0,20.5,22.5,21600.0,22.5,GOOG-H
2000-06-06,23.5,23.5,21.0,22.0,34900.0,22.0,GOOG-H
2000-06-07,24.0,24.0,20.5,21.0,13600.0,21.0,GOOG-H
2000-06-08,25.0,25.0,22.5,24.5,13400.0,24.5,GOOG-H
2000-06-09,24.0,24.0,21.25,23.5,10900.0,23.5,GOOG-H
2000-06-12,23.5,23.5,21.5,21.5,12500.0,21.5,GOOG-H
2000-06-13,24.0,24.0,21.75,22.5,9000.0,22.5,GOOG-H
2000-06-14,23.63,23.63,21.5,23.63,11500.0,23.63,GOOG-H
2000-06-15,24.0,24.0,21.5,21.63,7300.0,21.63,GOOG-H
2000-06-16,23.0,23.0,20.5,21.63,5700.0,21.63,GOOG-H
2000-06-19,22.0,22.0,20.0,22.0,10500.0,22.0,GOOG-H
2000-06-20,22.0,22.0,19.5,20.0,13400.0,20.0,GOOG-H
2000-06-21,22.0,22.0,19.5,21.5,25400.0,21.5,GOOG-H
2000-06-22,22.0,22.0,20.0,20.0,17000.0,20.0,GOOG-H
2000-06-23,21.0,21.0,19.0,21.0,12500.0,21.0,GOOG-H
2000-06-26,21.0,21.0,19.0,19.5,5600.0,19.5,GOOG-H
2000-06-27,21.0,21.0,19.0,19.5,5600.0,19.5,GOOG-H
2000-06-28,20.0,20.0,18.5,18.5,8200.0,18.5,GOOG-H
2000-06-29,21.5,21.5,18.25,19.0,20000.0,19.0,GOOG-H
2000-06-30,20.0,20.0,18.75,18.75,23200.0,18.75,GOOG-H
2000-07-03,21.0,21.0,17.0,18.75,10000.0,18.75,GOOG-H
2000-07-05,21.0,21.0,17.0,18.75,10000.0,18.75,GOOG-H
2000-07-06,20.25,20.25,18.88,19.5,28700.0,19.5,GOOG-H
2000-07-07,19.0,19.0,17.75,18.75,22400.0,18.75,GOOG-H
2000-07-10,19.5,19.5,17.75,18.0,16100.0,18.0,GOOG-H
2000-07-11,19.5,19.5,17.75,18.0,16100.0,18.0,GOOG-H
2000-07-12,21.0,21.0,18.5,19.0,64700.0,19.0,GOOG-H
2000-07-13,21.0,21.0,19.0,19.75,28400.0,19.75,GOOG-H
2000-07-14,21.0,21.0,19.0,19.75,28400.0,19.75,GOOG-H
2000-07-17,20.5,20.5,19.0,20.0,14100.0,20.0,GOOG-H
2000-07-18,21.25,21.25,20.25,21.0,20800.0,21.0,GOOG-H
2000-07-19,22.0,22.0,20.0,21.0,16500.0,21.0,GOOG-H
2000-07-20,22.5,22.5,21.0,22.0,24400.0,22.0,GOOG-H
2000-07-21,22.75,22.75,21.13,21.25,13300.0,21.25,GOOG-H
2000-07-24,23.5,23.5,22.0,22.5,24800.0,22.5,GOOG-H
2000-07-25,23.75,23.75,22.0,22.25,15200.0,22.25,GOOG-H
2000-07-26,22.75,22.75,21.5,22.25,5800.0,22.25,GOOG-H
2000-07-27,23.0,23.0,21.5,21.75,10200.0,21.75,GOOG-H
2000-07-28,22.5,22.5,21.0,21.25,11000.0,21.25,GOOG-H
2000-07-31,22.5,22.5,21.0,21.25,11000.0,21.25,GOOG-H
2000-08-01,22.75,22.75,21.5,21.75,6400.0,21.75,GOOG-H
2000-08-02,25.75,25.75,23.75,24.25,41900.0,24.25,GOOG-H
2000-08-03,24.0,24.0,22.5,24.0,9100.0,24.0,GOOG-H
2000-08-04,24.0,24.0,22.5,24.0,9100.0,24.0,GOOG-H
2000-08-07,24.0,24.0,22.75,23.0,8700.0,23.0,GOOG-H
2000-08-08,24.0,24.0,22.75,23.0,8700.0,23.0,GOOG-H
2000-08-09,23.25,23.25,22.0,22.5,10000.0,22.5,GOOG-H
2000-08-10,23.25,23.25,22.25,22.5,4600.0,22.5,GOOG-H
2000-08-11,23.5,23.5,22.0,23.5,18100.0,23.5,GOOG-H
2000-08-14,23.38,23.38,22.25,22.5,6900.0,22.5,GOOG-H
2000-08-15,22.88,22.88,21.5,21.88,56800.0,21.88,GOOG-H
2000-08-16,22.5,22.5,21.5,22.0,9200.0,22.0,GOOG-H
2000-08-17,22.5,22.5,21.25,21.5,5700.0,21.5,GOOG-H
2000-08-18,23.5,23.5,22.25,22.25,10000.0,22.25,GOOG-H
2000-08-21,23.5,23.5,22.25,22.25,10000.0,22.25,GOOG-H
2000-08-22,23.75,23.75,22.25,22.5,9900.0,22.5,GOOG-H
2000-08-23,22.5,22.5,22.5,22.5,200.0,22.5,GOOG-H
2000-08-24,22.75,22.75,21.75,22.5,15600.0,22.5,GOOG-H
2000-08-25,23.13,23.13,21.5,21.75,18300.0,21.75,GOOG-H
2000-08-28,22.88,22.88,21.0,22.0,17800.0,22.0,GOOG-H
2000-08-29,22.5,22.5,21.0,22.5,13100.0,22.5,GOOG-H
2000-08-30,22.5,22.5,21.0,22.25,11200.0,22.25,GOOG-H
2000-08-31,22.5,22.5,20.5,22.5,14600.0,22.5,GOOG-H
2000-09-01,22.0,22.0,20.5,20.75,60400.0,20.75,GOOG-H
2000-09-05,22.0,22.0,20.5,20.75,60400.0,20.75,GOOG-H
2000-09-06,23.0,23.0,21.5,21.75,36800.0,21.75,GOOG-H
2000-09-07,22.25,22.25,20.5,21.25,10700.0,21.25,GOOG-H
2000-09-08,22.25,22.25,20.88,21.25,13800.0,21.25,GOOG-H
2000-09-11,22.0,22.0,20.5,20.5,8100.0,20.5,GOOG-H
2000-09-12,22.0,22.0,20.5,20.5,8100.0,20.5,GOOG-H
2000-09-13,21.0,21.0,20.0,20.0,8900.0,20.0,GOOG-H
2000-09-14,21.0,21.0,20.0,20.25,6700.0,20.25,GOOG-H
2000-09-15,20.75,20.75,19.5,20.75,9700.0,20.75,GOOG-H
2000-09-18,21.25,21.25,20.25,21.25,22300.0,21.25,GOOG-H
2000-09-19,19.25,19.25,19.25,19.25,16700.0,19.25,GOOG-H
2000-09-20,20.0,20.0,18.5,18.88,15600.0,18.88,GOOG-H
2000-09-21,19.25,19.25,17.75,18.5,9800.0,18.5,GOOG-H
2000-09-22,18.5,18.5,16.5,16.5,13100.0,16.5,GOOG-H
2000-09-25,16.25,18.25,16.25,18.25,37900.0,18.25,GOOG-H
2000-09-26,20.0,20.0,17.0,20.0,111000.0,20.0,GOOG-H
2000-09-27,19.75,19.75,17.75,18.0,33500.0,18.0,GOOG-H
2000-09-28,19.0,19.0,17.75,18.75,11100.0,18.75,GOOG-H
2000-09-29,19.0,19.0,17.75,18.5,21100.0,18.5,GOOG-H
2000-10-02,19.25,19.25,18.0,19.25,6400.0,19.25,GOOG-H
2000-10-03,19.5,19.5,18.0,18.5,12500.0,18.5,GOOG-H
2000-10-04,19.0,19.0,17.5,18.5,14500.0,18.5,GOOG-H
2000-10-05,19.0,19.0,17.25,17.5,19300.0,17.5,GOOG-H
2000-10-06,18.5,18.5,17.0,17.5,21600.0,17.5,GOOG-H
2000-10-09,17.5,17.5,16.0,16.75,21400.0,16.75,GOOG-H
2000-10-10,17.5,17.5,16.0,16.75,21400.0,16.75,GOOG-H
2000-10-11,17.25,17.25,16.0,16.0,17900.0,16.0,GOOG-H
2000-10-12,16.25,16.25,15.0,15.25,32700.0,15.25,GOOG-H
2000-10-13,16.13,16.13,14.0,15.25,40700.0,15.25,GOOG-H
2000-10-16,15.5,15.5,14.25,15.0,39000.0,15.0,GOOG-H
2000-10-17,16.5,16.5,15.0,16.0,28400.0,16.0,GOOG-H
2000-10-18,15.88,15.88,15.0,15.13,9300.0,15.13,GOOG-H
2000-10-19,15.0,15.0,12.75,14.5,22600.0,14.5,GOOG-H
2000-10-20,15.0,15.0,12.75,14.75,22600.0,14.75,GOOG-H
2000-10-23,16.75,16.75,15.0,16.25,14600.0,16.25,GOOG-H
2000-10-24,17.0,17.0,16.0,16.0,8500.0,16.0,GOOG-H
2000-10-25,17.0,17.0,15.5,16.5,11200.0,16.5,GOOG-H
