DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,14.7,14.86,13.75,13.94,1822000.0,13.94,GOOG-H
2000-01-04,13.77,13.77,12.84,13.22,1698300.0,13.22,GOOG-H
2000-01-05,13.16,13.47,12.98,13.17,1094800.0,13.17,GOOG-H
2000-01-06,13.0,13.5,12.97,13.13,988300.0,13.13,GOOG-H
2000-01-07,13.23,13.61,13.19,13.44,791200.0,13.44,GOOG-H
2000-01-10,13.5,13.86,13.47,13.84,961500.0,13.84,GOOG-H
2000-01-11,13.5,13.94,13.36,13.47,903100.0,13.47,GOOG-H
2000-01-12,13.5,13.55,12.94,13.23,2099500.0,13.23,GOOG-H
2000-01-13,13.25,13.25,13.0,13.09,1127100.0,13.09,GOOG-H
2000-01-14,13.25,13.72,13.23,13.53,1982900.0,13.53,GOOG-H
2000-01-18,13.69,13.69,13.22,13.31,1051700.0,13.31,GOOG-H
2000-01-19,13.38,13.42,13.19,13.22,864900.0,13.22,GOOG-H
2000-01-20,13.22,13.23,12.25,12.64,2301300.0,12.64,GOOG-H
2000-01-21,12.66,12.66,11.69,11.84,3133300.0,11.84,GOOG-H
2000-01-24,12.16,12.16,11.55,11.69,1364400.0,11.69,GOOG-H
2000-01-25,11.78,11.78,11.25,11.5,1988800.0,11.5,GOOG-H
2000-01-26,11.44,11.75,11.08,11.66,2554600.0,11.66,GOOG-H
2000-01-27,11.69,11.72,11.27,11.45,2149100.0,11.45,GOOG-H
2000-01-28,11.41,11.41,10.83,11.13,1308200.0,11.13,GOOG-H
2000-01-31,11.17,11.31,10.77,11.16,1746800.0,11.16,GOOG-H
2000-02-01,11.22,11.88,11.22,11.77,2676300.0,11.77,GOOG-H
2000-02-02,11.66,12.09,11.47,11.81,2401000.0,11.81,GOOG-H
2000-02-03,11.88,12.06,11.63,11.73,1332200.0,11.73,GOOG-H
2000-02-04,11.77,12.2,11.77,12.06,2266000.0,12.06,GOOG-H
2000-02-07,11.91,11.91,11.67,11.73,1619000.0,11.73,GOOG-H
2000-02-08,11.75,12.19,11.3,12.11,1402000.0,12.11,GOOG-H
2000-02-09,12.11,12.11,11.53,11.59,1030800.0,11.59,GOOG-H
2000-02-10,11.56,11.58,11.3,11.52,815300.0,11.52,GOOG-H
2000-02-11,11.53,11.75,11.48,11.5,699400.0,11.5,GOOG-H
2000-02-14,11.53,11.83,11.41,11.7,767300.0,11.7,GOOG-H
2000-02-15,11.53,11.69,11.41,11.5,1253200.0,11.5,GOOG-H
2000-02-16,11.39,11.39,10.86,11.0,1315800.0,11.0,GOOG-H
2000-02-17,11.3,11.3,10.31,10.63,2376800.0,10.63,GOOG-H
2000-02-18,11.11,11.11,10.63,10.88,2519700.0,10.88,GOOG-H
2000-02-22,11.03,11.28,10.56,10.77,2037000.0,10.77,GOOG-H
